,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,86993,Red Curry,1,12,2018-04-01 12:23:00
1,86994,Pad Thai,1,12,2018-04-01 12:45:00
2,86995,Pad Thai,1,12,2018-04-01 12:50:00
3,86996,Tom Yum Goong,1,15,2018-04-01 12:12:00
4,86997,Pad Char,1,15,2018-04-01 12:35:00
5,86998,Sticky Rice with Mango,1,6,2018-04-01 12:56:00
6,86999,Pumpkin Curry,1,15,2018-04-01 12:07:00
7,87000,Grilled Salmon,1,22,2018-04-01 12:18:00
8,87001,Thai Fried Rice,1,12,2018-04-01 12:31:00
9,87002,Pad Kee Mao,1,12,2018-04-01 12:30:00
10,87003,Pad Gra Prow,1,15,2018-04-01 12:20:00
11,87004,Pad Thai,5,12,2018-04-01 12:50:00
12,87005,Thai Beef Noodle Soup,1,12,2018-04-01 12:05:00
13,87006,Thai Streetfood Noodle,1,12,2018-04-01 12:04:00
14,87007,Pad Gra Prow,1,15,2018-04-01 12:45:00
15,87008,Pad Prig Khing,1,12,2018-04-01 12:21:00
16,87009,Thai Beef Noodle Soup,1,12,2018-04-01 12:59:00
17,87010,Red Curry,1,12,2018-04-01 12:26:00
18,87011,Basil Fried Rice,1,12,2018-04-01 12:42:00
19,87012,Won Ton Soup,1,12,2018-04-01 12:58:00
20,87013,Won Ton Soup,1,12,2018-04-01 12:19:00
21,87014,Vegan Fresh Rolls,1,10,2018-04-01 12:26:00
22,87015,Chicken Satay,1,10,2018-04-01 12:57:00
23,87016,Won Ton Soup,1,12,2018-04-01 13:12:00
24,87017,Pad Gra Prow,1,15,2018-04-01 13:15:00
25,87018,Pad Ka Nar,1,12,2018-04-01 13:57:00
26,87019,Tom Yum Goong,1,15,2018-04-01 13:30:00
27,87020,Grilled Salmon,1,22,2018-04-01 13:10:00
28,87021,Waterfall Mushroom and Tofu,1,12,2018-04-01 13:11:00
29,87022,Chicken Satay,1,10,2018-04-01 13:19:00
30,87023,Basil Fried Rice,1,12,2018-04-01 13:28:00
31,87024,Won Ton Soup,1,12,2018-04-01 13:45:00
32,87025,Pad Thai,1,12,2018-04-01 13:46:00
33,87026,Pad Gra Prow,2,15,2018-04-01 13:38:00
34,87027,Pad Pak,1,12,2018-04-01 13:00:00
35,87028,Sticky Rice with Mango,1,6,2018-04-01 13:36:00
36,87029,Green Curry,1,12,2018-04-01 13:41:00
37,87030,Thai Beef Noodle Soup,1,12,2018-04-01 13:39:00
38,87031,Red Curry,1,12,2018-04-01 13:05:00
39,87032,Som Tum,1,12,2018-04-01 13:48:00
40,87033,Sticky Rice with Mango,1,6,2018-04-01 13:20:00
41,87033,Sticky Rice with Mango,1,6,2018-04-01 13:20:00
42,87034,Sticky Rice with Mango,1,6,2018-04-01 13:42:00
43,87034,Tom Yum Gai,1,12,2018-04-01 13:42:00
44,87035,Green Curry,2,12,2018-04-01 13:12:00
45,87036,Yum Nua,1,12,2018-04-01 13:59:00
46,87037,Sticky Rice with Mango,1,6,2018-04-01 13:10:00
47,87038,Pad Thai,1,12,2018-04-01 13:27:00
48,87039,Sticky Rice with Mango,1,6,2018-04-01 13:49:00
49,87040,Thai Streetfood Noodle,1,12,2018-04-01 13:01:00
50,87041,Thai Streetfood Noodle,1,12,2018-04-01 13:06:00
51,87042,Pad Gra Tiem,1,15,2018-04-01 13:13:00
52,87043,Yum Nua,1,12,2018-04-01 13:37:00
53,87044,Thai Fried Rice,1,12,2018-04-01 13:14:00
54,87045,Thai Beef Noodle Soup,1,12,2018-04-01 13:35:00
55,87046,Pad Gra Tiem,1,15,2018-04-01 13:59:00
56,87047,MyThai Salad,1,12,2018-04-01 13:09:00
57,87048,Pad Ka Nar,1,12,2018-04-01 14:28:00
58,87049,Won Ton Soup,1,12,2018-04-01 14:39:00
59,87050,Tom Yum Goong,1,15,2018-04-01 14:26:00
60,87051,Yellow Curry,1,12,2018-04-01 14:22:00
61,87052,Pad Thai,1,12,2018-04-01 14:04:00
62,87053,Thai Fried Rice,1,12,2018-04-01 14:15:00
63,87054,Sticky Rice with Mango,1,6,2018-04-01 14:24:00
64,87055,Pumpkin Curry,1,15,2018-04-01 14:48:00
65,87056,Pad See Ew,1,12,2018-04-01 14:24:00
66,87057,Pad Ka Nar,1,12,2018-04-01 14:41:00
67,87058,Won Ton Soup,1,12,2018-04-01 14:33:00
68,87059,Thai Fried Rice,1,12,2018-04-01 14:26:00
69,87060,Basil Fried Rice,1,12,2018-04-01 14:25:00
70,87061,Grilled Salmon,1,22,2018-04-01 14:31:00
71,87062,Pad Ka Nar,1,12,2018-04-01 14:50:00
72,87063,Yellow Curry,1,12,2018-04-01 14:30:00
73,87064,Pad Thai,1,12,2018-04-01 14:06:00
74,87065,Pad Thai,1,12,2018-04-01 14:16:00
75,87066,Thai Streetfood Noodle,1,12,2018-04-01 14:48:00
76,87067,Red Curry,1,12,2018-04-01 14:44:00
77,87068,Pad Gra Prow,1,15,2018-04-01 14:08:00
78,87069,Tom Yum Gai,1,12,2018-04-01 14:43:00
79,87070,Som Tum,1,12,2018-04-01 14:59:00
80,87071,Waterfall Mushroom and Tofu,1,12,2018-04-01 14:46:00
81,87072,Pra Ram,1,12,2018-04-01 14:47:00
82,87073,Red Curry,1,12,2018-04-01 14:55:00
83,87074,Grilled Salmon,1,22,2018-04-01 14:25:00
84,87075,Tom Yum Goong,1,15,2018-04-01 14:48:00
85,87076,Sticky Rice with Mango,1,6,2018-04-01 14:56:00
86,87076,Tom Kha Gai,1,12,2018-04-01 14:56:00
87,87077,Thai Beef Noodle Soup,1,12,2018-04-01 15:03:00
88,87078,Sticky Rice with Mango,1,6,2018-04-01 15:29:00
89,87078,Tom Yum Goong,1,15,2018-04-01 15:29:00
90,87079,Thai Beef Noodle Soup,1,12,2018-04-01 15:46:00
91,87080,Pad Gra Prow,1,15,2018-04-01 15:50:00
92,87081,Sticky Rice with Mango,1,6,2018-04-01 15:47:00
93,87081,Thai Fried Rice,1,12,2018-04-01 15:47:00
94,87082,Yum Woonsen,1,13,2018-04-01 15:02:00
95,87083,Vegan Fresh Rolls,1,10,2018-04-01 15:43:00
96,87084,Thai Beef Noodle Soup,1,12,2018-04-01 15:39:00
97,87085,Pad Gra Prow,1,15,2018-04-01 15:06:00
98,87086,Pumpkin Curry,1,15,2018-04-01 15:56:00
99,87087,Pad Prig Khing,1,12,2018-04-01 15:16:00
100,87088,Pad Ka Nar,1,12,2018-04-01 15:38:00
101,87089,Sticky Rice with Mango,1,6,2018-04-01 15:00:00
102,87090,Won Ton Soup,1,12,2018-04-01 15:08:00
103,87091,Thai Fried Rice,9,12,2018-04-01 15:25:00
104,87092,Sticky Rice with Mango,1,6,2018-04-01 15:22:00
105,87093,Pad See Ew,1,12,2018-04-01 15:26:00
106,87094,Larb Gai,1,12,2018-04-01 15:53:00
107,87095,Basil Fried Rice,1,12,2018-04-01 15:58:00
108,87096,Larb Gai,2,12,2018-04-01 15:20:00
109,87097,Yellow Curry,1,12,2018-04-01 15:36:00
110,87098,Pad See Ew,1,12,2018-04-01 15:31:00
