Order ID,Item,Quantity Ordered,Price Each,Order Date
233594,Pad Char,3,15,2019-04-02 11:40:00
233595,Grilled Thai Steak,2,20,2019-04-02 11:12:00
233596,Pra Ram,1,12,2019-04-02 11:55:00
233597,Yellow Curry,1,12,2019-04-02 11:28:00
233598,Pad Char,1,15,2019-04-02 11:33:00
233599,Thai Beef Noodle Soup,2,12,2019-04-02 11:52:00
233600,Bar-B-Q Chicken,1,20,2019-04-02 11:50:00
233601,Sticky Rice with Mango,1,6,2019-04-02 11:29:00
233602,Yum Woonsen,2,13,2019-04-02 11:58:00
233603,Pad Gra Prow,1,15,2019-04-02 11:00:00
233604,Chicken Satay,2,10,2019-04-02 11:06:00
233605,Sticky Rice with Mango,2,6,2019-04-02 11:58:00
233605,Sticky Rice with Mango,2,6,2019-04-02 11:58:00
233606,Pad Char,2,15,2019-04-02 11:43:00
233607,Pad Thai,2,12,2019-04-02 11:00:00
233608,Nam Kao Tod,3,12,2019-04-02 11:54:00
233609,Pad Kee Mao,2,12,2019-04-02 11:55:00
233610,Som Tum,2,12,2019-04-02 11:15:00
233611,Pad Ma Keur,1,12,2019-04-02 11:04:00
233612,Pad Pak,1,12,2019-04-02 11:51:00
233613,Sticky Rice with Mango,2,6,2019-04-02 11:38:00
233614,Pad Thai,1,12,2019-04-02 11:42:00
233615,Pad See Ew,1,12,2019-04-02 11:44:00
233616,Chicken Satay,1,10,2019-04-02 11:09:00
233617,Pad Ka Nar,2,12,2019-04-02 11:52:00
233618,Thai Streetfood Noodle,2,12,2019-04-02 11:12:00
233619,Sticky Rice with Mango,1,6,2019-04-02 11:02:00
233620,Sticky Rice with Mango,1,6,2019-04-02 11:08:00
233621,Thai Fried Rice,2,12,2019-04-02 11:11:00
233622,Pad See Ew,1,12,2019-04-02 11:05:00
233623,Pad Char,1,15,2019-04-02 11:14:00
233624,Pad Gra Prow,3,15,2019-04-02 12:34:00
233625,Yum Nua,1,12,2019-04-02 12:32:00
233626,Pad Thai,1,12,2019-04-02 12:45:00
233627,Pad Thai,1,12,2019-04-02 12:00:00
233628,MyThai Salad,1,12,2019-04-02 12:42:00
233629,Thai Beef Noodle Soup,1,12,2019-04-02 12:50:00
233630,Pad Thai,2,12,2019-04-02 12:06:00
233631,Som Tum,2,12,2019-04-02 12:13:00
233632,Red Curry,2,12,2019-04-02 12:45:00
233633,Pad Thai,1,12,2019-04-02 12:30:00
233634,Yellow Curry,2,12,2019-04-02 12:24:00
233635,Pad Thai,1,12,2019-04-02 12:55:00
233636,Thai Fried Rice,1,12,2019-04-02 12:00:00
233637,Green Curry,1,12,2019-04-02 12:35:00
233638,Thai Fried Rice,2,12,2019-04-02 12:06:00
233639,Grilled Salmon,1,22,2019-04-02 12:39:00
233640,Chicken Satay,2,10,2019-04-02 12:10:00
233641,Pad Kee Mao,1,12,2019-04-02 12:50:00
233642,Vegan Fresh Rolls,3,10,2019-04-02 12:57:00
233643,Pad Ma Keur,2,12,2019-04-02 12:44:00
233644,Sticky Rice with Mango,2,6,2019-04-02 12:37:00
233645,Basil Fried Rice,1,12,2019-04-02 12:28:00
233646,Sticky Rice with Mango,1,6,2019-04-02 12:32:00
233646,Basil Fried Rice,1,12,2019-04-02 12:32:00
233647,Thai Fried Rice,1,12,2019-04-02 12:40:00
233648,Thai Streetfood Noodle,1,12,2019-04-02 12:38:00
233649,Grilled Salmon,4,22,2019-04-02 12:12:00
233650,Larb Gai,1,12,2019-04-02 12:11:00
233651,Yellow Curry,1,12,2019-04-02 12:52:00
233652,Yellow Curry,1,12,2019-04-02 12:01:00
233653,Red Curry,1,12,2019-04-02 12:19:00
233654,Pad Thai,3,12,2019-04-02 13:35:00
233655,Green Curry,2,12,2019-04-02 13:42:00
233656,Bar-B-Q Chicken,1,20,2019-04-02 13:43:00
233657,Larb Gai,2,12,2019-04-02 13:20:00
233658,Won Ton Soup,2,12,2019-04-02 13:53:00
233659,Chicken Satay,3,10,2019-04-02 13:07:00
233660,Won Ton Soup,3,12,2019-04-02 13:31:00
233661,Yum Woonsen,2,13,2019-04-02 13:49:00
233662,Nam Kao Tod,2,12,2019-04-02 13:22:00
233663,Yellow Curry,2,12,2019-04-02 13:23:00
233664,Red Curry,2,12,2019-04-02 13:37:00
233665,Basil Fried Rice,2,12,2019-04-02 13:09:00
