Order ID,Item,Quantity Ordered,Price Each,Order Date
59754,Pad Thai,1,12,2017-08-01 11:52:00
59755,Red Curry,1,12,2017-08-01 11:11:00
59756,Pad See Ew,1,12,2017-08-01 11:49:00
59757,Pad Kee Mao,1,12,2017-08-01 11:46:00
59758,Pad Thai,1,12,2017-08-01 11:24:00
59759,Sticky Rice with Mango,1,6,2017-08-01 11:21:00
59759,Red Curry,1,12,2017-08-01 11:21:00
59760,Bar-B-Q Chicken,1,20,2017-08-01 11:05:00
59761,Pad Gra Tiem,3,15,2017-08-01 11:28:00
59762,Basil Fried Rice,1,12,2017-08-01 11:04:00
59763,Sriracha Wings,2,10,2017-08-01 11:36:00
59763,Sticky Rice with Mango,1,6,2017-08-01 11:36:00
59764,Pad Ma Keur,1,12,2017-08-01 11:49:00
59765,Sriracha Wings,2,10,2017-08-01 11:02:00
59766,Red Curry,1,12,2017-08-01 11:43:00
59767,Pad Thai,2,12,2017-08-01 11:46:00
59768,Pad Thai,1,12,2017-08-01 11:10:00
59769,Vegan Fresh Rolls,2,10,2017-08-01 11:55:00
59770,Pad Thai,1,12,2017-08-01 11:41:00
59771,Won Ton Soup,2,12,2017-08-01 11:25:00
59772,Pad Gra Tiem,2,15,2017-08-01 11:52:00
59773,Thai Streetfood Noodle,1,12,2017-08-01 11:48:00
59774,Sriracha Wings,1,10,2017-08-01 11:16:00
59774,Sticky Rice with Mango,1,6,2017-08-01 11:16:00
59775,Pad Ka Nar,1,12,2017-08-01 11:31:00
59776,Sticky Rice with Mango,1,6,2017-08-01 11:57:00
59776,Yum Nua,1,12,2017-08-01 11:57:00
59777,Sriracha Wings,4,10,2017-08-01 11:20:00
59778,Pad Char,7,15,2017-08-01 11:37:00
59779,Thai Streetfood Noodle,1,12,2017-08-01 11:15:00
59780,Sticky Rice with Mango,2,6,2017-08-01 12:37:00
59780,Sticky Rice with Mango,2,6,2017-08-01 12:37:00
59781,Pad Thai,4,12,2017-08-01 12:59:00
59782,Red Curry,2,12,2017-08-01 12:43:00
59783,Pad Gra Prow,1,15,2017-08-01 12:00:00
59784,Pad Gra Tiem,1,15,2017-08-01 12:35:00
59785,Pad Pak,3,12,2017-08-01 12:12:00
59786,Pad Pak,1,12,2017-08-01 12:53:00
59787,Pad Kee Mao,3,12,2017-08-01 12:48:00
59788,Pad Kee Mao,3,12,2017-08-01 12:47:00
59789,Pad Ka Nar,1,12,2017-08-01 12:54:00
59790,Pumpkin Curry,1,15,2017-08-01 12:27:00
59791,Sticky Rice with Mango,1,6,2017-08-01 12:27:00
59792,Yum Woonsen,4,13,2017-08-01 12:59:00
59793,Pra Ram,1,12,2017-08-01 12:56:00
59794,Sticky Rice with Mango,4,6,2017-08-01 12:05:00
59794,Thai Beef Noodle Soup,4,12,2017-08-01 12:05:00
59795,Yellow Curry,1,12,2017-08-01 12:46:00
59796,Yum Woonsen,1,13,2017-08-01 12:10:00
59797,Pad See Ew,3,12,2017-08-01 12:26:00
59798,Thai Fried Rice,2,12,2017-08-01 12:27:00
59799,Thai Streetfood Noodle,2,12,2017-08-01 12:47:00
59800,Green Curry,1,12,2017-08-01 12:40:00
59801,Sticky Rice with Mango,1,6,2017-08-01 12:19:00
59802,Pumpkin Curry,1,15,2017-08-01 12:25:00
59803,Won Ton Soup,3,12,2017-08-01 12:38:00
59804,Thai Fried Rice,1,12,2017-08-01 12:53:00
59805,Thai Fried Rice,1,12,2017-08-01 12:57:00
59806,Sriracha Wings,1,10,2017-08-01 12:37:00
59807,Pad Prig Khing,1,12,2017-08-01 12:06:00
59808,Chicken Satay,2,10,2017-08-01 12:40:00
59809,Pad Char,2,15,2017-08-01 12:12:00
59810,Waterfall Mushroom and Tofu,1,12,2017-08-01 12:14:00
59811,Waterfall Mushroom and Tofu,3,12,2017-08-01 12:16:00
59812,Pad Kee Mao,5,12,2017-08-01 12:16:00
59813,Pad Gra Tiem,1,15,2017-08-01 12:50:00
59814,MyThai Salad,1,12,2017-08-01 12:52:00
59815,Pra Ram,1,12,2017-08-01 12:47:00
59816,Green Curry,4,12,2017-08-01 12:20:00
59817,Pad Ka Nar,1,12,2017-08-01 12:16:00
59818,Sticky Rice with Mango,3,6,2017-08-01 13:49:00
59818,Pad Prig Khing,3,12,2017-08-01 13:49:00
59819,Pad Kee Mao,3,12,2017-08-01 13:25:00
59820,Won Ton Soup,2,12,2017-08-01 13:07:00
59821,Thai Streetfood Noodle,2,12,2017-08-01 13:38:00
59822,Yellow Curry,2,12,2017-08-01 13:39:00
59823,Basil Fried Rice,1,12,2017-08-01 13:26:00
59824,Chicken Satay,1,10,2017-08-01 13:59:00
59825,MyThai Salad,1,12,2017-08-01 13:22:00
59826,Sticky Rice with Mango,1,6,2017-08-01 13:07:00
59826,Pad Gra Prow,1,15,2017-08-01 13:07:00
59827,Sticky Rice with Mango,1,6,2017-08-01 13:40:00
59827,Pad Kee Mao,1,12,2017-08-01 13:40:00
59828,Thai Fried Rice,1,12,2017-08-01 13:20:00
59829,Basil Fried Rice,4,12,2017-08-01 13:42:00
59830,Larb Gai,3,12,2017-08-01 13:33:00
59831,Pad Thai,1,12,2017-08-01 13:42:00
59832,Thai Beef Noodle Soup,1,12,2017-08-01 13:03:00
59833,Green Curry,1,12,2017-08-01 13:40:00
59834,Pad Gra Tiem,2,15,2017-08-01 13:43:00
59835,Sticky Rice with Mango,1,6,2017-08-01 13:09:00
59835,Pad Gra Prow,1,15,2017-08-01 13:09:00
59836,Sticky Rice with Mango,3,6,2017-08-01 13:53:00
59836,Pad Ka Nar,3,12,2017-08-01 13:53:00
59837,Pad See Ew,1,12,2017-08-01 13:39:00
59838,Chicken Satay,1,10,2017-08-01 13:09:00
59839,Thai Streetfood Noodle,1,12,2017-08-01 13:04:00
59840,Larb Gai,1,12,2017-08-01 13:46:00
59841,Sticky Rice with Mango,1,6,2017-08-01 13:38:00
59841,Thai Fried Rice,1,12,2017-08-01 13:38:00
59842,Yellow Curry,1,12,2017-08-01 13:50:00
59843,Pad Char,3,15,2017-08-01 13:56:00
59844,Sriracha Wings,1,10,2017-08-01 13:37:00
59844,Sticky Rice with Mango,1,6,2017-08-01 13:37:00
59845,Red Curry,1,12,2017-08-01 13:40:00
59846,MyThai Salad,3,12,2017-08-01 13:30:00
59847,Pad Gra Tiem,1,15,2017-08-01 13:21:00
59848,Larb Gai,1,12,2017-08-01 13:57:00
59849,Tom Kha Gai,2,12,2017-08-01 13:52:00
59850,Pumpkin Curry,3,15,2017-08-01 13:56:00
59851,Yellow Curry,3,12,2017-08-01 13:43:00
59852,Pad Pak,1,12,2017-08-01 13:41:00
59853,MyThai Salad,2,12,2017-08-01 13:10:00
59854,Red Curry,3,12,2017-08-01 13:12:00
59855,Pad Kee Mao,3,12,2017-08-01 13:25:00
59856,MyThai Salad,6,12,2017-08-01 13:22:00
59857,Pad Ma Keur,2,12,2017-08-01 13:57:00
59858,Pad Thai,4,12,2017-08-01 13:15:00
59859,Chicken Satay,1,10,2017-08-01 13:18:00
59860,Green Curry,1,12,2017-08-01 13:57:00
59861,Pad Prig Khing,1,12,2017-08-01 13:48:00
59862,Basil Fried Rice,1,12,2017-08-01 13:17:00
59863,Yum Nua,5,12,2017-08-01 13:13:00
59864,Green Curry,2,12,2017-08-01 13:38:00
59865,Thai Streetfood Noodle,1,12,2017-08-01 13:52:00
59866,Nam Kao Tod,3,12,2017-08-01 13:57:00
59867,Pad Thai,1,12,2017-08-01 13:34:00
59868,Green Curry,1,12,2017-08-01 13:14:00
59869,Yellow Curry,1,12,2017-08-01 14:36:00
59870,Pumpkin Curry,1,15,2017-08-01 14:30:00
59871,Pad Gra Tiem,2,15,2017-08-01 14:03:00
59872,Grilled Salmon,1,22,2017-08-01 14:06:00
59873,MyThai Salad,2,12,2017-08-01 14:08:00
59874,Sriracha Wings,1,10,2017-08-01 14:41:00
59875,Pad Gra Tiem,1,15,2017-08-01 14:24:00
59876,Grilled Salmon,1,22,2017-08-01 14:08:00
59877,Sticky Rice with Mango,1,6,2017-08-01 14:00:00
59878,Pad See Ew,2,12,2017-08-01 14:16:00
59879,Sticky Rice with Mango,8,6,2017-08-01 14:01:00
59879,Grilled Salmon,8,22,2017-08-01 14:01:00
59880,Yellow Curry,1,12,2017-08-01 14:35:00
59881,Pad Gra Prow,1,15,2017-08-01 14:15:00
59882,Pad Prig Khing,1,12,2017-08-01 14:49:00
59883,Thai Beef Noodle Soup,1,12,2017-08-01 14:24:00
59884,Yellow Curry,1,12,2017-08-01 14:18:00
59885,Thai Beef Noodle Soup,1,12,2017-08-01 14:20:00
59886,Pad Gra Tiem,1,15,2017-08-01 14:07:00
59887,Larb Gai,3,12,2017-08-01 14:13:00
59888,Pad Thai,2,12,2017-08-01 14:27:00
59889,Thai Fried Rice,1,12,2017-08-01 14:09:00
59890,Waterfall Mushroom and Tofu,1,12,2017-08-01 14:29:00
59891,Pad Thai,1,12,2017-08-01 14:10:00
59892,Thai Fried Rice,3,12,2017-08-01 14:27:00
59893,Basil Fried Rice,6,12,2017-08-01 14:34:00
59894,Sticky Rice with Mango,2,6,2017-08-01 14:40:00
59894,Pad Ma Keur,2,12,2017-08-01 14:40:00
59895,Pad See Ew,1,12,2017-08-01 14:15:00
59896,Tom Yum Gai,5,12,2017-08-01 14:27:00
59897,Pad See Ew,1,12,2017-08-01 14:39:00
59898,Sticky Rice with Mango,1,6,2017-08-01 17:30:00
59898,Larb Gai,1,12,2017-08-01 17:30:00
59899,Thai Fried Rice,1,12,2017-08-01 17:45:00
59900,Tom Kha Gai,1,12,2017-08-01 17:32:00
59901,Red Curry,1,12,2017-08-01 17:47:00
59902,Pad Gra Prow,1,15,2017-08-01 17:58:00
59903,MyThai Salad,1,12,2017-08-01 17:01:00
59904,Pad Gra Tiem,1,15,2017-08-01 17:21:00
59905,Pra Ram,3,12,2017-08-01 17:35:00
59906,Pad Thai,3,12,2017-08-01 17:32:00
59907,Red Curry,2,12,2017-08-01 17:47:00
59908,Green Curry,1,12,2017-08-01 17:59:00
59909,Won Ton Soup,2,12,2017-08-01 17:07:00
59910,Pad Thai,2,12,2017-08-01 17:38:00
59911,Nam Kao Tod,1,12,2017-08-01 17:12:00
59912,Chicken Satay,2,10,2017-08-01 17:01:00
59912,Sticky Rice with Mango,1,6,2017-08-01 17:01:00
59913,Pad Prig Khing,2,12,2017-08-01 17:11:00
59914,Green Curry,1,12,2017-08-01 17:31:00
59915,MyThai Salad,1,12,2017-08-01 17:10:00
59916,Yum Nua,3,12,2017-08-01 17:49:00
59917,Grilled Salmon,1,22,2017-08-01 17:47:00
59918,Pad Gra Tiem,3,15,2017-08-01 17:41:00
59919,Thai Beef Noodle Soup,3,12,2017-08-01 17:31:00
59920,Pad Thai,1,12,2017-08-01 17:12:00
59921,Tom Yum Goong,1,15,2017-08-01 17:19:00
59922,Pad Ka Nar,1,12,2017-08-01 17:05:00
59923,Pad Thai,2,12,2017-08-01 17:55:00
59924,Won Ton Soup,2,12,2017-08-01 17:22:00
59925,Yellow Curry,1,12,2017-08-01 17:45:00
59926,MyThai Salad,3,12,2017-08-01 17:30:00
59927,Nam Kao Tod,1,12,2017-08-01 17:11:00
59928,Pumpkin Curry,2,15,2017-08-01 17:37:00
59929,Pad Ka Nar,2,12,2017-08-01 17:02:00
59930,Sticky Rice with Mango,1,6,2017-08-01 17:33:00
59931,Pad See Ew,4,12,2017-08-01 17:59:00
59932,Thai Fried Rice,1,12,2017-08-01 17:51:00
59933,Sticky Rice with Mango,5,6,2017-08-01 17:40:00
59933,Thai Beef Noodle Soup,5,12,2017-08-01 17:40:00
