,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,109026,Tom Yum Goong,1,15,2018-08-01 11:28:00
1,109027,Thai Fried Rice,1,12,2018-08-01 11:03:00
2,109028,Thai Fried Rice,1,12,2018-08-01 11:21:00
3,109029,Thai Beef Noodle Soup,1,12,2018-08-01 11:12:00
4,109030,Red Curry,1,12,2018-08-01 11:40:00
5,109031,Thai Fried Rice,1,12,2018-08-01 11:56:00
6,109032,Red Curry,1,12,2018-08-01 11:35:00
7,109033,Sticky Rice with Mango,1,6,2018-08-01 11:57:00
8,109034,Pumpkin Curry,1,15,2018-08-01 11:50:00
9,109035,Thai Fried Rice,1,12,2018-08-01 11:47:00
10,109036,Pad Gra Tiem,1,15,2018-08-01 11:33:00
11,109037,Red Curry,1,12,2018-08-01 11:26:00
12,109038,Pad Char,1,15,2018-08-01 11:19:00
13,109039,Red Curry,1,12,2018-08-01 11:30:00
14,109040,Green Curry,1,12,2018-08-01 11:20:00
15,109041,Sriracha Wings,1,10,2018-08-01 11:12:00
16,109042,Grilled Salmon,1,22,2018-08-01 11:51:00
17,109043,Pad Kee Mao,1,12,2018-08-01 11:50:00
18,109044,Won Ton Soup,1,12,2018-08-01 11:00:00
19,109045,Red Curry,1,12,2018-08-01 11:19:00
20,109046,Pad Kee Mao,1,12,2018-08-01 11:33:00
21,109047,Pad Char,1,15,2018-08-01 11:36:00
22,109048,Pad Gra Tiem,1,15,2018-08-01 12:46:00
23,109049,Yellow Curry,1,12,2018-08-01 12:37:00
24,109050,Pad Thai,1,12,2018-08-01 12:39:00
25,109051,Pra Ram,1,12,2018-08-01 12:08:00
26,109052,Red Curry,1,12,2018-08-01 12:13:00
27,109053,Thai Fried Rice,1,12,2018-08-01 12:34:00
28,109054,Grilled Salmon,1,22,2018-08-01 12:44:00
29,109055,Won Ton Soup,1,12,2018-08-01 12:55:00
30,109056,Yellow Curry,1,12,2018-08-01 12:59:00
31,109057,Nam Kao Tod,1,12,2018-08-01 12:58:00
32,109058,Pad Ka Nar,1,12,2018-08-01 12:12:00
33,109059,MyThai Salad,1,12,2018-08-01 12:25:00
34,109060,Green Curry,1,12,2018-08-01 12:21:00
35,109061,Sticky Rice with Mango,1,6,2018-08-01 12:33:00
36,109062,Pad Kee Mao,1,12,2018-08-01 12:25:00
37,109063,Grilled Salmon,1,22,2018-08-01 12:23:00
38,109064,MyThai Salad,1,12,2018-08-01 12:50:00
39,109065,Red Curry,1,12,2018-08-01 12:25:00
40,109066,Red Curry,1,12,2018-08-01 12:32:00
41,109067,Sticky Rice with Mango,1,6,2018-08-01 12:45:00
42,109068,Thai Beef Noodle Soup,1,12,2018-08-01 12:11:00
43,109069,Pra Ram,1,12,2018-08-01 12:11:00
44,109070,Som Tum,1,12,2018-08-01 12:25:00
45,109071,Sticky Rice with Mango,1,6,2018-08-01 13:43:00
46,109071,Pad See Ew,1,12,2018-08-01 13:43:00
47,109072,Thai Fried Rice,1,12,2018-08-01 13:17:00
48,109073,Green Curry,1,12,2018-08-01 13:38:00
49,109074,Sticky Rice with Mango,1,6,2018-08-01 13:56:00
50,109074,Won Ton Soup,1,12,2018-08-01 13:56:00
51,109075,Basil Fried Rice,1,12,2018-08-01 13:15:00
52,109076,Yellow Curry,2,12,2018-08-01 13:22:00
53,109077,Won Ton Soup,1,12,2018-08-01 13:54:00
54,109078,Chicken Satay,1,10,2018-08-01 13:55:00
55,109079,Red Curry,1,12,2018-08-01 13:57:00
56,109080,Pad Gra Prow,1,15,2018-08-01 13:02:00
57,109081,Pra Ram,1,12,2018-08-01 13:04:00
58,109082,Tom Kha Gai,2,12,2018-08-01 13:07:00
59,109083,Pad Kee Mao,1,12,2018-08-01 13:54:00
