Order ID,Item,Quantity Ordered,Price Each,Order Date
67792,Pad Kee Mao,2,12,2017-12-01 11:47:00
67793,Basil Fried Rice,1,12,2017-12-01 11:26:00
67794,Thai Beef Noodle Soup,1,12,2017-12-01 11:43:00
67795,Thai Beef Noodle Soup,2,12,2017-12-01 11:16:00
67796,Thai Beef Noodle Soup,1,12,2017-12-01 11:50:00
67797,Sticky Rice with Mango,1,6,2017-12-01 11:49:00
67798,Waterfall Mushroom and Tofu,2,12,2017-12-01 11:57:00
67799,Yum Nua,3,12,2017-12-01 11:09:00
67800,Pumpkin Curry,1,15,2017-12-01 11:46:00
67801,Pad Prig Khing,2,12,2017-12-01 11:16:00
67802,Vegan Fresh Rolls,1,10,2017-12-01 11:24:00
67803,Won Ton Soup,1,12,2017-12-01 11:08:00
67804,Pad See Ew,2,12,2017-12-01 11:56:00
67805,Won Ton Soup,2,12,2017-12-01 11:53:00
67806,Pad Prig Khing,2,12,2017-12-01 11:53:00
67807,Basil Fried Rice,1,12,2017-12-01 11:15:00
67808,Sticky Rice with Mango,1,6,2017-12-01 11:05:00
67809,Thai Beef Noodle Soup,2,12,2017-12-01 11:28:00
67810,Pad Gra Prow,2,15,2017-12-01 11:29:00
67811,MyThai Salad,1,12,2017-12-01 11:22:00
67812,Pad Thai,1,12,2017-12-01 11:07:00
67813,Yellow Curry,1,12,2017-12-01 11:15:00
67814,Thai Fried Rice,1,12,2017-12-01 11:37:00
67815,Pad Ka Nar,1,12,2017-12-01 11:58:00
67816,Larb Gai,1,12,2017-12-01 11:36:00
67817,Sticky Rice with Mango,1,6,2017-12-01 12:35:00
67818,Won Ton Soup,1,12,2017-12-01 12:39:00
67819,Basil Fried Rice,1,12,2017-12-01 12:07:00
67820,Pad See Ew,2,12,2017-12-01 12:27:00
67821,MyThai Salad,3,12,2017-12-01 12:51:00
67822,Thai Beef Noodle Soup,1,12,2017-12-01 12:43:00
67823,Waterfall Mushroom and Tofu,2,12,2017-12-01 12:07:00
67824,Basil Fried Rice,2,12,2017-12-01 12:24:00
67825,Som Tum,1,12,2017-12-01 12:57:00
67826,Pad Gra Tiem,2,15,2017-12-01 12:23:00
67827,Sticky Rice with Mango,1,6,2017-12-01 12:12:00
67827,Basil Fried Rice,1,12,2017-12-01 12:12:00
67828,Pad Gra Prow,1,15,2017-12-01 12:45:00
67829,Thai Streetfood Noodle,1,12,2017-12-01 12:37:00
67830,Pad Thai,2,12,2017-12-01 12:37:00
67831,Red Curry,1,12,2017-12-01 12:32:00
67832,Bar-B-Q Chicken,1,20,2017-12-01 12:43:00
67833,Thai Fried Rice,1,12,2017-12-01 12:26:00
67834,Tom Yum Gai,1,12,2017-12-01 12:26:00
67835,Pad Thai,2,12,2017-12-01 12:45:00
67836,Larb Gai,1,12,2017-12-01 12:39:00
67837,Chicken Satay,1,10,2017-12-01 12:04:00
67838,Yellow Curry,1,12,2017-12-01 12:52:00
67839,Grilled Thai Steak,2,20,2017-12-01 12:24:00
67840,Pad Gra Prow,1,15,2017-12-01 12:06:00
67841,Vegan Fresh Rolls,5,10,2017-12-01 12:11:00
67842,Pad Char,1,15,2017-12-01 12:33:00
67843,Sticky Rice with Mango,3,6,2017-12-01 12:35:00
67843,Pad Kee Mao,3,12,2017-12-01 12:35:00
67844,Yum Woonsen,2,13,2017-12-01 12:38:00
67845,Chicken Satay,1,10,2017-12-01 12:04:00
67846,Grilled Thai Steak,1,20,2017-12-01 12:20:00
67847,Pad Prig Khing,2,12,2017-12-01 12:47:00
67848,Sticky Rice with Mango,2,6,2017-12-01 12:23:00
67848,Red Curry,2,12,2017-12-01 12:23:00
67849,Pad Gra Prow,1,15,2017-12-01 12:06:00
67850,Sticky Rice with Mango,1,6,2017-12-01 12:19:00
67851,Pumpkin Curry,1,15,2017-12-01 12:35:00
67852,Pad Gra Prow,2,15,2017-12-01 12:55:00
67853,Yum Woonsen,2,13,2017-12-01 12:21:00
67854,Yellow Curry,1,12,2017-12-01 12:37:00
67855,Pad Gra Tiem,1,15,2017-12-01 12:35:00
67856,Thai Streetfood Noodle,1,12,2017-12-01 13:40:00
67857,Thai Beef Noodle Soup,4,12,2017-12-01 13:07:00
67858,Basil Fried Rice,1,12,2017-12-01 13:14:00
67859,Vegan Fresh Rolls,2,10,2017-12-01 13:38:00
67860,Red Curry,2,12,2017-12-01 13:20:00
67861,Yellow Curry,1,12,2017-12-01 13:57:00
67862,Grilled Salmon,1,22,2017-12-01 13:56:00
67863,Pad Gra Tiem,1,15,2017-12-01 13:08:00
67864,Pad Gra Tiem,3,15,2017-12-01 13:54:00
67865,Tom Yum Gai,2,12,2017-12-01 13:45:00
67866,Thai Fried Rice,1,12,2017-12-01 13:41:00
67867,Red Curry,1,12,2017-12-01 13:23:00
67868,Tom Kha Gai,1,12,2017-12-01 13:57:00
67869,Tom Kha Gai,1,12,2017-12-01 13:47:00
67870,Green Curry,2,12,2017-12-01 13:47:00
67871,Pad Gra Tiem,3,15,2017-12-01 13:41:00
67872,Pad Char,1,15,2017-12-01 13:58:00
67873,Pad Prig Khing,1,12,2017-12-01 13:57:00
67874,Pad Kee Mao,2,12,2017-12-01 13:28:00
67875,Pra Ram,1,12,2017-12-01 13:13:00
67876,Green Curry,1,12,2017-12-01 13:37:00
67877,Pad Prig Khing,1,12,2017-12-01 13:08:00
67878,Bar-B-Q Chicken,1,20,2017-12-01 13:21:00
67879,Thai Beef Noodle Soup,1,12,2017-12-01 13:31:00
67880,Pad Gra Tiem,1,15,2017-12-01 13:45:00
67881,Thai Streetfood Noodle,3,12,2017-12-01 13:12:00
67882,Tom Yum Goong,1,15,2017-12-01 13:56:00
67883,Red Curry,1,12,2017-12-01 13:53:00
67884,MyThai Salad,1,12,2017-12-01 13:17:00
67885,Yum Nua,2,12,2017-12-01 13:30:00
67886,Sticky Rice with Mango,1,6,2017-12-01 13:53:00
67887,Sticky Rice with Mango,1,6,2017-12-01 13:34:00
67888,Chicken Satay,2,10,2017-12-01 13:42:00
67889,Vegan Fresh Rolls,1,10,2017-12-01 13:46:00
67890,Thai Streetfood Noodle,2,12,2017-12-01 13:52:00
67891,Pad Ka Nar,1,12,2017-12-01 13:58:00
67892,Sticky Rice with Mango,2,6,2017-12-01 14:31:00
67893,Pad Gra Tiem,1,15,2017-12-01 14:33:00
67894,Vegan Fresh Rolls,1,10,2017-12-01 14:28:00
67895,Pad Char,1,15,2017-12-01 14:43:00
67896,MyThai Salad,2,12,2017-12-01 14:31:00
67897,Pra Ram,1,12,2017-12-01 14:53:00
67898,Pad Thai,2,12,2017-12-01 14:00:00
67899,Thai Beef Noodle Soup,1,12,2017-12-01 14:44:00
67900,Thai Streetfood Noodle,1,12,2017-12-01 14:33:00
67901,Pad See Ew,2,12,2017-12-01 14:39:00
67902,Thai Streetfood Noodle,1,12,2017-12-01 14:01:00
67903,Sriracha Wings,1,10,2017-12-01 14:42:00
67904,Red Curry,1,12,2017-12-01 14:51:00
67905,Red Curry,1,12,2017-12-01 14:11:00
67906,Red Curry,2,12,2017-12-01 14:37:00
67907,Won Ton Soup,2,12,2017-12-01 14:24:00
67908,Won Ton Soup,3,12,2017-12-01 14:22:00
67909,Pad Prig Khing,5,12,2017-12-01 14:09:00
67910,Won Ton Soup,1,12,2017-12-01 14:55:00
67911,Pad Kee Mao,2,12,2017-12-01 14:15:00
67912,Pad Kee Mao,2,12,2017-12-01 14:22:00
67913,Sticky Rice with Mango,2,6,2017-12-01 14:58:00
67914,Thai Beef Noodle Soup,1,12,2017-12-01 14:35:00
67915,Thai Streetfood Noodle,2,12,2017-12-01 14:38:00
67916,Yellow Curry,1,12,2017-12-01 14:57:00
67917,Vegan Fresh Rolls,1,10,2017-12-01 14:36:00
67918,Red Curry,6,12,2017-12-01 14:25:00
67919,Basil Fried Rice,3,12,2017-12-01 14:27:00
67920,Green Curry,1,12,2017-12-01 14:45:00
67921,Chicken Satay,1,10,2017-12-01 17:08:00
67922,MyThai Salad,2,12,2017-12-01 17:40:00
67923,Vegan Fresh Rolls,3,10,2017-12-01 17:14:00
67923,Pra Ram,3,12,2017-12-01 17:14:00
67924,Vegan Fresh Rolls,1,10,2017-12-01 17:58:00
67925,Tom Yum Gai,3,12,2017-12-01 17:05:00
67926,Thai Streetfood Noodle,3,12,2017-12-01 17:58:00
67927,Thai Beef Noodle Soup,2,12,2017-12-01 17:27:00
67928,Yellow Curry,2,12,2017-12-01 17:37:00
67929,Sticky Rice with Mango,1,6,2017-12-01 17:46:00
67930,Thai Fried Rice,2,12,2017-12-01 17:38:00
67931,Won Ton Soup,1,12,2017-12-01 17:57:00
67932,Red Curry,1,12,2017-12-01 17:32:00
67933,Yellow Curry,3,12,2017-12-01 17:34:00
