,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,202095,Pad Thai,1,12,2019-12-01 12:58:00
1,202096,Pad Thai,1,12,2019-12-01 12:46:00
2,202097,Red Curry,1,12,2019-12-01 12:40:00
3,202098,Green Curry,1,12,2019-12-01 12:10:00
4,202099,Pad Kee Mao,1,12,2019-12-01 12:38:00
5,202100,Sticky Rice with Mango,6,6,2019-12-01 12:58:00
6,202100,Thai Beef Noodle Soup,6,12,2019-12-01 12:58:00
7,202101,Thai Streetfood Noodle,1,12,2019-12-01 12:37:00
8,202102,Thai Streetfood Noodle,2,12,2019-12-01 12:42:00
9,202103,Won Ton Soup,1,12,2019-12-01 12:52:00
10,202104,Chicken Satay,1,10,2019-12-01 12:44:00
11,202104,Pad See Ew,1,12,2019-12-01 12:44:00
12,202105,Pad Gra Tiem,1,15,2019-12-01 12:44:00
13,202106,Pad Thai,1,12,2019-12-01 12:01:00
14,202107,Won Ton Soup,1,12,2019-12-01 12:07:00
15,202108,Chicken Satay,1,10,2019-12-01 12:51:00
16,202109,Pad Ka Nar,1,12,2019-12-01 12:14:00
17,202110,Green Curry,1,12,2019-12-01 12:23:00
18,202111,Red Curry,1,12,2019-12-01 12:12:00
19,202112,Yellow Curry,1,12,2019-12-01 12:12:00
20,202113,Grilled Salmon,1,22,2019-12-01 12:16:00
21,202114,Green Curry,1,12,2019-12-01 12:50:00
22,202115,Sticky Rice with Mango,3,6,2019-12-01 12:51:00
23,202116,Won Ton Soup,1,12,2019-12-01 12:51:00
24,202117,Thai Beef Noodle Soup,1,12,2019-12-01 12:51:00
25,202118,Pumpkin Curry,1,15,2019-12-01 12:27:00
26,202119,Sticky Rice with Mango,1,6,2019-12-01 12:40:00
27,202119,Pad Ka Nar,1,12,2019-12-01 12:40:00
28,202120,Yellow Curry,1,12,2019-12-01 12:21:00
29,202121,Thai Fried Rice,1,12,2019-12-01 12:46:00
30,202122,Grilled Salmon,1,22,2019-12-01 12:46:00
31,202123,Som Tum,2,12,2019-12-01 12:28:00
32,202124,Pumpkin Curry,1,15,2019-12-01 12:15:00
33,202125,Thai Streetfood Noodle,1,12,2019-12-01 12:48:00
34,202126,Pad Gra Prow,1,15,2019-12-01 12:56:00
35,202127,Yum Nua,1,12,2019-12-01 12:03:00
36,202128,Pumpkin Curry,1,15,2019-12-01 12:48:00
37,202129,Basil Fried Rice,1,12,2019-12-01 13:50:00
38,202130,Green Curry,1,12,2019-12-01 13:25:00
39,202131,Green Curry,1,12,2019-12-01 13:59:00
40,202132,Tom Yum Gai,1,12,2019-12-01 13:32:00
41,202133,Tom Yum Goong,1,15,2019-12-01 13:01:00
42,202134,Pad Gra Prow,1,15,2019-12-01 13:22:00
43,202135,MyThai Salad,1,12,2019-12-01 13:37:00
44,202136,Basil Fried Rice,1,12,2019-12-01 13:50:00
45,202137,Pumpkin Curry,1,15,2019-12-01 13:01:00
46,202138,Red Curry,1,12,2019-12-01 13:46:00
47,202139,Green Curry,1,12,2019-12-01 13:57:00
48,202140,Pad Gra Prow,1,15,2019-12-01 13:51:00
49,202141,Pad Ma Keur,1,12,2019-12-01 13:05:00
50,202142,Pad Char,1,15,2019-12-01 13:53:00
51,202143,Larb Gai,1,12,2019-12-01 13:22:00
52,202144,Pumpkin Curry,1,15,2019-12-01 13:24:00
53,202145,MyThai Salad,2,12,2019-12-01 13:41:00
54,202146,Red Curry,1,12,2019-12-01 13:24:00
55,202147,Pad See Ew,1,12,2019-12-01 13:22:00
56,202148,Pad Thai,1,12,2019-12-01 13:49:00
57,202149,Pad Gra Tiem,1,15,2019-12-01 13:56:00
58,202150,Basil Fried Rice,1,12,2019-12-01 13:43:00
59,202151,Sticky Rice with Mango,1,6,2019-12-01 13:38:00
60,202151,Pad Thai,1,12,2019-12-01 13:38:00
61,202152,Yum Woonsen,1,13,2019-12-01 13:34:00
62,202153,Pumpkin Curry,1,15,2019-12-01 13:45:00
63,202154,Pad Thai,1,12,2019-12-01 13:51:00
64,202155,Thai Beef Noodle Soup,1,12,2019-12-01 13:15:00
65,202156,Pumpkin Curry,1,15,2019-12-01 13:08:00
66,202157,Pad Prig Khing,9,12,2019-12-01 13:12:00
67,202158,Pad See Ew,1,12,2019-12-01 13:52:00
68,202159,Sticky Rice with Mango,1,6,2019-12-01 13:27:00
69,202159,Pad See Ew,1,12,2019-12-01 13:27:00
70,202160,Sticky Rice with Mango,1,6,2019-12-01 13:35:00
71,202160,Pad Gra Tiem,1,15,2019-12-01 13:35:00
72,202161,Red Curry,2,12,2019-12-01 13:43:00
73,202162,Yellow Curry,1,12,2019-12-01 13:27:00
74,202163,Larb Gai,1,12,2019-12-01 13:48:00
75,202164,Sticky Rice with Mango,1,6,2019-12-01 13:48:00
76,202164,Thai Streetfood Noodle,1,12,2019-12-01 13:48:00
77,202165,Won Ton Soup,1,12,2019-12-01 13:58:00
78,202166,Sticky Rice with Mango,1,6,2019-12-01 13:34:00
79,202166,Won Ton Soup,1,12,2019-12-01 13:34:00
80,202167,MyThai Salad,1,12,2019-12-01 13:35:00
81,202168,Chicken Satay,1,10,2019-12-01 13:50:00
82,202169,Pad Gra Prow,1,15,2019-12-01 13:02:00
83,202170,Pad Gra Tiem,1,15,2019-12-01 13:22:00
84,202171,Sticky Rice with Mango,1,6,2019-12-01 14:18:00
85,202172,Pad Prig Khing,2,12,2019-12-01 14:05:00
86,202173,Thai Fried Rice,1,12,2019-12-01 14:22:00
87,202174,Thai Fried Rice,1,12,2019-12-01 14:00:00
88,202175,Basil Fried Rice,1,12,2019-12-01 14:24:00
89,202176,Pra Ram,1,12,2019-12-01 14:34:00
90,202177,Vegan Fresh Rolls,2,10,2019-12-01 14:25:00
91,202178,Green Curry,1,12,2019-12-01 14:34:00
92,202179,Pad Pak,1,12,2019-12-01 14:12:00
93,202180,Won Ton Soup,1,12,2019-12-01 14:04:00
94,202181,Pad See Ew,1,12,2019-12-01 14:27:00
95,202182,Green Curry,1,12,2019-12-01 14:47:00
96,202183,Chicken Satay,1,10,2019-12-01 14:09:00
97,202184,Pad Gra Tiem,1,15,2019-12-01 14:36:00
98,202185,Grilled Salmon,1,22,2019-12-01 14:44:00
99,202186,Nam Kao Tod,1,12,2019-12-01 14:56:00
100,202187,Thai Streetfood Noodle,1,12,2019-12-01 14:53:00
101,202188,Pad Ka Nar,1,12,2019-12-01 14:15:00
102,202189,Yellow Curry,1,12,2019-12-01 14:36:00
103,202190,Som Tum,1,12,2019-12-01 14:36:00
