Order ID,Item,Quantity Ordered,Price Each,Order Date
114286,Sticky Rice with Mango,2,6,2018-02-01 11:10:00
114287,Pad Gra Tiem,1,15,2018-02-01 11:31:00
114288,Vegan Fresh Rolls,1,10,2018-02-01 11:28:00
114289,Basil Fried Rice,2,12,2018-02-01 11:11:00
114290,Thai Streetfood Noodle,2,12,2018-02-01 11:26:00
114291,Thai Streetfood Noodle,1,12,2018-02-01 11:54:00
114292,Green Curry,1,12,2018-02-01 11:58:00
114293,Yellow Curry,1,12,2018-02-01 11:29:00
114294,Basil Fried Rice,1,12,2018-02-01 11:53:00
114295,Yellow Curry,2,12,2018-02-01 11:12:00
114296,Tom Yum Gai,1,12,2018-02-01 11:15:00
114297,Pad Kee Mao,1,12,2018-02-01 11:59:00
114298,Pumpkin Curry,1,15,2018-02-01 11:44:00
114299,Won Ton Soup,3,12,2018-02-01 11:37:00
114300,Basil Fried Rice,3,12,2018-02-01 11:39:00
114301,Sticky Rice with Mango,1,6,2018-02-01 11:15:00
114301,Grilled Salmon,1,22,2018-02-01 11:15:00
114302,Pad See Ew,3,12,2018-02-01 11:59:00
114303,Green Curry,1,12,2018-02-01 11:43:00
114304,Basil Fried Rice,3,12,2018-02-01 11:22:00
114305,Chicken Satay,1,10,2018-02-01 11:24:00
114306,Pad Gra Prow,1,15,2018-02-01 11:49:00
114307,Waterfall Mushroom and Tofu,2,12,2018-02-01 11:54:00
114308,Sticky Rice with Mango,1,6,2018-02-01 11:06:00
114309,Pumpkin Curry,3,15,2018-02-01 11:55:00
114310,Grilled Thai Steak,3,20,2018-02-01 11:52:00
114311,Tom Yum Goong,4,15,2018-02-01 11:54:00
114312,Grilled Salmon,3,22,2018-02-01 11:54:00
114313,Thai Streetfood Noodle,2,12,2018-02-01 11:19:00
114314,Thai Streetfood Noodle,1,12,2018-02-01 11:03:00
114315,Sticky Rice with Mango,1,6,2018-02-01 11:33:00
114316,Pad Kee Mao,2,12,2018-02-01 11:29:00
114317,Pad Gra Prow,1,15,2018-02-01 11:32:00
114318,Pumpkin Curry,2,15,2018-02-01 11:35:00
114319,Basil Fried Rice,1,12,2018-02-01 11:49:00
114320,Green Curry,1,12,2018-02-01 11:24:00
114321,Sticky Rice with Mango,1,6,2018-02-01 11:27:00
114321,Sticky Rice with Mango,1,6,2018-02-01 11:27:00
114322,Yellow Curry,2,12,2018-02-01 11:58:00
114323,Sriracha Wings,2,10,2018-02-01 11:23:00
114324,Pad Gra Prow,1,15,2018-02-01 12:26:00
114325,Sriracha Wings,1,10,2018-02-01 12:35:00
114326,Pad Kee Mao,1,12,2018-02-01 12:54:00
114327,Waterfall Mushroom and Tofu,1,12,2018-02-01 12:00:00
114328,Grilled Salmon,5,22,2018-02-01 12:35:00
114329,Thai Streetfood Noodle,1,12,2018-02-01 12:47:00
114330,Nam Kao Tod,1,12,2018-02-01 12:06:00
114331,Pad Thai,1,12,2018-02-01 12:31:00
114332,Sticky Rice with Mango,1,6,2018-02-01 12:35:00
114332,Tom Yum Goong,1,15,2018-02-01 12:35:00
114333,Chicken Satay,1,10,2018-02-01 12:09:00
114333,Pad See Ew,1,12,2018-02-01 12:09:00
114334,Sticky Rice with Mango,1,6,2018-02-01 12:18:00
114334,Grilled Thai Steak,1,20,2018-02-01 12:18:00
114335,Pad Thai,2,12,2018-02-01 12:00:00
114336,Thai Beef Noodle Soup,1,12,2018-02-01 12:15:00
114337,Sriracha Wings,1,10,2018-02-01 12:49:00
114338,Chicken Satay,1,10,2018-02-01 12:03:00
114339,Pad Gra Tiem,1,15,2018-02-01 12:37:00
114340,Nam Kao Tod,4,12,2018-02-01 12:45:00
114341,Pad Pak,1,12,2018-02-01 12:51:00
114342,Thai Streetfood Noodle,1,12,2018-02-01 12:29:00
114343,Chicken Satay,2,10,2018-02-01 12:14:00
114344,Green Curry,2,12,2018-02-01 12:19:00
114345,Grilled Salmon,2,22,2018-02-01 12:08:00
114346,Larb Gai,1,12,2018-02-01 12:00:00
114347,Green Curry,1,12,2018-02-01 12:23:00
114348,Pad Kee Mao,1,12,2018-02-01 12:09:00
114349,Pad Char,5,15,2018-02-01 12:56:00
114350,Won Ton Soup,1,12,2018-02-01 12:36:00
114351,Yum Nua,2,12,2018-02-01 13:49:00
114352,Sticky Rice with Mango,3,6,2018-02-01 13:22:00
114353,Chicken Satay,1,10,2018-02-01 13:29:00
114353,Sticky Rice with Mango,1,6,2018-02-01 13:29:00
114354,Pra Ram,1,12,2018-02-01 13:35:00
114355,Sriracha Wings,2,10,2018-02-01 13:08:00
114356,Red Curry,3,12,2018-02-01 13:44:00
114357,Pad See Ew,1,12,2018-02-01 13:00:00
114358,Pad Ma Keur,1,12,2018-02-01 13:50:00
114359,Pad Gra Prow,1,15,2018-02-01 13:58:00
114360,Pad Kee Mao,1,12,2018-02-01 13:48:00
114361,Vegan Fresh Rolls,1,10,2018-02-01 13:09:00
114362,Vegan Fresh Rolls,1,10,2018-02-01 13:47:00
114363,Pad See Ew,3,12,2018-02-01 13:49:00
114364,Yellow Curry,1,12,2018-02-01 13:26:00
114365,Won Ton Soup,2,12,2018-02-01 13:48:00
114366,Pumpkin Curry,2,15,2018-02-01 13:55:00
114367,Thai Fried Rice,1,12,2018-02-01 13:47:00
114368,Grilled Salmon,2,22,2018-02-01 13:00:00
114369,Green Curry,1,12,2018-02-01 13:47:00
114370,Yellow Curry,1,12,2018-02-01 13:40:00
114371,Sticky Rice with Mango,1,6,2018-02-01 13:48:00
114371,Green Curry,1,12,2018-02-01 13:48:00
114372,Bar-B-Q Chicken,1,20,2018-02-01 13:47:00
114373,Thai Beef Noodle Soup,2,12,2018-02-01 13:00:00
114374,Pad Char,1,15,2018-02-01 13:49:00
114375,Bar-B-Q Chicken,1,20,2018-02-01 13:05:00
114376,Sticky Rice with Mango,2,6,2018-02-01 13:02:00
114377,Basil Fried Rice,5,12,2018-02-01 13:37:00
114378,Thai Streetfood Noodle,1,12,2018-02-01 13:00:00
114379,Sriracha Wings,2,10,2018-02-01 13:00:00
114380,Thai Streetfood Noodle,3,12,2018-02-01 13:54:00
114381,Yellow Curry,1,12,2018-02-01 13:03:00
114382,Green Curry,1,12,2018-02-01 13:21:00
114383,Pad Kee Mao,1,12,2018-02-01 13:33:00
114384,Pad Ka Nar,1,12,2018-02-01 14:55:00
114385,Thai Streetfood Noodle,2,12,2018-02-01 14:16:00
114386,Sriracha Wings,1,10,2018-02-01 14:59:00
114387,Pad Gra Tiem,1,15,2018-02-01 14:49:00
114388,Basil Fried Rice,1,12,2018-02-01 14:00:00
114389,Pad Gra Prow,2,15,2018-02-01 14:48:00
114390,Thai Beef Noodle Soup,1,12,2018-02-01 14:23:00
114391,Red Curry,1,12,2018-02-01 14:41:00
114392,Pad Thai,1,12,2018-02-01 14:38:00
114393,Thai Beef Noodle Soup,2,12,2018-02-01 14:13:00
114394,Tom Yum Goong,1,15,2018-02-01 14:36:00
114395,Basil Fried Rice,3,12,2018-02-01 14:01:00
114396,Sticky Rice with Mango,1,6,2018-02-01 14:59:00
114396,Green Curry,1,12,2018-02-01 14:59:00
114397,Yellow Curry,2,12,2018-02-01 14:50:00
114398,Pad Gra Tiem,1,15,2018-02-01 14:07:00
114399,Pumpkin Curry,7,15,2018-02-01 14:09:00
114400,Thai Streetfood Noodle,1,12,2018-02-01 14:47:00
114401,Pad Thai,1,12,2018-02-01 14:29:00
114402,Green Curry,1,12,2018-02-01 14:36:00
114403,Yellow Curry,2,12,2018-02-01 14:06:00
114404,Pad Thai,1,12,2018-02-01 14:37:00
114405,Basil Fried Rice,1,12,2018-02-01 14:48:00
114406,Thai Fried Rice,1,12,2018-02-01 14:26:00
114407,Sticky Rice with Mango,1,6,2018-02-01 14:58:00
114407,Yellow Curry,1,12,2018-02-01 14:58:00
114408,Pad See Ew,1,12,2018-02-01 14:05:00
114409,Tom Kha Gai,2,12,2018-02-01 14:47:00
114410,Yellow Curry,2,12,2018-02-01 14:46:00
114411,Sticky Rice with Mango,2,6,2018-02-01 14:51:00
114411,Thai Fried Rice,2,12,2018-02-01 14:51:00
114412,Red Curry,1,12,2018-02-01 14:06:00
114413,Won Ton Soup,1,12,2018-02-01 14:04:00
114414,Tom Yum Gai,1,12,2018-02-01 14:25:00
114415,Grilled Salmon,1,22,2018-02-01 14:36:00
114416,Pad See Ew,2,12,2018-02-01 14:51:00
114417,Chicken Satay,3,10,2018-02-01 17:15:00
114418,Pad Ma Keur,1,12,2018-02-01 17:56:00
114419,Thai Beef Noodle Soup,1,12,2018-02-01 17:14:00
