,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,71618,Grilled Salmon,1,22,2018-01-02 11:26:00
1,71619,Green Curry,1,12,2018-01-02 11:39:00
2,71620,Sticky Rice with Mango,1,6,2018-01-02 11:39:00
3,71621,MyThai Salad,1,12,2018-01-02 11:26:00
4,71622,Pad Gra Tiem,5,15,2018-01-02 11:13:00
5,71623,Thai Fried Rice,1,12,2018-01-02 11:32:00
6,71624,Pad Gra Prow,2,15,2018-01-02 11:23:00
7,71625,Waterfall Mushroom and Tofu,1,12,2018-01-02 11:08:00
8,71626,Green Curry,1,12,2018-01-02 11:30:00
9,71627,Pad Char,1,15,2018-01-02 11:37:00
10,71628,Sticky Rice with Mango,1,6,2018-01-02 11:36:00
11,71629,Pra Ram,1,12,2018-01-02 11:42:00
12,71630,Chicken Satay,1,10,2018-01-02 11:00:00
13,71631,Vegan Fresh Rolls,2,10,2018-01-02 11:02:00
14,71632,Grilled Salmon,1,22,2018-01-02 11:04:00
15,71633,Pad Gra Prow,1,15,2018-01-02 11:58:00
16,71634,Grilled Salmon,1,22,2018-01-02 11:13:00
17,71635,Green Curry,1,12,2018-01-02 12:31:00
18,71636,Pad Char,1,15,2018-01-02 12:38:00
19,71637,Tom Kha Gai,1,12,2018-01-02 12:08:00
20,71638,Thai Beef Noodle Soup,1,12,2018-01-02 12:42:00
21,71639,Thai Fried Rice,1,12,2018-01-02 12:03:00
22,71640,Tom Kha Gai,1,12,2018-01-02 12:00:00
23,71641,Won Ton Soup,1,12,2018-01-02 12:05:00
24,71642,Pad Thai,1,12,2018-01-02 12:35:00
25,71643,Basil Fried Rice,1,12,2018-01-02 12:17:00
26,71644,Pumpkin Curry,1,15,2018-01-02 12:41:00
27,71645,Basil Fried Rice,1,12,2018-01-02 12:23:00
28,71646,Thai Streetfood Noodle,1,12,2018-01-02 12:51:00
29,71647,Tom Yum Goong,1,15,2018-01-02 12:33:00
30,71648,Pad Gra Tiem,1,15,2018-01-02 12:47:00
31,71649,Thai Streetfood Noodle,1,12,2018-01-02 12:21:00
32,71650,Won Ton Soup,1,12,2018-01-02 12:19:00
33,71651,Red Curry,1,12,2018-01-02 12:35:00
34,71652,Yum Nua,1,12,2018-01-02 12:41:00
35,71653,Thai Streetfood Noodle,1,12,2018-01-02 12:40:00
36,71654,Grilled Salmon,1,22,2018-01-02 12:35:00
37,71655,Chicken Satay,1,10,2018-01-02 12:58:00
38,71656,Sriracha Wings,1,10,2018-01-02 12:49:00
39,71657,Pumpkin Curry,1,15,2018-01-02 12:47:00
40,71658,Sticky Rice with Mango,1,6,2018-01-02 13:00:00
41,71658,Pad Kee Mao,1,12,2018-01-02 13:00:00
42,71659,Thai Beef Noodle Soup,1,12,2018-01-02 13:52:00
43,71660,Pad Thai,1,12,2018-01-02 13:30:00
44,71661,Red Curry,1,12,2018-01-02 13:49:00
45,71662,Yellow Curry,1,12,2018-01-02 13:39:00
46,71663,Sriracha Wings,1,10,2018-01-02 13:26:00
47,71664,Thai Fried Rice,1,12,2018-01-02 13:29:00
48,71665,Pumpkin Curry,1,15,2018-01-02 13:46:00
49,71666,Sticky Rice with Mango,1,6,2018-01-02 13:15:00
50,71666,Sticky Rice with Mango,1,6,2018-01-02 13:15:00
51,71667,Waterfall Mushroom and Tofu,1,12,2018-01-02 13:44:00
52,71668,Pad Ma Keur,1,12,2018-01-02 13:02:00
53,71669,Pad Char,1,15,2018-01-02 13:18:00
54,71670,Nam Kao Tod,1,12,2018-01-02 13:07:00
55,71671,Pad Prig Khing,1,12,2018-01-02 13:11:00
56,71672,Tom Yum Gai,1,12,2018-01-02 13:07:00
57,71673,Green Curry,1,12,2018-01-02 13:23:00
