Order ID,Item,Quantity Ordered,Price Each,Order Date
147664,Sticky Rice with Mango,1,6,2019-01-01 11:10:00
147664,Pad Char,1,15,2019-01-01 11:10:00
147665,Pad Prig Khing,1,12,2019-01-01 11:16:00
147666,Sticky Rice with Mango,4,6,2019-01-01 11:35:00
147666,Thai Fried Rice,4,12,2019-01-01 11:35:00
147667,Pad Ka Nar,1,12,2019-01-01 11:44:00
147668,Pad Gra Tiem,2,15,2019-01-01 11:50:00
147669,Pad Gra Prow,1,15,2019-01-01 11:05:00
147670,Tom Yum Goong,1,15,2019-01-01 11:12:00
147671,Pad Char,1,15,2019-01-01 11:38:00
147672,Pad See Ew,1,12,2019-01-01 11:57:00
147673,Thai Beef Noodle Soup,1,12,2019-01-01 11:09:00
147674,Pad Thai,1,12,2019-01-01 11:05:00
147675,Sticky Rice with Mango,2,6,2019-01-01 11:24:00
147676,Green Curry,2,12,2019-01-01 11:57:00
147677,Won Ton Soup,1,12,2019-01-01 11:17:00
147678,Sriracha Wings,3,10,2019-01-01 11:05:00
147679,Pad See Ew,3,12,2019-01-01 11:21:00
147680,Som Tum,1,12,2019-01-01 11:52:00
147681,Yellow Curry,1,12,2019-01-01 12:49:00
147682,Sticky Rice with Mango,2,6,2019-01-01 12:04:00
147683,Tom Yum Goong,3,15,2019-01-01 12:07:00
147684,Pumpkin Curry,1,15,2019-01-01 12:14:00
147685,Vegan Fresh Rolls,1,10,2019-01-01 12:45:00
147686,Sriracha Wings,3,10,2019-01-01 12:00:00
147687,Pad Ma Keur,1,12,2019-01-01 12:45:00
147688,Yellow Curry,2,12,2019-01-01 12:40:00
147689,Chicken Satay,1,10,2019-01-01 12:21:00
147690,Green Curry,3,12,2019-01-01 12:27:00
147691,Pad Ka Nar,1,12,2019-01-01 12:05:00
147692,Thai Beef Noodle Soup,2,12,2019-01-01 12:10:00
147693,Pad Ka Nar,1,12,2019-01-01 12:42:00
147694,Thai Beef Noodle Soup,1,12,2019-01-01 12:48:00
147695,Red Curry,1,12,2019-01-01 12:55:00
147696,Thai Fried Rice,1,12,2019-01-01 13:08:00
147697,Larb Gai,2,12,2019-01-01 13:59:00
147698,Sticky Rice with Mango,1,6,2019-01-01 13:21:00
147699,Pad See Ew,1,12,2019-01-01 13:20:00
147700,Sticky Rice with Mango,1,6,2019-01-01 13:43:00
147701,Sticky Rice with Mango,1,6,2019-01-01 13:52:00
147702,Tom Kha Gai,2,12,2019-01-01 13:41:00
147703,Pad Thai,2,12,2019-01-01 13:51:00
147704,Thai Fried Rice,4,12,2019-01-01 13:01:00
147705,Red Curry,2,12,2019-01-01 13:00:00
147706,Grilled Thai Steak,2,20,2019-01-01 13:24:00
147707,Thai Streetfood Noodle,2,12,2019-01-01 13:34:00
147708,Tom Yum Gai,1,12,2019-01-01 13:16:00
147709,Green Curry,4,12,2019-01-01 13:49:00
147710,Thai Fried Rice,2,12,2019-01-01 13:13:00
147711,Som Tum,2,12,2019-01-01 13:21:00
147712,MyThai Salad,1,12,2019-01-01 13:42:00
147713,Thai Streetfood Noodle,3,12,2019-01-01 13:46:00
147714,Yellow Curry,2,12,2019-01-01 13:49:00
147715,Chicken Satay,1,10,2019-01-01 14:02:00
147716,Sticky Rice with Mango,2,6,2019-01-01 14:24:00
147717,Waterfall Mushroom and Tofu,1,12,2019-01-01 14:23:00
147718,Grilled Salmon,1,22,2019-01-01 14:51:00
147719,Grilled Thai Steak,1,20,2019-01-01 14:14:00
147720,Basil Fried Rice,1,12,2019-01-01 14:02:00
147721,Thai Streetfood Noodle,1,12,2019-01-01 14:10:00
147722,Pad Gra Tiem,1,15,2019-01-01 14:42:00
147723,Vegan Fresh Rolls,1,10,2019-01-01 14:41:00
147724,Pad See Ew,2,12,2019-01-01 14:15:00
147725,Thai Streetfood Noodle,3,12,2019-01-01 14:22:00
147726,Pra Ram,1,12,2019-01-01 14:28:00
147727,Sriracha Wings,2,10,2019-01-01 14:25:00
