Order ID,Item,Quantity Ordered,Price Each,Order Date
37025,Sticky Rice with Mango,1,6,2017-07-01 12:41:00
37025,Thai Fried Rice,1,12,2017-07-01 12:41:00
37026,Nam Kao Tod,1,12,2017-07-01 12:37:00
37027,Bar-B-Q Chicken,1,20,2017-07-01 12:03:00
37028,Pumpkin Curry,5,15,2017-07-01 12:39:00
37029,Sticky Rice with Mango,1,6,2017-07-01 12:02:00
37030,Waterfall Mushroom and Tofu,1,12,2017-07-01 12:10:00
37031,Vegan Fresh Rolls,1,10,2017-07-01 12:25:00
37032,Thai Fried Rice,1,12,2017-07-01 12:39:00
37033,Pad Gra Prow,2,15,2017-07-01 12:54:00
37034,Basil Fried Rice,1,12,2017-07-01 12:44:00
37035,Green Curry,1,12,2017-07-01 12:30:00
37036,Green Curry,2,12,2017-07-01 12:18:00
37037,Sriracha Wings,1,10,2017-07-01 12:20:00
37038,Pad Ma Keur,1,12,2017-07-01 12:21:00
37039,Yum Woonsen,1,13,2017-07-01 12:05:00
37040,Pad Gra Prow,4,15,2017-07-01 12:30:00
37041,Yum Woonsen,2,13,2017-07-01 12:18:00
37042,Pad Thai,2,12,2017-07-01 12:15:00
37043,Larb Gai,1,12,2017-07-01 12:09:00
37044,Red Curry,1,12,2017-07-01 12:48:00
37045,Pad Thai,3,12,2017-07-01 12:47:00
37046,Pad Gra Prow,1,15,2017-07-01 12:45:00
37047,Pad Gra Prow,1,15,2017-07-01 12:54:00
37048,Pad Char,1,15,2017-07-01 12:51:00
37049,Won Ton Soup,2,12,2017-07-01 12:25:00
37050,Tom Kha Gai,1,12,2017-07-01 12:02:00
37051,Red Curry,1,12,2017-07-01 12:03:00
37052,Sriracha Wings,1,10,2017-07-01 12:43:00
37053,Som Tum,1,12,2017-07-01 13:28:00
37054,Larb Gai,1,12,2017-07-01 13:40:00
37055,Sticky Rice with Mango,1,6,2017-07-01 13:04:00
37055,Sticky Rice with Mango,1,6,2017-07-01 13:04:00
37056,Vegan Fresh Rolls,1,10,2017-07-01 13:59:00
37057,Green Curry,2,12,2017-07-01 13:06:00
37058,Som Tum,1,12,2017-07-01 13:29:00
37059,Grilled Thai Steak,1,20,2017-07-01 13:34:00
37060,Pad Gra Tiem,2,15,2017-07-01 13:41:00
37061,Pumpkin Curry,1,15,2017-07-01 13:46:00
37062,Nam Kao Tod,1,12,2017-07-01 13:44:00
37063,Green Curry,1,12,2017-07-01 13:41:00
37064,Pad See Ew,2,12,2017-07-01 13:17:00
37065,Bar-B-Q Chicken,1,20,2017-07-01 13:55:00
37066,Thai Streetfood Noodle,1,12,2017-07-01 13:41:00
37067,Yellow Curry,3,12,2017-07-01 13:02:00
37068,Red Curry,1,12,2017-07-01 13:45:00
37069,Red Curry,1,12,2017-07-01 13:05:00
37070,Pad Ma Keur,1,12,2017-07-01 13:54:00
37071,Yum Nua,1,12,2017-07-01 13:42:00
37072,Som Tum,2,12,2017-07-01 13:51:00
37073,Larb Gai,1,12,2017-07-01 13:32:00
37074,Som Tum,2,12,2017-07-01 13:26:00
37075,Yum Woonsen,2,13,2017-07-01 13:28:00
37076,Grilled Salmon,1,22,2017-07-01 13:39:00
37077,Pad Thai,2,12,2017-07-01 13:44:00
37078,Chicken Satay,2,10,2017-07-01 13:04:00
37079,Yellow Curry,1,12,2017-07-01 13:18:00
37080,Pad See Ew,1,12,2017-07-01 13:28:00
37081,Thai Streetfood Noodle,2,12,2017-07-01 13:40:00
37082,Green Curry,1,12,2017-07-01 13:07:00
37083,Sticky Rice with Mango,2,6,2017-07-01 13:28:00
37083,Sticky Rice with Mango,2,6,2017-07-01 13:28:00
37084,Pad Char,3,15,2017-07-01 13:49:00
37085,Sticky Rice with Mango,1,6,2017-07-01 13:01:00
37086,Pad See Ew,1,12,2017-07-01 13:09:00
37087,Red Curry,1,12,2017-07-01 13:18:00
37088,Pad Kee Mao,2,12,2017-07-01 13:59:00
37089,Thai Fried Rice,2,12,2017-07-01 13:10:00
37090,Sticky Rice with Mango,1,6,2017-07-01 13:36:00
37090,Pad Thai,1,12,2017-07-01 13:36:00
37091,Pad Gra Prow,3,15,2017-07-01 13:04:00
37092,Pra Ram,1,12,2017-07-01 13:09:00
37093,Pad Thai,1,12,2017-07-01 13:10:00
37094,Pad Prig Khing,3,12,2017-07-01 13:44:00
37095,Sticky Rice with Mango,1,6,2017-07-01 14:25:00
37095,Pad See Ew,1,12,2017-07-01 14:25:00
37096,Sticky Rice with Mango,1,6,2017-07-01 14:40:00
37097,Thai Beef Noodle Soup,1,12,2017-07-01 14:57:00
37098,Pad Thai,1,12,2017-07-01 14:51:00
37099,Won Ton Soup,1,12,2017-07-01 14:13:00
37100,Sticky Rice with Mango,1,6,2017-07-01 14:19:00
37100,Tom Yum Goong,1,15,2017-07-01 14:19:00
37101,Waterfall Mushroom and Tofu,1,12,2017-07-01 14:08:00
37102,Pad Gra Tiem,1,15,2017-07-01 14:38:00
37103,Pad Kee Mao,1,12,2017-07-01 14:48:00
37104,Pad Gra Tiem,2,15,2017-07-01 14:34:00
37105,Pad Pak,3,12,2017-07-01 14:11:00
37106,Pad Ma Keur,1,12,2017-07-01 14:48:00
37107,Pumpkin Curry,1,15,2017-07-01 14:02:00
37108,Grilled Salmon,1,22,2017-07-01 14:08:00
37109,Grilled Salmon,2,22,2017-07-01 14:22:00
37110,Sticky Rice with Mango,2,6,2017-07-01 14:34:00
37111,Pad Thai,2,12,2017-07-01 14:52:00
37112,Thai Beef Noodle Soup,1,12,2017-07-01 14:51:00
37113,Red Curry,1,12,2017-07-01 14:45:00
37114,Tom Yum Goong,1,15,2017-07-01 14:42:00
37115,Pad Gra Prow,1,15,2017-07-01 14:49:00
37116,Pad Ka Nar,4,12,2017-07-01 14:21:00
37117,Pad See Ew,2,12,2017-07-01 14:01:00
37118,Sticky Rice with Mango,2,6,2017-07-01 14:09:00
37118,Thai Streetfood Noodle,2,12,2017-07-01 14:09:00
37119,Nam Kao Tod,2,12,2017-07-01 14:24:00
37120,Green Curry,1,12,2017-07-01 14:07:00
37121,Thai Fried Rice,1,12,2017-07-01 14:36:00
37122,Pad Gra Prow,1,15,2017-07-01 14:51:00
37123,Pad Gra Prow,1,15,2017-07-01 14:17:00
37124,Sticky Rice with Mango,1,6,2017-07-01 14:57:00
37125,Sriracha Wings,1,10,2017-07-01 14:30:00
37126,Pad Thai,1,12,2017-07-01 14:03:00
37127,Thai Beef Noodle Soup,2,12,2017-07-01 14:38:00
37128,Won Ton Soup,1,12,2017-07-01 14:58:00
37129,Pumpkin Curry,2,15,2017-07-01 14:39:00
37130,Thai Beef Noodle Soup,1,12,2017-07-01 14:50:00
37131,Sriracha Wings,2,10,2017-07-01 14:40:00
37132,Pad Ma Keur,1,12,2017-07-01 14:31:00
37133,Pad Char,2,15,2017-07-01 15:57:00
37134,Thai Streetfood Noodle,1,12,2017-07-01 15:36:00
37135,Basil Fried Rice,1,12,2017-07-01 15:50:00
37136,Pad Gra Prow,1,15,2017-07-01 15:43:00
37137,Sticky Rice with Mango,1,6,2017-07-01 15:24:00
37137,Pumpkin Curry,1,15,2017-07-01 15:24:00
37138,MyThai Salad,2,12,2017-07-01 15:10:00
37139,Pad Gra Tiem,1,15,2017-07-01 15:18:00
37140,Grilled Thai Steak,1,20,2017-07-01 15:59:00
37141,Green Curry,1,12,2017-07-01 15:58:00
37142,Thai Streetfood Noodle,1,12,2017-07-01 15:10:00
37143,Pad See Ew,2,12,2017-07-01 15:48:00
37144,Pumpkin Curry,1,15,2017-07-01 15:51:00
37145,Thai Streetfood Noodle,1,12,2017-07-01 15:38:00
37146,Vegan Fresh Rolls,2,10,2017-07-01 15:27:00
37146,Sticky Rice with Mango,1,6,2017-07-01 15:27:00
37147,Green Curry,2,12,2017-07-01 15:55:00
37148,Som Tum,1,12,2017-07-01 15:53:00
37149,Chicken Satay,1,10,2017-07-01 15:59:00
37150,Thai Beef Noodle Soup,4,12,2017-07-01 15:01:00
37151,Red Curry,3,12,2017-07-01 15:34:00
37152,Sticky Rice with Mango,1,6,2017-07-01 15:46:00
37153,Thai Beef Noodle Soup,1,12,2017-07-01 15:21:00
37154,Pad Char,2,15,2017-07-01 15:20:00
37155,Green Curry,2,12,2017-07-01 15:12:00
37156,Yellow Curry,1,12,2017-07-01 15:43:00
37157,Pad Gra Prow,1,15,2017-07-01 15:57:00
37158,Pad Pak,2,12,2017-07-01 15:43:00
37159,Thai Fried Rice,3,12,2017-07-01 17:45:00
37160,Green Curry,4,12,2017-07-01 17:07:00
37161,Pad Ma Keur,1,12,2017-07-01 17:42:00
37162,Pad Char,1,15,2017-07-01 17:38:00
37163,Yum Woonsen,1,13,2017-07-01 17:49:00
37164,Thai Beef Noodle Soup,2,12,2017-07-01 17:32:00
37165,Grilled Thai Steak,1,20,2017-07-01 17:14:00
37166,Thai Beef Noodle Soup,2,12,2017-07-01 17:49:00
37167,Green Curry,1,12,2017-07-01 17:49:00
37168,Pad Thai,3,12,2017-07-01 17:04:00
37169,Grilled Salmon,1,22,2017-07-01 17:00:00
37170,Yellow Curry,2,12,2017-07-01 17:27:00
37171,Tom Yum Gai,5,12,2017-07-01 17:09:00
37172,Bar-B-Q Chicken,2,20,2017-07-01 17:28:00
37173,Pad Char,1,15,2017-07-01 17:18:00
37174,Pad Gra Tiem,1,15,2017-07-01 17:42:00
37175,Tom Kha Gai,1,12,2017-07-01 17:25:00
37176,Tom Yum Gai,1,12,2017-07-01 17:43:00
37177,Pad Gra Tiem,3,15,2017-07-01 17:07:00
37178,Thai Fried Rice,1,12,2017-07-01 17:48:00
37179,Waterfall Mushroom and Tofu,1,12,2017-07-01 17:02:00
37180,Thai Fried Rice,4,12,2017-07-01 17:55:00
37181,Bar-B-Q Chicken,1,20,2017-07-01 17:37:00
37182,Pumpkin Curry,1,15,2017-07-01 17:32:00
37183,Grilled Salmon,1,22,2017-07-01 17:40:00
37184,Won Ton Soup,1,12,2017-07-01 17:59:00
37185,Thai Streetfood Noodle,1,12,2017-07-01 17:32:00
37186,Pad Thai,1,12,2017-07-01 17:02:00
37187,Pad Kee Mao,1,12,2017-07-01 17:45:00
37188,Pad Ma Keur,2,12,2017-07-01 17:03:00
37189,Tom Kha Gai,2,12,2017-07-01 17:00:00
37190,Pad Gra Tiem,3,15,2017-07-01 17:01:00
37191,Pad Gra Prow,1,15,2017-07-01 17:06:00
37192,Yellow Curry,1,12,2017-07-01 17:28:00
37193,Pra Ram,1,12,2017-07-01 18:20:00
37194,Thai Streetfood Noodle,1,12,2017-07-01 18:50:00
37195,Larb Gai,1,12,2017-07-01 18:27:00
37196,Sticky Rice with Mango,3,6,2017-07-01 18:39:00
37196,Basil Fried Rice,3,12,2017-07-01 18:39:00
37197,Thai Fried Rice,3,12,2017-07-01 18:43:00
37198,Pumpkin Curry,1,15,2017-07-01 18:27:00
37199,Pad Char,1,15,2017-07-01 18:01:00
37200,Sriracha Wings,3,10,2017-07-01 18:39:00
37201,Thai Fried Rice,1,12,2017-07-01 18:05:00
37202,Green Curry,1,12,2017-07-01 18:05:00
37203,Sticky Rice with Mango,3,6,2017-07-01 18:52:00
37204,Pad Thai,1,12,2017-07-01 18:37:00
37205,Pumpkin Curry,1,15,2017-07-01 18:00:00
37206,Grilled Salmon,3,22,2017-07-01 18:30:00
37207,Pad Gra Tiem,1,15,2017-07-01 18:45:00
37208,Won Ton Soup,1,12,2017-07-01 18:02:00
37209,Red Curry,1,12,2017-07-01 18:46:00
37210,Pad Thai,3,12,2017-07-01 18:12:00
37211,Chicken Satay,1,10,2017-07-01 18:49:00
37212,Sriracha Wings,1,10,2017-07-01 18:12:00
37213,Pad Gra Tiem,1,15,2017-07-01 18:43:00
37214,Grilled Salmon,1,22,2017-07-01 18:21:00
37215,Red Curry,6,12,2017-07-01 18:38:00
37216,Pad Kee Mao,1,12,2017-07-01 18:13:00
37217,Pad Kee Mao,1,12,2017-07-01 18:04:00
37218,Thai Beef Noodle Soup,1,12,2017-07-01 18:48:00
37219,Grilled Salmon,1,22,2017-07-01 18:53:00
37220,Yellow Curry,1,12,2017-07-01 18:17:00
37221,Sticky Rice with Mango,5,6,2017-07-01 18:06:00
37222,Sticky Rice with Mango,1,6,2017-07-01 18:13:00
37223,Thai Fried Rice,1,12,2017-07-01 18:47:00
37224,Yellow Curry,1,12,2017-07-01 18:13:00
37225,Red Curry,1,12,2017-07-01 18:58:00
37226,Pad Gra Prow,1,15,2017-07-01 18:15:00
37227,Pad Kee Mao,2,12,2017-07-01 18:00:00
37228,Thai Fried Rice,2,12,2017-07-01 18:57:00
37229,Pad Pak,2,12,2017-07-01 18:45:00
37230,Thai Streetfood Noodle,2,12,2017-07-01 18:48:00
37231,Pad Thai,1,12,2017-07-01 18:21:00
37232,Won Ton Soup,1,12,2017-07-01 18:30:00
37233,Red Curry,4,12,2017-07-01 18:43:00
37234,Pad Gra Prow,1,15,2017-07-01 18:08:00
37235,Pad Ka Nar,1,12,2017-07-01 19:30:00
37236,Grilled Thai Steak,1,20,2017-07-01 19:54:00
37237,Pumpkin Curry,1,15,2017-07-01 19:46:00
37238,Red Curry,1,12,2017-07-01 19:32:00
37239,Thai Beef Noodle Soup,1,12,2017-07-01 19:13:00
37240,Tom Yum Goong,1,15,2017-07-01 19:38:00
37241,Thai Beef Noodle Soup,1,12,2017-07-01 19:05:00
37242,Pad Char,1,15,2017-07-01 19:07:00
37243,Pad Thai,1,12,2017-07-01 19:14:00
37244,Thai Fried Rice,2,12,2017-07-01 19:28:00
37245,Pad See Ew,1,12,2017-07-01 19:21:00
37246,Basil Fried Rice,1,12,2017-07-01 19:07:00
37247,Thai Beef Noodle Soup,5,12,2017-07-01 19:14:00
37248,Won Ton Soup,1,12,2017-07-01 19:43:00
37249,Basil Fried Rice,2,12,2017-07-01 19:12:00
37250,Waterfall Mushroom and Tofu,2,12,2017-07-01 19:05:00
37251,Tom Yum Goong,1,15,2017-07-01 19:10:00
37252,Thai Streetfood Noodle,1,12,2017-07-01 19:19:00
37253,Green Curry,2,12,2017-07-01 19:47:00
37254,Thai Beef Noodle Soup,1,12,2017-07-01 19:32:00
37255,Red Curry,1,12,2017-07-01 19:26:00
37256,Sticky Rice with Mango,1,6,2017-07-01 19:45:00
37257,Pad Ma Keur,1,12,2017-07-01 19:42:00
37258,Won Ton Soup,2,12,2017-07-01 19:43:00
37259,Pad Thai,1,12,2017-07-01 19:48:00
37260,Sticky Rice with Mango,2,6,2017-07-01 19:27:00
37260,Pad Char,2,15,2017-07-01 19:27:00
37261,Sticky Rice with Mango,1,6,2017-07-01 19:07:00
37262,Sticky Rice with Mango,1,6,2017-07-01 19:46:00
37262,Pad Char,1,15,2017-07-01 19:46:00
37263,Thai Fried Rice,1,12,2017-07-01 19:14:00
37264,Basil Fried Rice,1,12,2017-07-01 19:26:00
37265,Pad Char,2,15,2017-07-01 19:28:00
37266,Sticky Rice with Mango,2,6,2017-07-01 19:01:00
37266,Thai Beef Noodle Soup,2,12,2017-07-01 19:01:00
37267,Pad Gra Prow,2,15,2017-07-01 19:23:00
37268,Pad Kee Mao,1,12,2017-07-01 19:31:00
37269,Tom Yum Gai,1,12,2017-07-01 19:43:00
37270,Sticky Rice with Mango,1,6,2017-07-01 19:22:00
37271,Pad See Ew,1,12,2017-07-01 19:36:00
37272,Won Ton Soup,1,12,2017-07-01 20:56:00
37273,Thai Beef Noodle Soup,2,12,2017-07-01 20:51:00
37274,Yellow Curry,1,12,2017-07-01 20:43:00
37275,Thai Streetfood Noodle,1,12,2017-07-01 20:42:00
37276,Pad Pak,2,12,2017-07-01 20:32:00
37277,Nam Kao Tod,2,12,2017-07-01 20:58:00
37278,Green Curry,1,12,2017-07-01 20:25:00
37279,Yellow Curry,3,12,2017-07-01 20:17:00
37280,Yellow Curry,1,12,2017-07-01 20:59:00
37281,Pumpkin Curry,2,15,2017-07-01 20:28:00
37282,Sticky Rice with Mango,1,6,2017-07-01 20:04:00
37283,Vegan Fresh Rolls,1,10,2017-07-01 20:17:00
37284,Red Curry,2,12,2017-07-01 20:50:00
37285,Pad Thai,1,12,2017-07-01 20:38:00
37286,Thai Fried Rice,2,12,2017-07-01 20:19:00
37287,Thai Beef Noodle Soup,1,12,2017-07-01 20:49:00
37288,Green Curry,1,12,2017-07-01 20:39:00
37289,Green Curry,1,12,2017-07-01 20:04:00
37290,Pad Gra Prow,1,15,2017-07-01 20:36:00
37291,Thai Fried Rice,1,12,2017-07-01 20:52:00
37292,Yum Nua,1,12,2017-07-01 20:12:00
37293,Thai Streetfood Noodle,2,12,2017-07-01 20:36:00
37294,Pad Thai,1,12,2017-07-01 20:57:00
37295,MyThai Salad,1,12,2017-07-01 20:54:00
37296,Pad Pak,2,12,2017-07-01 20:02:00
37297,Pad See Ew,2,12,2017-07-01 20:13:00
37298,Nam Kao Tod,3,12,2017-07-01 20:16:00
37299,Yellow Curry,1,12,2017-07-01 20:58:00
37300,Thai Streetfood Noodle,1,12,2017-07-01 20:14:00
37301,Sticky Rice with Mango,1,6,2017-07-01 20:20:00
37301,Yum Woonsen,1,13,2017-07-01 20:20:00
37302,Grilled Thai Steak,4,20,2017-07-01 20:06:00
37303,Pad Thai,1,12,2017-07-01 20:51:00
37304,Thai Fried Rice,1,12,2017-07-02 12:22:00
37305,Pad Thai,3,12,2017-07-02 12:56:00
37306,Thai Beef Noodle Soup,2,12,2017-07-02 12:36:00
37307,Thai Beef Noodle Soup,1,12,2017-07-02 12:32:00
37308,Sticky Rice with Mango,1,6,2017-07-02 12:24:00
37308,Yellow Curry,1,12,2017-07-02 12:24:00
37309,Thai Streetfood Noodle,3,12,2017-07-02 12:39:00
37310,Green Curry,2,12,2017-07-02 12:31:00
37311,Thai Beef Noodle Soup,1,12,2017-07-02 12:22:00
37312,Green Curry,1,12,2017-07-02 12:50:00
