,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,103117,Sriracha Wings,1,10,2018-07-01 12:00:00
1,103118,Chicken Satay,9,10,2018-07-01 12:28:00
2,103119,Green Curry,1,12,2018-07-01 12:12:00
3,103120,Thai Streetfood Noodle,1,12,2018-07-01 12:31:00
4,103121,Pad Gra Prow,1,15,2018-07-01 12:23:00
5,103122,Grilled Salmon,1,22,2018-07-01 12:34:00
6,103123,Pad Thai,1,12,2018-07-01 12:40:00
7,103124,Pad Thai,1,12,2018-07-01 12:55:00
8,103125,Pad Thai,1,12,2018-07-01 12:50:00
9,103126,Sticky Rice with Mango,1,6,2018-07-01 12:02:00
10,103126,MyThai Salad,1,12,2018-07-01 12:02:00
11,103127,Yellow Curry,1,12,2018-07-01 12:28:00
12,103128,Thai Fried Rice,1,12,2018-07-01 12:04:00
13,103129,Sriracha Wings,1,10,2018-07-01 12:02:00
14,103130,Grilled Salmon,1,22,2018-07-01 12:30:00
15,103131,Pad Prig Khing,1,12,2018-07-01 12:29:00
16,103132,Pad Ka Nar,1,12,2018-07-01 12:12:00
17,103133,Yellow Curry,1,12,2018-07-01 12:49:00
18,103134,Red Curry,1,12,2018-07-01 12:47:00
19,103135,Grilled Salmon,1,22,2018-07-01 12:43:00
20,103136,Pad Char,1,15,2018-07-01 12:07:00
21,103137,Chicken Satay,1,10,2018-07-01 12:13:00
22,103138,Pad Thai,1,12,2018-07-01 12:04:00
23,103139,Tom Kha Gai,2,12,2018-07-01 12:16:00
24,103140,Pad Gra Tiem,1,15,2018-07-01 12:51:00
25,103141,Pumpkin Curry,1,15,2018-07-01 12:19:00
26,103142,Grilled Salmon,1,22,2018-07-01 12:17:00
27,103143,Thai Beef Noodle Soup,1,12,2018-07-01 12:01:00
28,103144,Vegan Fresh Rolls,1,10,2018-07-01 12:07:00
29,103144,Sticky Rice with Mango,1,6,2018-07-01 12:07:00
30,103145,Pad Char,1,15,2018-07-01 12:43:00
31,103146,Won Ton Soup,1,12,2018-07-01 12:12:00
32,103147,Tom Yum Goong,1,15,2018-07-01 12:55:00
33,103148,Pad Thai,1,12,2018-07-01 12:50:00
34,103149,Sticky Rice with Mango,1,6,2018-07-01 12:26:00
35,103150,Pad Kee Mao,8,12,2018-07-01 12:50:00
36,103151,Pad See Ew,1,12,2018-07-01 12:21:00
37,103152,Grilled Salmon,1,22,2018-07-01 13:41:00
38,103153,Thai Fried Rice,1,12,2018-07-01 13:20:00
39,103154,Nam Kao Tod,1,12,2018-07-01 13:17:00
40,103155,Red Curry,1,12,2018-07-01 13:16:00
41,103156,Pumpkin Curry,1,15,2018-07-01 13:20:00
42,103157,Pad Ka Nar,1,12,2018-07-01 13:37:00
43,103158,Yellow Curry,1,12,2018-07-01 13:30:00
44,103159,Pad Char,1,15,2018-07-01 13:14:00
45,103160,Pad Ka Nar,1,12,2018-07-01 13:01:00
46,103161,Sticky Rice with Mango,1,6,2018-07-01 13:33:00
47,103161,Pad Ka Nar,1,12,2018-07-01 13:33:00
48,103162,Won Ton Soup,1,12,2018-07-01 13:44:00
49,103163,Yellow Curry,1,12,2018-07-01 13:47:00
50,103164,Thai Streetfood Noodle,1,12,2018-07-01 13:39:00
51,103165,Sticky Rice with Mango,1,6,2018-07-01 13:18:00
52,103165,Thai Fried Rice,1,12,2018-07-01 13:18:00
53,103166,Thai Streetfood Noodle,1,12,2018-07-01 13:18:00
54,103167,Red Curry,1,12,2018-07-01 13:45:00
55,103168,Red Curry,1,12,2018-07-01 13:58:00
56,103169,Pad See Ew,1,12,2018-07-01 13:20:00
57,103170,Thai Streetfood Noodle,1,12,2018-07-01 13:42:00
58,103171,Vegan Fresh Rolls,1,10,2018-07-01 13:02:00
59,103172,Green Curry,1,12,2018-07-01 13:31:00
60,103173,Red Curry,1,12,2018-07-01 13:13:00
61,103174,Pad Char,1,15,2018-07-01 13:25:00
62,103175,Pad Char,1,15,2018-07-01 13:16:00
63,103176,Grilled Salmon,1,22,2018-07-01 13:27:00
64,103177,Pad Thai,1,12,2018-07-01 13:38:00
65,103178,Grilled Salmon,1,22,2018-07-01 13:18:00
66,103179,Pad Gra Tiem,1,15,2018-07-01 13:11:00
67,103180,Green Curry,1,12,2018-07-01 13:49:00
68,103181,Som Tum,1,12,2018-07-01 13:07:00
69,103182,Grilled Salmon,1,22,2018-07-01 13:00:00
70,103183,Yellow Curry,1,12,2018-07-01 13:41:00
71,103184,Tom Yum Goong,1,15,2018-07-01 13:32:00
72,103185,Red Curry,1,12,2018-07-01 13:16:00
73,103186,Pad Prig Khing,1,12,2018-07-01 13:43:00
74,103187,Pad Thai,1,12,2018-07-01 13:47:00
75,103188,Sticky Rice with Mango,1,6,2018-07-01 13:26:00
76,103188,Nam Kao Tod,1,12,2018-07-01 13:26:00
77,103189,Pad Kee Mao,1,12,2018-07-01 13:18:00
78,103190,Pad Thai,1,12,2018-07-01 13:26:00
79,103191,Pumpkin Curry,1,15,2018-07-01 13:04:00
80,103192,Thai Fried Rice,1,12,2018-07-01 13:46:00
