Order ID,Item,Quantity Ordered,Price Each,Order Date
145454,Green Curry,2,12,2018-06-01 11:06:00
145455,Pad Gra Tiem,1,15,2018-06-01 11:33:00
145456,Pad Prig Khing,1,12,2018-06-01 11:07:00
145457,Grilled Thai Steak,2,20,2018-06-01 11:21:00
145458,Tom Yum Gai,2,12,2018-06-01 11:50:00
145459,Sticky Rice with Mango,1,6,2018-06-01 11:32:00
145459,Thai Beef Noodle Soup,1,12,2018-06-01 11:32:00
145460,Sriracha Wings,1,10,2018-06-01 11:42:00
145461,Sticky Rice with Mango,1,6,2018-06-01 11:56:00
145461,Red Curry,1,12,2018-06-01 11:56:00
145462,Thai Fried Rice,2,12,2018-06-01 11:20:00
145463,Pad Ka Nar,2,12,2018-06-01 11:51:00
145464,Tom Yum Gai,1,12,2018-06-01 11:55:00
145465,Larb Gai,3,12,2018-06-01 11:38:00
145466,Bar-B-Q Chicken,1,20,2018-06-01 11:02:00
145467,Vegan Fresh Rolls,1,10,2018-06-01 11:05:00
145468,Pad Kee Mao,4,12,2018-06-01 11:41:00
145469,MyThai Salad,2,12,2018-06-01 11:12:00
145470,Thai Beef Noodle Soup,1,12,2018-06-01 11:27:00
145471,Pad Prig Khing,1,12,2018-06-01 11:20:00
145472,Nam Kao Tod,1,12,2018-06-01 11:23:00
145473,Thai Beef Noodle Soup,1,12,2018-06-01 11:55:00
145474,Sriracha Wings,2,10,2018-06-01 11:38:00
145475,Thai Beef Noodle Soup,1,12,2018-06-01 11:42:00
145476,Thai Streetfood Noodle,1,12,2018-06-01 11:00:00
145477,Sticky Rice with Mango,1,6,2018-06-01 11:59:00
145478,Pad Gra Prow,2,15,2018-06-01 11:35:00
145479,Yellow Curry,1,12,2018-06-01 12:32:00
145480,Sticky Rice with Mango,1,6,2018-06-01 12:26:00
145480,Grilled Thai Steak,1,20,2018-06-01 12:26:00
145481,Pad Gra Prow,1,15,2018-06-01 12:39:00
145482,Tom Kha Gai,1,12,2018-06-01 12:30:00
145483,Tom Yum Gai,2,12,2018-06-01 12:01:00
145484,Yellow Curry,1,12,2018-06-01 12:55:00
145485,MyThai Salad,3,12,2018-06-01 12:36:00
145486,Won Ton Soup,1,12,2018-06-01 12:10:00
145487,Yellow Curry,1,12,2018-06-01 12:07:00
145488,Pad Char,1,15,2018-06-01 12:41:00
145489,Won Ton Soup,1,12,2018-06-01 12:33:00
145490,Pad Char,1,15,2018-06-01 12:10:00
145491,Green Curry,1,12,2018-06-01 12:39:00
145492,Pad Kee Mao,1,12,2018-06-01 12:06:00
145493,Basil Fried Rice,2,12,2018-06-01 12:44:00
145494,Pad Ka Nar,1,12,2018-06-01 12:35:00
145495,Sticky Rice with Mango,1,6,2018-06-01 12:12:00
145495,Waterfall Mushroom and Tofu,1,12,2018-06-01 12:12:00
145496,Chicken Satay,2,10,2018-06-01 12:43:00
145497,Pad See Ew,2,12,2018-06-01 12:44:00
145498,Sticky Rice with Mango,1,6,2018-06-01 12:16:00
145499,Green Curry,1,12,2018-06-01 12:15:00
145500,Tom Yum Goong,1,15,2018-06-01 12:15:00
145501,MyThai Salad,1,12,2018-06-01 12:16:00
145502,Red Curry,2,12,2018-06-01 12:31:00
145503,Thai Beef Noodle Soup,2,12,2018-06-01 12:07:00
145504,Basil Fried Rice,1,12,2018-06-01 12:49:00
145505,Yellow Curry,1,12,2018-06-01 12:26:00
145506,Red Curry,2,12,2018-06-01 12:33:00
145507,Chicken Satay,1,10,2018-06-01 12:53:00
145508,Yellow Curry,3,12,2018-06-01 12:38:00
145509,Pad Thai,1,12,2018-06-01 12:18:00
145510,Waterfall Mushroom and Tofu,2,12,2018-06-01 12:57:00
145511,Bar-B-Q Chicken,1,20,2018-06-01 12:17:00
145512,Green Curry,2,12,2018-06-01 12:27:00
145513,Sriracha Wings,2,10,2018-06-01 12:25:00
145513,Tom Yum Gai,2,12,2018-06-01 12:25:00
145514,Thai Beef Noodle Soup,1,12,2018-06-01 13:49:00
145515,Sticky Rice with Mango,1,6,2018-06-01 13:07:00
145515,MyThai Salad,1,12,2018-06-01 13:07:00
145516,Sriracha Wings,2,10,2018-06-01 13:28:00
145517,Bar-B-Q Chicken,1,20,2018-06-01 13:42:00
145518,Thai Beef Noodle Soup,1,12,2018-06-01 13:28:00
145519,Won Ton Soup,2,12,2018-06-01 13:31:00
145520,Pad Gra Tiem,1,15,2018-06-01 13:24:00
145521,Sriracha Wings,2,10,2018-06-01 13:43:00
145522,Thai Fried Rice,1,12,2018-06-01 13:45:00
145523,Chicken Satay,2,10,2018-06-01 13:07:00
145523,Green Curry,2,12,2018-06-01 13:07:00
145524,Pad Thai,1,12,2018-06-01 13:08:00
145525,Grilled Salmon,1,22,2018-06-01 13:45:00
145526,Pad Thai,1,12,2018-06-01 13:40:00
145527,Green Curry,1,12,2018-06-01 13:06:00
145528,Won Ton Soup,1,12,2018-06-01 13:48:00
145529,Pad Kee Mao,4,12,2018-06-01 13:43:00
145530,Red Curry,3,12,2018-06-01 13:55:00
145531,Tom Yum Goong,3,15,2018-06-01 13:47:00
145532,Pad Gra Tiem,1,15,2018-06-01 13:40:00
145533,Pad Prig Khing,1,12,2018-06-01 13:19:00
145534,Basil Fried Rice,1,12,2018-06-01 13:37:00
145535,Tom Yum Gai,1,12,2018-06-01 13:47:00
145536,Pad Kee Mao,2,12,2018-06-01 13:32:00
145537,Won Ton Soup,1,12,2018-06-01 13:03:00
145538,Nam Kao Tod,4,12,2018-06-01 13:05:00
145539,Pad Thai,2,12,2018-06-01 13:39:00
145540,MyThai Salad,2,12,2018-06-01 13:17:00
145541,Tom Yum Gai,1,12,2018-06-01 13:12:00
145542,Yellow Curry,1,12,2018-06-01 13:46:00
145543,Green Curry,1,12,2018-06-01 13:02:00
145544,Sticky Rice with Mango,1,6,2018-06-01 13:06:00
145544,Vegan Fresh Rolls,1,10,2018-06-01 13:06:00
145545,Pumpkin Curry,1,15,2018-06-01 13:54:00
145546,Won Ton Soup,1,12,2018-06-01 13:32:00
145547,Grilled Thai Steak,1,20,2018-06-01 13:45:00
145548,Sriracha Wings,1,10,2018-06-01 13:26:00
145548,Pad Gra Tiem,1,15,2018-06-01 13:26:00
145549,Sriracha Wings,2,10,2018-06-01 13:37:00
145550,Pad See Ew,2,12,2018-06-01 13:19:00
145551,Grilled Salmon,1,22,2018-06-01 13:47:00
145552,Pad Ma Keur,2,12,2018-06-01 13:44:00
145553,Pad Gra Prow,2,15,2018-06-01 13:48:00
145554,Thai Streetfood Noodle,1,12,2018-06-01 13:12:00
145555,Pad Ma Keur,4,12,2018-06-01 13:02:00
145556,Thai Streetfood Noodle,1,12,2018-06-01 13:02:00
145557,Thai Fried Rice,1,12,2018-06-01 13:33:00
145558,Pad Gra Tiem,1,15,2018-06-01 13:34:00
145559,Pad Thai,2,12,2018-06-01 13:25:00
145560,Tom Yum Goong,2,15,2018-06-01 13:19:00
145561,Thai Fried Rice,1,12,2018-06-01 13:30:00
145562,Grilled Thai Steak,1,20,2018-06-01 13:19:00
145563,Won Ton Soup,3,12,2018-06-01 13:02:00
145564,Pumpkin Curry,1,15,2018-06-01 13:40:00
145565,Pad Prig Khing,1,12,2018-06-01 13:00:00
145566,Pad Ma Keur,1,12,2018-06-01 13:35:00
145567,Larb Gai,2,12,2018-06-01 13:22:00
145568,Larb Gai,1,12,2018-06-01 13:07:00
145569,Sticky Rice with Mango,1,6,2018-06-01 13:14:00
145570,Thai Fried Rice,3,12,2018-06-01 14:02:00
145571,Pad Gra Tiem,4,15,2018-06-01 14:30:00
145572,Thai Fried Rice,3,12,2018-06-01 14:02:00
145573,Yellow Curry,1,12,2018-06-01 14:12:00
145574,Pad Gra Prow,1,15,2018-06-01 14:50:00
145575,Won Ton Soup,1,12,2018-06-01 14:01:00
145576,Pad Thai,3,12,2018-06-01 14:39:00
145577,Thai Beef Noodle Soup,1,12,2018-06-01 14:37:00
145578,Thai Beef Noodle Soup,1,12,2018-06-01 14:45:00
145579,Bar-B-Q Chicken,1,20,2018-06-01 14:57:00
145580,Thai Fried Rice,1,12,2018-06-01 14:57:00
145581,Yellow Curry,1,12,2018-06-01 14:11:00
145582,Pad See Ew,1,12,2018-06-01 14:03:00
145583,Thai Fried Rice,1,12,2018-06-01 14:46:00
145584,Green Curry,1,12,2018-06-01 14:54:00
145585,Pad Gra Prow,1,15,2018-06-01 14:46:00
145586,Pumpkin Curry,2,15,2018-06-01 14:22:00
145587,Pad Ka Nar,1,12,2018-06-01 14:12:00
145588,Thai Streetfood Noodle,2,12,2018-06-01 14:01:00
145589,Pad See Ew,1,12,2018-06-01 14:13:00
145590,Red Curry,1,12,2018-06-01 14:46:00
145591,Thai Fried Rice,1,12,2018-06-01 14:10:00
145592,Nam Kao Tod,1,12,2018-06-01 14:13:00
145593,Won Ton Soup,4,12,2018-06-01 14:51:00
145594,Pad Char,2,15,2018-06-01 14:05:00
145595,Sticky Rice with Mango,1,6,2018-06-01 14:25:00
145595,Sriracha Wings,1,10,2018-06-01 14:25:00
145596,Yum Nua,1,12,2018-06-01 14:38:00
145597,Red Curry,1,12,2018-06-01 14:19:00
145598,Sriracha Wings,2,10,2018-06-01 14:22:00
145599,MyThai Salad,1,12,2018-06-01 17:32:00
145600,Won Ton Soup,3,12,2018-06-01 17:21:00
145601,Red Curry,5,12,2018-06-01 17:27:00
145602,Bar-B-Q Chicken,1,20,2018-06-01 17:46:00
145603,Chicken Satay,1,10,2018-06-01 17:44:00
145604,Pad Char,1,15,2018-06-01 17:08:00
145605,Som Tum,2,12,2018-06-01 17:41:00
145606,Green Curry,3,12,2018-06-01 17:50:00
145607,Thai Beef Noodle Soup,2,12,2018-06-01 17:18:00
145608,Vegan Fresh Rolls,2,10,2018-06-01 17:13:00
145609,Pad See Ew,1,12,2018-06-01 17:47:00
145610,Thai Beef Noodle Soup,2,12,2018-06-01 17:28:00
145611,Thai Streetfood Noodle,1,12,2018-06-01 17:57:00
145612,Yellow Curry,4,12,2018-06-01 17:14:00
145613,Won Ton Soup,3,12,2018-06-01 17:31:00
145614,MyThai Salad,2,12,2018-06-01 17:30:00
145615,Sticky Rice with Mango,4,6,2018-06-01 17:59:00
145616,Green Curry,2,12,2018-06-01 17:30:00
145617,Thai Streetfood Noodle,1,12,2018-06-01 17:01:00
145618,Pumpkin Curry,1,15,2018-06-01 17:00:00
145619,Pad Ka Nar,2,12,2018-06-01 17:57:00
145620,Red Curry,2,12,2018-06-01 17:12:00
145621,Won Ton Soup,1,12,2018-06-01 17:15:00
145622,Thai Beef Noodle Soup,3,12,2018-06-01 17:25:00
145623,Tom Kha Gai,1,12,2018-06-01 17:04:00
145624,Waterfall Mushroom and Tofu,1,12,2018-06-01 17:18:00
145625,Pad Char,1,15,2018-06-01 17:22:00
145626,Pad Thai,1,12,2018-06-01 17:53:00
145627,Vegan Fresh Rolls,2,10,2018-06-01 17:18:00
145628,Basil Fried Rice,1,12,2018-06-01 17:37:00
145629,Thai Beef Noodle Soup,2,12,2018-06-01 17:58:00
145630,Pad Ka Nar,2,12,2018-06-01 17:54:00
145631,Won Ton Soup,2,12,2018-06-01 17:38:00
145632,Red Curry,1,12,2018-06-01 17:33:00
145633,Pad Thai,2,12,2018-06-01 17:02:00
145634,Pad Thai,1,12,2018-06-01 17:59:00
145635,Thai Beef Noodle Soup,1,12,2018-06-01 17:09:00
145636,Thai Fried Rice,1,12,2018-06-01 17:48:00
145637,Pad Thai,2,12,2018-06-01 17:51:00
145638,Green Curry,1,12,2018-06-01 17:50:00
145639,Bar-B-Q Chicken,1,20,2018-06-01 17:16:00
145640,Chicken Satay,2,10,2018-06-01 17:37:00
145641,Pad Gra Tiem,1,15,2018-06-01 17:14:00
145642,Tom Yum Gai,1,12,2018-06-01 17:29:00
145643,Pad Gra Prow,1,15,2018-06-01 17:27:00
