,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,13867,Pad See Ew,1,12,2017-03-01 11:04:00
1,13868,Tom Kha Gai,1,12,2017-03-01 11:17:00
2,13869,Pad Gra Tiem,1,15,2017-03-01 11:38:00
3,13870,Thai Beef Noodle Soup,1,12,2017-03-01 11:54:00
4,13871,Pumpkin Curry,1,15,2017-03-01 11:51:00
5,13872,Sticky Rice with Mango,1,6,2017-03-01 11:06:00
6,13873,Pad Gra Tiem,1,15,2017-03-01 11:37:00
7,13874,Chicken Satay,1,10,2017-03-01 11:40:00
8,13875,Vegan Fresh Rolls,2,10,2017-03-01 11:37:00
9,13876,Sticky Rice with Mango,1,6,2017-03-01 11:46:00
10,13877,Won Ton Soup,1,12,2017-03-01 11:58:00
11,13878,MyThai Salad,2,12,2017-03-01 11:31:00
12,13879,MyThai Salad,1,12,2017-03-01 11:18:00
13,13880,Thai Beef Noodle Soup,1,12,2017-03-01 11:09:00
14,13881,Chicken Satay,1,10,2017-03-01 11:40:00
15,13882,Won Ton Soup,1,12,2017-03-01 12:33:00
16,13883,Pad Char,1,15,2017-03-01 12:13:00
17,13884,Sticky Rice with Mango,1,6,2017-03-01 12:20:00
18,13885,Won Ton Soup,1,12,2017-03-01 12:03:00
19,13886,Pad Thai,1,12,2017-03-01 12:04:00
20,13887,Thai Fried Rice,1,12,2017-03-01 12:25:00
21,13888,Sriracha Wings,1,10,2017-03-01 12:19:00
22,13889,Red Curry,1,12,2017-03-01 12:07:00
23,13890,Pad Kee Mao,1,12,2017-03-01 12:56:00
24,13891,Pad Ka Nar,1,12,2017-03-01 12:16:00
25,13892,Tom Kha Gai,1,12,2017-03-01 12:12:00
26,13893,Sticky Rice with Mango,1,6,2017-03-01 12:26:00
27,13893,Tom Yum Gai,1,12,2017-03-01 12:26:00
28,13894,Pad Gra Prow,1,15,2017-03-01 12:41:00
29,13895,Grilled Salmon,1,22,2017-03-01 12:13:00
30,13896,Pad Gra Prow,1,15,2017-03-01 12:37:00
31,13897,Yellow Curry,1,12,2017-03-01 12:34:00
32,13898,Pad Char,1,15,2017-03-01 12:20:00
33,13899,Red Curry,1,12,2017-03-01 12:07:00
34,13900,Red Curry,1,12,2017-03-01 12:43:00
35,13901,Thai Streetfood Noodle,1,12,2017-03-01 12:30:00
36,13902,Basil Fried Rice,1,12,2017-03-01 12:02:00
37,13903,Pad See Ew,1,12,2017-03-01 12:45:00
38,13904,Thai Beef Noodle Soup,1,12,2017-03-01 12:31:00
39,13905,Pad Char,1,15,2017-03-01 13:46:00
40,13906,Pad Gra Prow,1,15,2017-03-01 13:46:00
41,13907,Red Curry,1,12,2017-03-01 13:21:00
42,13908,Sticky Rice with Mango,1,6,2017-03-01 13:21:00
43,13908,Green Curry,1,12,2017-03-01 13:21:00
44,13909,Pad Ka Nar,1,12,2017-03-01 13:12:00
45,13910,Sticky Rice with Mango,1,6,2017-03-01 13:08:00
46,13910,Pad Gra Tiem,1,15,2017-03-01 13:08:00
47,13911,Thai Streetfood Noodle,1,12,2017-03-01 13:44:00
48,13912,Pad See Ew,1,12,2017-03-01 13:40:00
49,13913,Pad Kee Mao,1,12,2017-03-01 13:36:00
50,13914,Sticky Rice with Mango,1,6,2017-03-01 13:37:00
51,13914,Pumpkin Curry,1,15,2017-03-01 13:37:00
52,13915,Won Ton Soup,1,12,2017-03-01 13:12:00
53,13916,Red Curry,1,12,2017-03-01 13:29:00
54,13917,Thai Beef Noodle Soup,1,12,2017-03-01 13:34:00
55,13918,Yellow Curry,1,12,2017-03-01 13:18:00
56,13919,Pad Char,1,15,2017-03-01 13:50:00
57,13920,Red Curry,1,12,2017-03-01 13:06:00
58,13921,MyThai Salad,1,12,2017-03-01 13:20:00
59,13922,Thai Fried Rice,1,12,2017-03-01 13:57:00
60,13923,Green Curry,1,12,2017-03-01 13:41:00
61,13924,Pad Thai,1,12,2017-03-01 14:12:00
62,13925,Pad Pak,1,12,2017-03-01 14:26:00
63,13926,Red Curry,1,12,2017-03-01 14:20:00
64,13927,Sticky Rice with Mango,1,6,2017-03-01 14:33:00
65,13927,Yellow Curry,1,12,2017-03-01 14:33:00
66,13928,Thai Fried Rice,1,12,2017-03-01 14:53:00
67,13929,Pad See Ew,1,12,2017-03-01 14:07:00
68,13930,Sticky Rice with Mango,1,6,2017-03-01 14:31:00
69,13930,Pad Gra Tiem,1,15,2017-03-01 14:31:00
70,13931,Thai Fried Rice,1,12,2017-03-01 14:24:00
71,13932,Yellow Curry,1,12,2017-03-01 14:49:00
72,13933,Thai Fried Rice,1,12,2017-03-01 14:14:00
73,13934,Pad Thai,1,12,2017-03-01 14:07:00
