Order ID,Item,Quantity Ordered,Price Each,Order Date
86133,Thai Streetfood Noodle,2,12,2018-03-01 11:46:00
86134,Red Curry,1,12,2018-03-01 11:50:00
86135,Tom Yum Goong,3,15,2018-03-01 11:29:00
86136,Sticky Rice with Mango,1,6,2018-03-01 11:13:00
86137,Pad Thai,2,12,2018-03-01 11:29:00
86138,Pad Ka Nar,1,12,2018-03-01 11:10:00
86139,Red Curry,3,12,2018-03-01 11:45:00
86140,Pad Char,1,15,2018-03-01 11:04:00
86141,Thai Beef Noodle Soup,1,12,2018-03-01 11:32:00
86142,Pad Ma Keur,1,12,2018-03-01 11:41:00
86143,Yellow Curry,1,12,2018-03-01 11:32:00
86144,Pad Thai,2,12,2018-03-01 11:06:00
86145,Won Ton Soup,1,12,2018-03-01 11:53:00
86146,Tom Kha Gai,2,12,2018-03-01 11:48:00
86147,Tom Kha Gai,2,12,2018-03-01 11:28:00
86148,Pad Thai,2,12,2018-03-01 11:03:00
86149,Pad Char,2,15,2018-03-01 11:32:00
86150,Pad Kee Mao,1,12,2018-03-01 11:40:00
86151,Larb Gai,1,12,2018-03-01 11:31:00
86152,Thai Beef Noodle Soup,2,12,2018-03-01 11:48:00
86153,Sticky Rice with Mango,3,6,2018-03-01 11:23:00
86153,Som Tum,3,12,2018-03-01 11:23:00
86154,Green Curry,1,12,2018-03-01 12:48:00
86155,Won Ton Soup,1,12,2018-03-01 12:15:00
86156,Nam Kao Tod,1,12,2018-03-01 12:58:00
86157,Waterfall Mushroom and Tofu,1,12,2018-03-01 12:52:00
86158,Sticky Rice with Mango,1,6,2018-03-01 12:09:00
86159,Tom Yum Gai,5,12,2018-03-01 12:21:00
86160,Pad Gra Prow,1,15,2018-03-01 12:34:00
86161,Thai Beef Noodle Soup,1,12,2018-03-01 12:32:00
86162,Chicken Satay,1,10,2018-03-01 12:54:00
86163,Pumpkin Curry,3,15,2018-03-01 12:49:00
86164,Sticky Rice with Mango,1,6,2018-03-01 12:51:00
86164,Basil Fried Rice,1,12,2018-03-01 12:51:00
86165,Red Curry,2,12,2018-03-01 12:40:00
86166,Pad See Ew,1,12,2018-03-01 12:42:00
86167,Tom Kha Gai,3,12,2018-03-01 12:01:00
86168,Yum Nua,5,12,2018-03-01 12:57:00
86169,Tom Yum Gai,3,12,2018-03-01 12:02:00
86170,Sriracha Wings,1,10,2018-03-01 12:22:00
86171,Sticky Rice with Mango,1,6,2018-03-01 12:12:00
86171,Pad Ka Nar,1,12,2018-03-01 12:12:00
86172,Red Curry,2,12,2018-03-01 13:14:00
86173,Yellow Curry,1,12,2018-03-01 13:37:00
86174,Pad Char,1,15,2018-03-01 13:33:00
86175,Som Tum,1,12,2018-03-01 13:52:00
86176,Green Curry,1,12,2018-03-01 13:20:00
86177,Thai Streetfood Noodle,1,12,2018-03-01 13:36:00
86178,Pad Char,3,15,2018-03-01 13:09:00
86179,Pad Char,1,15,2018-03-01 13:39:00
86180,Pad See Ew,1,12,2018-03-01 13:04:00
86181,Yellow Curry,1,12,2018-03-01 13:57:00
86182,Yellow Curry,1,12,2018-03-01 13:17:00
86183,Red Curry,1,12,2018-03-01 13:07:00
86184,Pad Thai,2,12,2018-03-01 13:18:00
86185,Sticky Rice with Mango,4,6,2018-03-01 13:28:00
86186,Green Curry,1,12,2018-03-01 13:38:00
86187,Nam Kao Tod,1,12,2018-03-01 13:40:00
86188,Won Ton Soup,1,12,2018-03-01 13:35:00
86189,Yellow Curry,2,12,2018-03-01 13:10:00
86190,Tom Yum Goong,1,15,2018-03-01 13:09:00
86191,Pad Char,1,15,2018-03-01 13:39:00
86192,Yum Nua,1,12,2018-03-01 13:11:00
86193,Pad Gra Tiem,2,15,2018-03-01 13:25:00
86194,Red Curry,3,12,2018-03-01 13:22:00
86195,Thai Fried Rice,1,12,2018-03-01 14:17:00
86196,Sticky Rice with Mango,1,6,2018-03-01 14:44:00
86197,Green Curry,1,12,2018-03-01 14:28:00
86198,Pad Gra Tiem,1,15,2018-03-01 14:25:00
86199,Tom Yum Gai,2,12,2018-03-01 14:17:00
86200,Pad Gra Prow,1,15,2018-03-01 14:30:00
86201,Green Curry,1,12,2018-03-01 14:40:00
86202,Bar-B-Q Chicken,3,20,2018-03-01 14:13:00
86203,Tom Yum Goong,1,15,2018-03-01 14:52:00
86204,Pad Char,2,15,2018-03-01 14:00:00
86205,Green Curry,5,12,2018-03-01 14:36:00
86206,Green Curry,1,12,2018-03-01 14:47:00
86207,Tom Yum Gai,2,12,2018-03-01 14:56:00
86208,Pad Prig Khing,2,12,2018-03-01 14:53:00
86209,Sticky Rice with Mango,2,6,2018-03-01 14:02:00
86209,Sticky Rice with Mango,2,6,2018-03-01 14:02:00
86210,Nam Kao Tod,1,12,2018-03-01 14:21:00
86211,Pad Gra Tiem,4,15,2018-03-01 14:35:00
86212,Sticky Rice with Mango,2,6,2018-03-01 14:57:00
86212,Thai Streetfood Noodle,2,12,2018-03-01 14:57:00
