Order ID,Item,Quantity Ordered,Price Each,Order Date
97164,Pad Ka Nar,1,12,2018-05-01 11:31:00
97165,Pad See Ew,1,12,2018-05-01 11:43:00
97166,Sticky Rice with Mango,1,6,2018-05-01 11:49:00
97166,Won Ton Soup,1,12,2018-05-01 11:49:00
97167,Red Curry,1,12,2018-05-01 11:10:00
97168,Nam Kao Tod,1,12,2018-05-01 11:13:00
97169,Pad Char,1,15,2018-05-01 11:30:00
97170,Tom Kha Gai,1,12,2018-05-01 11:11:00
97171,Won Ton Soup,1,12,2018-05-01 11:11:00
97172,Red Curry,2,12,2018-05-01 11:08:00
97173,Thai Beef Noodle Soup,2,12,2018-05-01 11:15:00
97174,Pad Ka Nar,1,12,2018-05-01 11:55:00
97175,Pad See Ew,1,12,2018-05-01 11:07:00
97176,Nam Kao Tod,3,12,2018-05-01 11:45:00
97177,Sriracha Wings,4,10,2018-05-01 11:10:00
97178,Pad Ka Nar,1,12,2018-05-01 11:48:00
97179,Won Ton Soup,1,12,2018-05-01 11:38:00
97180,Sticky Rice with Mango,1,6,2018-05-01 11:52:00
97180,Sticky Rice with Mango,1,6,2018-05-01 11:52:00
97181,Sticky Rice with Mango,2,6,2018-05-01 11:28:00
97182,Pad Ka Nar,1,12,2018-05-01 11:27:00
97183,Pad Ma Keur,1,12,2018-05-01 11:11:00
97184,Sticky Rice with Mango,1,6,2018-05-01 11:29:00
97184,Sticky Rice with Mango,1,6,2018-05-01 11:29:00
97185,Pumpkin Curry,1,15,2018-05-01 11:32:00
97186,Pumpkin Curry,2,15,2018-05-01 11:27:00
97187,Sriracha Wings,4,10,2018-05-01 12:43:00
97188,Basil Fried Rice,1,12,2018-05-01 12:17:00
97189,Pad Thai,1,12,2018-05-01 12:05:00
97190,Pad Char,1,15,2018-05-01 12:13:00
97191,Yum Nua,1,12,2018-05-01 12:11:00
97192,Tom Yum Gai,1,12,2018-05-01 12:05:00
97193,Tom Kha Gai,1,12,2018-05-01 12:37:00
97194,Pra Ram,4,12,2018-05-01 12:51:00
97195,Sticky Rice with Mango,2,6,2018-05-01 12:07:00
97195,MyThai Salad,2,12,2018-05-01 12:07:00
97196,Basil Fried Rice,1,12,2018-05-01 12:20:00
97197,Vegan Fresh Rolls,2,10,2018-05-01 12:34:00
97198,Bar-B-Q Chicken,1,20,2018-05-01 12:48:00
97199,Thai Beef Noodle Soup,1,12,2018-05-01 12:02:00
97200,Pad Thai,2,12,2018-05-01 12:41:00
97201,Sticky Rice with Mango,3,6,2018-05-01 12:42:00
97202,Bar-B-Q Chicken,1,20,2018-05-01 12:04:00
97203,Thai Beef Noodle Soup,1,12,2018-05-01 12:43:00
97204,Chicken Satay,1,10,2018-05-01 12:09:00
97205,Pad Gra Tiem,1,15,2018-05-01 12:10:00
97206,Thai Beef Noodle Soup,1,12,2018-05-01 12:24:00
97207,Basil Fried Rice,2,12,2018-05-01 12:30:00
97208,Bar-B-Q Chicken,6,20,2018-05-01 12:39:00
97209,Thai Streetfood Noodle,1,12,2018-05-01 12:37:00
97210,Pad Thai,2,12,2018-05-01 12:59:00
97211,Red Curry,2,12,2018-05-01 12:24:00
97212,Pad Char,1,15,2018-05-01 12:14:00
97213,Pad Pak,1,12,2018-05-01 12:00:00
97214,Won Ton Soup,2,12,2018-05-01 12:32:00
97215,Thai Fried Rice,4,12,2018-05-01 13:46:00
97216,Red Curry,1,12,2018-05-01 13:00:00
97217,Basil Fried Rice,1,12,2018-05-01 13:15:00
97218,Sticky Rice with Mango,1,6,2018-05-01 13:49:00
97219,Yellow Curry,1,12,2018-05-01 13:54:00
97220,Green Curry,4,12,2018-05-01 13:54:00
97221,Sticky Rice with Mango,2,6,2018-05-01 13:36:00
97221,Som Tum,2,12,2018-05-01 13:36:00
97222,Thai Fried Rice,1,12,2018-05-01 13:42:00
97223,Red Curry,3,12,2018-05-01 13:18:00
97224,Bar-B-Q Chicken,1,20,2018-05-01 13:40:00
97225,Pad Char,1,15,2018-05-01 13:47:00
97226,Pra Ram,1,12,2018-05-01 13:11:00
97227,Sticky Rice with Mango,2,6,2018-05-01 13:04:00
97227,Won Ton Soup,2,12,2018-05-01 13:04:00
97228,Pad Gra Tiem,3,15,2018-05-01 13:04:00
97229,Waterfall Mushroom and Tofu,2,12,2018-05-01 13:59:00
97230,Won Ton Soup,1,12,2018-05-01 13:26:00
97231,Yellow Curry,3,12,2018-05-01 13:16:00
97232,Nam Kao Tod,3,12,2018-05-01 13:20:00
97233,Pad Ka Nar,1,12,2018-05-01 13:32:00
97234,Pad Ma Keur,2,12,2018-05-01 13:37:00
97235,Pad Ka Nar,3,12,2018-05-01 13:40:00
97236,Won Ton Soup,2,12,2018-05-01 13:23:00
97237,Nam Kao Tod,1,12,2018-05-01 13:30:00
97238,Bar-B-Q Chicken,2,20,2018-05-01 13:26:00
97239,Pad Kee Mao,6,12,2018-05-01 14:53:00
97240,Red Curry,1,12,2018-05-01 14:49:00
97241,Pad Char,2,15,2018-05-01 14:18:00
97242,Vegan Fresh Rolls,1,10,2018-05-01 14:11:00
97243,Thai Beef Noodle Soup,2,12,2018-05-01 14:20:00
97244,Yellow Curry,2,12,2018-05-01 14:31:00
97245,Pad See Ew,3,12,2018-05-01 14:29:00
97246,Yum Woonsen,2,13,2018-05-01 14:51:00
97247,Larb Gai,3,12,2018-05-01 14:04:00
97248,Tom Kha Gai,1,12,2018-05-01 14:23:00
97249,Sticky Rice with Mango,1,6,2018-05-01 14:32:00
97249,Red Curry,1,12,2018-05-01 14:32:00
97250,Thai Streetfood Noodle,2,12,2018-05-01 14:13:00
97251,Red Curry,1,12,2018-05-01 14:13:00
97252,Pad Char,1,15,2018-05-01 14:09:00
97253,Pumpkin Curry,1,15,2018-05-01 14:02:00
97254,Red Curry,1,12,2018-05-01 14:24:00
97255,Nam Kao Tod,1,12,2018-05-01 14:56:00
97256,Green Curry,1,12,2018-05-01 14:03:00
97257,Thai Fried Rice,2,12,2018-05-01 14:20:00
97258,Won Ton Soup,1,12,2018-05-01 14:44:00
97259,Thai Streetfood Noodle,2,12,2018-05-01 14:04:00
97260,Red Curry,1,12,2018-05-01 14:40:00
97261,Tom Kha Gai,1,12,2018-05-01 14:04:00
97261,Pad Thai,1,12,2018-05-01 14:04:00
97262,Tom Kha Gai,1,12,2018-05-01 14:15:00
97263,Pad Ka Nar,1,12,2018-05-01 17:34:00
97264,Pad Char,3,15,2018-05-01 17:14:00
97265,Thai Fried Rice,2,12,2018-05-01 17:24:00
97266,Yellow Curry,1,12,2018-05-01 17:42:00
97267,Pad Ka Nar,1,12,2018-05-01 17:53:00
97268,Grilled Salmon,1,22,2018-05-01 17:48:00
97269,Won Ton Soup,1,12,2018-05-01 17:22:00
97270,Pad Char,1,15,2018-05-01 17:21:00
97271,Pad Char,1,15,2018-05-01 17:04:00
97272,Thai Streetfood Noodle,2,12,2018-05-01 17:00:00
97273,Red Curry,1,12,2018-05-01 17:29:00
97274,Yellow Curry,1,12,2018-05-01 17:50:00
97275,Pad Gra Tiem,2,15,2018-05-01 17:28:00
97276,Red Curry,1,12,2018-05-01 17:40:00
97277,Won Ton Soup,1,12,2018-05-01 17:23:00
97278,Red Curry,2,12,2018-05-01 17:25:00
97279,Sriracha Wings,1,10,2018-05-01 17:07:00
97279,Sticky Rice with Mango,1,6,2018-05-01 17:07:00
97280,Green Curry,2,12,2018-05-01 17:56:00
97281,Pad Thai,1,12,2018-05-01 17:23:00
97282,Pad See Ew,1,12,2018-05-01 17:36:00
97283,Pad Char,1,15,2018-05-01 17:57:00
97284,Sticky Rice with Mango,1,6,2018-05-01 17:45:00
97285,Thai Streetfood Noodle,1,12,2018-05-01 18:58:00
97286,Grilled Thai Steak,1,20,2018-05-01 18:06:00
97287,Pad See Ew,1,12,2018-05-01 18:19:00
97288,Yum Woonsen,1,13,2018-05-01 18:01:00
97289,Red Curry,1,12,2018-05-01 18:30:00
97290,Pad Char,1,15,2018-05-01 18:26:00
97291,Pumpkin Curry,1,15,2018-05-01 18:41:00
97292,Yum Nua,2,12,2018-05-01 18:23:00
97293,MyThai Salad,1,12,2018-05-01 18:32:00
97294,MyThai Salad,1,12,2018-05-01 18:47:00
97295,Pad Gra Prow,2,15,2018-05-01 18:57:00
97296,Pad Gra Prow,2,15,2018-05-01 18:42:00
97297,Pad Gra Prow,1,15,2018-05-01 18:26:00
97298,Sticky Rice with Mango,1,6,2018-05-01 18:26:00
97298,Sticky Rice with Mango,1,6,2018-05-01 18:26:00
97299,Pra Ram,1,12,2018-05-01 18:29:00
97300,Yellow Curry,1,12,2018-05-01 18:25:00
97301,Thai Beef Noodle Soup,1,12,2018-05-01 18:04:00
97302,Sriracha Wings,1,10,2018-05-01 18:41:00
97303,Sriracha Wings,2,10,2018-05-01 18:34:00
97304,Nam Kao Tod,2,12,2018-05-01 18:27:00
97305,Pra Ram,2,12,2018-05-01 19:03:00
97306,Thai Streetfood Noodle,2,12,2018-05-01 19:11:00
97307,Green Curry,1,12,2018-05-01 19:31:00
97308,Won Ton Soup,1,12,2018-05-01 19:58:00
97309,Nam Kao Tod,3,12,2018-05-01 19:09:00
97310,Green Curry,3,12,2018-05-01 19:31:00
97311,Yellow Curry,2,12,2018-05-01 19:26:00
97312,Som Tum,1,12,2018-05-01 19:27:00
97313,Basil Fried Rice,1,12,2018-05-01 19:49:00
97314,Thai Streetfood Noodle,1,12,2018-05-01 19:30:00
97315,Red Curry,1,12,2018-05-01 19:37:00
97316,Pad Gra Tiem,1,15,2018-05-01 19:02:00
97317,Thai Fried Rice,4,12,2018-05-01 19:56:00
97318,Pad Thai,4,12,2018-05-01 19:40:00
97319,Pad Prig Khing,1,12,2018-05-01 19:10:00
97320,Thai Streetfood Noodle,2,12,2018-05-01 19:16:00
97321,Red Curry,1,12,2018-05-01 19:53:00
97322,Yellow Curry,1,12,2018-05-01 19:21:00
97323,Grilled Salmon,6,22,2018-05-01 19:11:00
97324,Thai Fried Rice,1,12,2018-05-01 19:48:00
97325,Thai Beef Noodle Soup,1,12,2018-05-01 19:22:00
97326,Chicken Satay,1,10,2018-05-01 19:48:00
97327,Tom Yum Gai,1,12,2018-05-01 19:41:00
97328,Thai Beef Noodle Soup,1,12,2018-05-01 20:29:00
97329,Grilled Thai Steak,1,20,2018-05-01 20:48:00
97330,Basil Fried Rice,1,12,2018-05-01 20:50:00
97331,Larb Gai,2,12,2018-05-01 20:46:00
97332,Pad Ma Keur,2,12,2018-05-01 20:33:00
97333,Tom Kha Gai,5,12,2018-05-01 20:47:00
97334,Pad Ma Keur,1,12,2018-05-01 20:24:00
97335,Yellow Curry,1,12,2018-05-01 20:55:00
97336,Won Ton Soup,1,12,2018-05-01 20:08:00
97337,Pad Char,6,15,2018-05-01 20:02:00
97338,Pad Gra Tiem,2,15,2018-05-01 20:29:00
97339,Pad Gra Prow,1,15,2018-05-01 20:35:00
97340,Yellow Curry,1,12,2018-05-01 20:09:00
97341,Som Tum,1,12,2018-05-01 20:20:00
97342,Pad Thai,1,12,2018-05-01 20:49:00
97343,Thai Beef Noodle Soup,1,12,2018-05-01 20:15:00
97344,Pad Ma Keur,1,12,2018-05-01 20:24:00
97345,Thai Streetfood Noodle,2,12,2018-05-01 20:50:00
97346,Pad Gra Prow,2,15,2018-05-01 20:11:00
97347,Pad Prig Khing,2,12,2018-05-02 11:37:00
97348,Thai Streetfood Noodle,1,12,2018-05-02 11:20:00
97349,Vegan Fresh Rolls,1,10,2018-05-02 11:04:00
97350,Sticky Rice with Mango,1,6,2018-05-02 11:52:00
97350,Bar-B-Q Chicken,1,20,2018-05-02 11:52:00
97351,Basil Fried Rice,2,12,2018-05-02 11:05:00
97352,Thai Beef Noodle Soup,1,12,2018-05-02 11:16:00
97353,Chicken Satay,1,10,2018-05-02 11:27:00
97354,Won Ton Soup,1,12,2018-05-02 11:42:00
97355,Thai Fried Rice,1,12,2018-05-02 11:01:00
97356,Green Curry,5,12,2018-05-02 11:56:00
97357,Thai Fried Rice,1,12,2018-05-02 11:58:00
97358,MyThai Salad,2,12,2018-05-02 11:08:00
97359,Grilled Thai Steak,1,20,2018-05-02 11:22:00
97360,Won Ton Soup,1,12,2018-05-02 11:15:00
97361,Pad Gra Tiem,1,15,2018-05-02 11:47:00
97362,Tom Yum Gai,1,12,2018-05-02 11:52:00
97363,Sticky Rice with Mango,1,6,2018-05-02 11:36:00
97363,Thai Streetfood Noodle,1,12,2018-05-02 11:36:00
97364,Nam Kao Tod,1,12,2018-05-02 11:40:00
97365,Green Curry,1,12,2018-05-02 11:20:00
97366,Green Curry,2,12,2018-05-02 11:37:00
97367,Thai Beef Noodle Soup,4,12,2018-05-02 11:00:00
97368,Pad Gra Prow,2,15,2018-05-02 11:13:00
97369,Grilled Salmon,1,22,2018-05-02 11:51:00
97370,Pad Prig Khing,1,12,2018-05-02 12:14:00
97371,Thai Beef Noodle Soup,1,12,2018-05-02 12:49:00
97372,Won Ton Soup,1,12,2018-05-02 12:13:00
97373,Vegan Fresh Rolls,1,10,2018-05-02 12:06:00
97374,Pad See Ew,1,12,2018-05-02 12:11:00
97375,Pad Prig Khing,1,12,2018-05-02 12:10:00
97376,Sticky Rice with Mango,2,6,2018-05-02 12:19:00
97377,Thai Fried Rice,2,12,2018-05-02 12:56:00
97378,Pad Thai,1,12,2018-05-02 12:15:00
97379,Red Curry,1,12,2018-05-02 12:34:00
97380,Grilled Thai Steak,1,20,2018-05-02 12:04:00
97381,Pad Ka Nar,2,12,2018-05-02 12:03:00
97382,Thai Beef Noodle Soup,2,12,2018-05-02 12:36:00
97383,Yellow Curry,1,12,2018-05-02 12:11:00
97384,Pad Ka Nar,1,12,2018-05-02 12:09:00
97385,Vegan Fresh Rolls,1,10,2018-05-02 12:19:00
97385,Chicken Satay,1,10,2018-05-02 12:19:00
97386,Sriracha Wings,1,10,2018-05-02 13:37:00
97387,Pad Char,1,15,2018-05-02 13:15:00
97388,Sticky Rice with Mango,1,6,2018-05-02 13:07:00
97389,Thai Beef Noodle Soup,2,12,2018-05-02 13:10:00
97390,Pumpkin Curry,1,15,2018-05-02 13:16:00
97391,Pumpkin Curry,1,15,2018-05-02 13:33:00
97392,Yum Woonsen,1,13,2018-05-02 13:05:00
97393,Sticky Rice with Mango,2,6,2018-05-02 13:45:00
97393,Sticky Rice with Mango,2,6,2018-05-02 13:45:00
97394,Pad See Ew,1,12,2018-05-02 13:54:00
97395,Tom Yum Goong,1,15,2018-05-02 13:59:00
97396,Grilled Thai Steak,1,20,2018-05-02 13:07:00
97397,Vegan Fresh Rolls,2,10,2018-05-02 13:36:00
97398,Basil Fried Rice,2,12,2018-05-02 13:36:00
97399,Grilled Thai Steak,2,20,2018-05-02 13:01:00
97400,Red Curry,3,12,2018-05-02 13:10:00
97401,Green Curry,1,12,2018-05-02 13:57:00
97402,Thai Beef Noodle Soup,2,12,2018-05-02 14:10:00
97403,Pad Prig Khing,3,12,2018-05-02 14:49:00
97404,Sriracha Wings,1,10,2018-05-02 14:08:00
97405,Sticky Rice with Mango,1,6,2018-05-02 14:24:00
97405,Red Curry,1,12,2018-05-02 14:24:00
97406,Vegan Fresh Rolls,2,10,2018-05-02 14:52:00
97407,Pad Kee Mao,3,12,2018-05-02 14:25:00
97408,Thai Fried Rice,1,12,2018-05-02 14:54:00
97409,Pad Gra Tiem,1,15,2018-05-02 14:13:00
97410,Pad Gra Tiem,1,15,2018-05-02 14:10:00
97411,Won Ton Soup,2,12,2018-05-02 14:30:00
97412,Pad Thai,1,12,2018-05-02 14:44:00
97413,Grilled Salmon,2,22,2018-05-02 14:36:00
97414,Green Curry,1,12,2018-05-02 14:14:00
97415,Pad Char,1,15,2018-05-02 14:15:00
97416,Pad Gra Prow,1,15,2018-05-02 14:50:00
97417,Pad Gra Tiem,1,15,2018-05-02 14:01:00
97418,Pad Gra Prow,2,15,2018-05-02 14:06:00
97419,Chicken Satay,3,10,2018-05-02 14:59:00
97420,Yellow Curry,1,12,2018-05-02 14:46:00
97421,Pad See Ew,1,12,2018-05-02 14:14:00
97422,Sticky Rice with Mango,1,6,2018-05-02 17:07:00
97423,Yellow Curry,1,12,2018-05-02 17:37:00
97424,Pad Kee Mao,1,12,2018-05-02 17:46:00
97425,Pad Gra Tiem,1,15,2018-05-02 17:44:00
97426,Yum Nua,2,12,2018-05-02 17:20:00
97427,Sticky Rice with Mango,1,6,2018-05-02 17:57:00
97428,Pad Char,2,15,2018-05-02 17:22:00
97429,Red Curry,2,12,2018-05-02 17:20:00
97430,Yellow Curry,1,12,2018-05-02 17:06:00
97431,Som Tum,1,12,2018-05-02 17:59:00
97432,Sticky Rice with Mango,2,6,2018-05-02 17:09:00
97433,Sticky Rice with Mango,1,6,2018-05-02 17:14:00
97434,Grilled Salmon,1,22,2018-05-02 17:35:00
97435,Chicken Satay,1,10,2018-05-02 17:26:00
97436,Pad Char,2,15,2018-05-02 17:05:00
97437,MyThai Salad,1,12,2018-05-02 17:56:00
97438,Sticky Rice with Mango,3,6,2018-05-02 17:55:00
97439,Pad Thai,1,12,2018-05-02 17:35:00
97440,Thai Streetfood Noodle,3,12,2018-05-02 17:14:00
97441,Basil Fried Rice,1,12,2018-05-02 17:20:00
97442,Chicken Satay,1,10,2018-05-02 17:28:00
97443,Yellow Curry,1,12,2018-05-02 17:46:00
97444,Pad Gra Tiem,1,15,2018-05-02 17:19:00
97445,Sticky Rice with Mango,2,6,2018-05-02 17:09:00
97445,Yellow Curry,2,12,2018-05-02 17:09:00
97446,Sticky Rice with Mango,1,6,2018-05-02 17:58:00
97446,Thai Streetfood Noodle,1,12,2018-05-02 17:58:00
97447,Basil Fried Rice,2,12,2018-05-02 17:37:00
97448,Sticky Rice with Mango,2,6,2018-05-02 18:30:00
97448,Nam Kao Tod,2,12,2018-05-02 18:30:00
97449,Pad Kee Mao,1,12,2018-05-02 18:47:00
97450,Green Curry,1,12,2018-05-02 18:14:00
97451,Sticky Rice with Mango,2,6,2018-05-02 18:29:00
97451,Thai Beef Noodle Soup,2,12,2018-05-02 18:29:00
97452,Thai Streetfood Noodle,2,12,2018-05-02 18:03:00
97453,Yellow Curry,1,12,2018-05-02 18:46:00
97454,Red Curry,1,12,2018-05-02 18:18:00
97455,Pad Char,1,15,2018-05-02 18:14:00
97456,Grilled Thai Steak,1,20,2018-05-02 18:48:00
97457,Grilled Thai Steak,1,20,2018-05-02 18:49:00
97458,Basil Fried Rice,1,12,2018-05-02 18:53:00
97459,Pad Pak,1,12,2018-05-02 18:47:00
97460,Som Tum,1,12,2018-05-02 18:50:00
97461,Green Curry,1,12,2018-05-02 18:16:00
97462,Yum Woonsen,1,13,2018-05-02 18:50:00
97463,Pra Ram,2,12,2018-05-02 18:18:00
