,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,160616,Sticky Rice with Mango,2,6,2019-05-01 11:02:00
1,160617,Pad Thai,1,12,2019-05-01 11:28:00
2,160618,Grilled Salmon,1,22,2019-05-01 11:41:00
3,160619,Pad Ma Keur,1,12,2019-05-01 11:32:00
4,160620,Green Curry,1,12,2019-05-01 11:40:00
5,160621,Pad Prig Khing,1,12,2019-05-01 11:57:00
6,160622,Red Curry,1,12,2019-05-01 11:01:00
7,160623,Basil Fried Rice,1,12,2019-05-01 11:57:00
8,160624,Thai Streetfood Noodle,1,12,2019-05-01 11:03:00
9,160625,Thai Beef Noodle Soup,1,12,2019-05-01 11:30:00
10,160626,Thai Beef Noodle Soup,1,12,2019-05-01 11:19:00
11,160627,Sticky Rice with Mango,1,6,2019-05-01 11:47:00
12,160628,MyThai Salad,1,12,2019-05-01 11:37:00
13,160629,Thai Fried Rice,1,12,2019-05-01 11:56:00
14,160630,Red Curry,1,12,2019-05-01 11:30:00
15,160631,Grilled Salmon,2,22,2019-05-01 11:04:00
16,160632,Yellow Curry,2,12,2019-05-01 11:11:00
17,160633,Chicken Satay,1,10,2019-05-01 11:08:00
18,160634,Basil Fried Rice,1,12,2019-05-01 11:26:00
19,160635,Thai Beef Noodle Soup,1,12,2019-05-01 11:52:00
20,160636,Pad Char,1,15,2019-05-01 11:40:00
21,160637,Pad Gra Tiem,1,15,2019-05-01 11:40:00
22,160638,Red Curry,1,12,2019-05-01 12:47:00
23,160639,Pumpkin Curry,1,15,2019-05-01 12:43:00
24,160640,Basil Fried Rice,1,12,2019-05-01 12:36:00
25,160641,Sticky Rice with Mango,1,6,2019-05-01 12:51:00
26,160642,Thai Beef Noodle Soup,1,12,2019-05-01 12:29:00
27,160643,Pumpkin Curry,1,15,2019-05-01 12:41:00
28,160644,Grilled Salmon,1,22,2019-05-01 12:21:00
29,160645,Pumpkin Curry,1,15,2019-05-01 12:25:00
30,160646,Vegan Fresh Rolls,1,10,2019-05-01 12:33:00
31,160647,Won Ton Soup,1,12,2019-05-01 12:11:00
32,160648,Pad Gra Prow,1,15,2019-05-01 12:05:00
33,160649,Pad Gra Prow,1,15,2019-05-01 12:22:00
34,160650,Pad Ka Nar,1,12,2019-05-01 12:25:00
35,160651,Sticky Rice with Mango,1,6,2019-05-01 12:39:00
36,160651,Grilled Salmon,1,22,2019-05-01 12:39:00
37,160652,Pad Gra Tiem,1,15,2019-05-01 12:04:00
38,160653,Pad Kee Mao,2,12,2019-05-01 12:53:00
39,160654,Pad Thai,1,12,2019-05-01 12:52:00
40,160655,Grilled Salmon,1,22,2019-05-01 12:33:00
41,160656,Thai Beef Noodle Soup,1,12,2019-05-01 12:17:00
42,160657,Pad Ka Nar,1,12,2019-05-01 12:26:00
