Order ID,Item,Quantity Ordered,Price Each,Order Date
84600,Red Curry,1,12,2017-11-01 11:42:00
84601,Sticky Rice with Mango,1,6,2017-11-01 11:43:00
84602,Thai Fried Rice,2,12,2017-11-01 11:37:00
84603,Pad Prig Khing,2,12,2017-11-01 11:58:00
84604,Thai Fried Rice,1,12,2017-11-01 11:38:00
84605,Som Tum,2,12,2017-11-01 11:39:00
84606,Thai Streetfood Noodle,1,12,2017-11-01 11:23:00
84607,Thai Beef Noodle Soup,1,12,2017-11-01 11:16:00
84608,Thai Beef Noodle Soup,1,12,2017-11-01 11:36:00
84609,Thai Beef Noodle Soup,4,12,2017-11-01 11:15:00
84610,Pumpkin Curry,1,15,2017-11-01 11:08:00
84611,Pad See Ew,3,12,2017-11-01 11:03:00
84612,Thai Streetfood Noodle,3,12,2017-11-01 11:50:00
84613,Green Curry,1,12,2017-11-01 11:29:00
84614,Sticky Rice with Mango,1,6,2017-11-01 11:03:00
84614,Pumpkin Curry,1,15,2017-11-01 11:03:00
84615,Pad Ka Nar,3,12,2017-11-01 11:27:00
84616,Sticky Rice with Mango,1,6,2017-11-01 11:11:00
84617,Won Ton Soup,1,12,2017-11-01 11:25:00
84618,Thai Beef Noodle Soup,1,12,2017-11-01 11:46:00
84619,Pad See Ew,2,12,2017-11-01 11:38:00
84620,Tom Yum Goong,2,15,2017-11-01 11:44:00
84621,Pad Prig Khing,5,12,2017-11-01 11:57:00
84622,Sticky Rice with Mango,1,6,2017-11-01 11:35:00
84622,Pad Thai,1,12,2017-11-01 11:35:00
84623,Pad See Ew,5,12,2017-11-01 11:28:00
84624,Pad Kee Mao,1,12,2017-11-01 11:33:00
84625,Green Curry,1,12,2017-11-01 11:47:00
84626,Larb Gai,1,12,2017-11-01 11:22:00
84627,Sticky Rice with Mango,1,6,2017-11-01 11:38:00
84627,Pad See Ew,1,12,2017-11-01 11:38:00
84628,Pad See Ew,1,12,2017-11-01 11:07:00
84629,Sriracha Wings,1,10,2017-11-01 11:16:00
84630,Sticky Rice with Mango,1,6,2017-11-01 11:15:00
84630,Pad Kee Mao,1,12,2017-11-01 11:15:00
84631,Green Curry,2,12,2017-11-01 11:27:00
84632,Won Ton Soup,2,12,2017-11-01 11:19:00
84633,Green Curry,1,12,2017-11-01 11:19:00
