Order ID,Item,Quantity Ordered,Price Each,Order Date
180230,Yum Woonsen,1,13,2018-10-02 11:52:00
180231,Basil Fried Rice,1,12,2018-10-02 11:53:00
180232,Pra Ram,1,12,2018-10-02 11:47:00
180233,Pad See Ew,1,12,2018-10-02 11:14:00
180234,Nam Kao Tod,2,12,2018-10-02 11:16:00
180235,Pad Pak,1,12,2018-10-02 11:58:00
180236,Pad Pak,2,12,2018-10-02 11:34:00
180237,Pad Prig Khing,2,12,2018-10-02 11:42:00
180238,Won Ton Soup,1,12,2018-10-02 11:51:00
180239,Thai Beef Noodle Soup,1,12,2018-10-02 11:17:00
180240,Sticky Rice with Mango,1,6,2018-10-02 11:18:00
180241,Grilled Thai Steak,1,20,2018-10-02 11:47:00
180242,Thai Beef Noodle Soup,1,12,2018-10-02 11:57:00
180243,Thai Fried Rice,1,12,2018-10-02 11:50:00
180244,Won Ton Soup,1,12,2018-10-02 11:00:00
180245,Pad Gra Tiem,1,15,2018-10-02 11:53:00
180246,Thai Fried Rice,1,12,2018-10-02 11:44:00
180247,Waterfall Mushroom and Tofu,1,12,2018-10-02 11:59:00
180248,Pad Pak,1,12,2018-10-02 11:27:00
180249,Chicken Satay,1,10,2018-10-02 11:23:00
180250,Pad Char,1,15,2018-10-02 11:52:00
180251,Pad See Ew,1,12,2018-10-02 11:46:00
180252,Pad Char,2,15,2018-10-02 11:32:00
180253,Sticky Rice with Mango,1,6,2018-10-02 11:48:00
180254,Thai Streetfood Noodle,1,12,2018-10-02 11:59:00
180255,Thai Fried Rice,1,12,2018-10-02 12:59:00
180256,Thai Fried Rice,2,12,2018-10-02 12:37:00
180257,Red Curry,1,12,2018-10-02 12:49:00
180258,Pad Char,2,15,2018-10-02 12:19:00
180259,Sticky Rice with Mango,7,6,2018-10-02 12:28:00
180259,Thai Beef Noodle Soup,7,12,2018-10-02 12:28:00
180260,Thai Beef Noodle Soup,2,12,2018-10-02 12:19:00
180261,Yellow Curry,1,12,2018-10-02 12:09:00
180262,Bar-B-Q Chicken,1,20,2018-10-02 12:07:00
180263,Chicken Satay,1,10,2018-10-02 12:58:00
180264,Thai Beef Noodle Soup,1,12,2018-10-02 12:13:00
180265,Pad Prig Khing,1,12,2018-10-02 12:46:00
180266,Basil Fried Rice,1,12,2018-10-02 12:15:00
180267,Pad Char,2,15,2018-10-02 12:52:00
180268,Yellow Curry,1,12,2018-10-02 12:16:00
180269,Vegan Fresh Rolls,2,10,2018-10-02 12:51:00
180270,Green Curry,1,12,2018-10-02 12:29:00
180271,Red Curry,1,12,2018-10-02 12:09:00
180272,Red Curry,1,12,2018-10-02 12:03:00
180273,Pad See Ew,1,12,2018-10-02 12:38:00
180274,Green Curry,1,12,2018-10-02 12:31:00
180275,Pad Char,1,15,2018-10-02 12:19:00
180276,Yellow Curry,1,12,2018-10-02 12:42:00
180277,Sticky Rice with Mango,3,6,2018-10-02 12:05:00
180277,Won Ton Soup,3,12,2018-10-02 12:05:00
180278,Pad See Ew,2,12,2018-10-02 12:55:00
180279,Tom Yum Gai,1,12,2018-10-02 12:57:00
180280,Bar-B-Q Chicken,2,20,2018-10-02 12:24:00
180281,Thai Streetfood Noodle,1,12,2018-10-02 12:25:00
180282,Waterfall Mushroom and Tofu,2,12,2018-10-02 12:54:00
180283,Pad Char,1,15,2018-10-02 12:00:00
180284,Tom Kha Gai,1,12,2018-10-02 12:29:00
180285,Basil Fried Rice,1,12,2018-10-02 12:27:00
180286,Sticky Rice with Mango,1,6,2018-10-02 12:34:00
180287,Grilled Salmon,1,22,2018-10-02 12:34:00
180288,Sticky Rice with Mango,1,6,2018-10-02 12:13:00
180288,Sticky Rice with Mango,1,6,2018-10-02 12:13:00
180289,Pad Thai,2,12,2018-10-02 12:43:00
180290,Pad Pak,3,12,2018-10-02 12:45:00
180291,Pad Thai,1,12,2018-10-02 12:15:00
180292,Som Tum,1,12,2018-10-02 12:32:00
180293,Sriracha Wings,5,10,2018-10-02 12:49:00
180294,Green Curry,2,12,2018-10-02 13:53:00
180295,Pad Ka Nar,4,12,2018-10-02 13:41:00
180296,Thai Beef Noodle Soup,1,12,2018-10-02 13:29:00
180297,Tom Yum Gai,1,12,2018-10-02 13:38:00
180298,Pad Gra Prow,1,15,2018-10-02 13:55:00
180299,Won Ton Soup,1,12,2018-10-02 13:48:00
180300,Tom Kha Gai,3,12,2018-10-02 13:39:00
180301,Yum Woonsen,1,13,2018-10-02 13:56:00
180302,Grilled Thai Steak,4,20,2018-10-02 13:44:00
180303,Pad Gra Prow,1,15,2018-10-02 13:45:00
180304,Pad Ka Nar,1,12,2018-10-02 13:57:00
180305,Pad See Ew,1,12,2018-10-02 13:00:00
180306,Green Curry,1,12,2018-10-02 13:08:00
180307,Chicken Satay,1,10,2018-10-02 13:16:00
180308,Pad Kee Mao,2,12,2018-10-02 13:27:00
180309,Thai Streetfood Noodle,1,12,2018-10-02 13:21:00
180310,MyThai Salad,3,12,2018-10-02 13:16:00
180311,Pad Thai,1,12,2018-10-02 13:59:00
180312,Grilled Thai Steak,1,20,2018-10-02 13:43:00
