,Order ID,Product,Quantity Ordered,Price Each,Order Date
0,46888,Yellow Curry,1,12,2017-09-01 11:35:00
1,46889,Sticky Rice with Mango,1,6,2017-09-01 11:47:00
2,46889,Sticky Rice with Mango,1,6,2017-09-01 11:47:00
3,46890,Green Curry,1,12,2017-09-01 11:03:00
4,46891,Pad Ma Keur,1,12,2017-09-01 11:24:00
5,46892,Pad Kee Mao,1,12,2017-09-01 11:26:00
6,46893,Sticky Rice with Mango,1,6,2017-09-01 11:25:00
7,46894,Basil Fried Rice,1,12,2017-09-01 11:27:00
8,46895,Pad Thai,1,12,2017-09-01 11:59:00
9,46896,Pad Gra Tiem,1,15,2017-09-01 11:48:00
10,46897,Pumpkin Curry,2,15,2017-09-01 11:01:00
11,46898,Basil Fried Rice,1,12,2017-09-01 11:11:00
12,46899,Tom Kha Gai,1,12,2017-09-01 11:49:00
13,46900,Red Curry,1,12,2017-09-01 11:53:00
14,46901,Yum Woonsen,1,13,2017-09-01 11:39:00
15,46902,Thai Streetfood Noodle,1,12,2017-09-01 11:29:00
16,46903,Sticky Rice with Mango,1,6,2017-09-01 11:04:00
17,46903,Thai Beef Noodle Soup,1,12,2017-09-01 11:04:00
18,46904,Yellow Curry,1,12,2017-09-01 12:56:00
19,46905,Vegan Fresh Rolls,1,10,2017-09-01 12:08:00
20,46906,Pad See Ew,1,12,2017-09-01 12:47:00
21,46907,Sticky Rice with Mango,1,6,2017-09-01 12:12:00
22,46907,Thai Fried Rice,1,12,2017-09-01 12:12:00
23,46908,Thai Beef Noodle Soup,1,12,2017-09-01 12:09:00
24,46909,Pad Gra Prow,1,15,2017-09-01 12:11:00
25,46910,Yellow Curry,1,12,2017-09-01 12:46:00
26,46911,Yellow Curry,1,12,2017-09-01 12:32:00
27,46912,Thai Beef Noodle Soup,1,12,2017-09-01 12:39:00
28,46913,Pad Thai,1,12,2017-09-01 12:44:00
29,46914,Yellow Curry,1,12,2017-09-01 12:08:00
30,46915,MyThai Salad,1,12,2017-09-01 12:20:00
31,46916,Pad Thai,1,12,2017-09-01 12:39:00
32,46917,Pad Ka Nar,1,12,2017-09-01 12:49:00
33,46918,Vegan Fresh Rolls,1,10,2017-09-01 12:56:00
34,46919,Green Curry,1,12,2017-09-01 12:05:00
35,46920,Pad Prig Khing,1,12,2017-09-01 12:06:00
36,46921,Yellow Curry,1,12,2017-09-01 12:22:00
37,46922,Pumpkin Curry,1,15,2017-09-01 12:19:00
38,46923,Tom Yum Gai,1,12,2017-09-01 12:13:00
39,46924,Yum Woonsen,1,13,2017-09-01 12:11:00
40,46925,Pad Kee Mao,1,12,2017-09-01 13:41:00
41,46926,Thai Streetfood Noodle,1,12,2017-09-01 13:17:00
42,46927,Thai Fried Rice,2,12,2017-09-01 13:37:00
43,46928,Pad See Ew,1,12,2017-09-01 13:46:00
44,46929,Sticky Rice with Mango,1,6,2017-09-01 13:03:00
45,46930,Waterfall Mushroom and Tofu,1,12,2017-09-01 13:10:00
46,46931,Sticky Rice with Mango,1,6,2017-09-01 13:13:00
47,46931,Grilled Salmon,1,22,2017-09-01 13:13:00
48,46932,Pad Gra Prow,1,15,2017-09-01 13:50:00
49,46933,Sticky Rice with Mango,1,6,2017-09-01 13:21:00
50,46934,Pad Char,1,15,2017-09-01 13:24:00
51,46935,Thai Fried Rice,1,12,2017-09-01 13:00:00
52,46936,Pad Ma Keur,1,12,2017-09-01 13:42:00
53,46937,Tom Kha Gai,1,12,2017-09-01 13:39:00
54,46938,Red Curry,1,12,2017-09-01 13:49:00
55,46939,Thai Fried Rice,2,12,2017-09-01 13:35:00
56,46940,Basil Fried Rice,1,12,2017-09-01 13:08:00
57,46941,Thai Beef Noodle Soup,1,12,2017-09-01 13:03:00
58,46942,Pad Prig Khing,1,12,2017-09-01 13:17:00
59,46943,Tom Yum Goong,1,15,2017-09-01 13:57:00
60,46944,Sticky Rice with Mango,1,6,2017-09-01 13:54:00
61,46945,Red Curry,1,12,2017-09-01 13:28:00
62,46946,Sticky Rice with Mango,1,6,2017-09-01 13:52:00
63,46946,Som Tum,1,12,2017-09-01 13:52:00
64,46947,Red Curry,1,12,2017-09-01 13:12:00
65,46948,Green Curry,1,12,2017-09-01 14:04:00
66,46949,Red Curry,1,12,2017-09-01 14:00:00
67,46950,Thai Fried Rice,1,12,2017-09-01 14:41:00
68,46951,Basil Fried Rice,1,12,2017-09-01 14:55:00
69,46952,Sticky Rice with Mango,1,6,2017-09-01 14:28:00
70,46952,Grilled Salmon,1,22,2017-09-01 14:28:00
71,46953,Won Ton Soup,1,12,2017-09-01 14:30:00
