Order ID,Item,Quantity Ordered,Price Each,Order Date
194189,Basil Fried Rice,2,12,2019-09-01 12:00:00
194190,Pad Thai,1,12,2019-09-01 12:07:00
194191,Basil Fried Rice,1,12,2019-09-01 12:13:00
194192,Pad Gra Tiem,1,15,2019-09-01 12:54:00
194193,Yellow Curry,2,12,2019-09-01 12:42:00
194194,Sticky Rice with Mango,1,6,2019-09-01 12:58:00
194195,Sticky Rice with Mango,1,6,2019-09-01 12:01:00
194196,Pad Kee Mao,1,12,2019-09-01 12:12:00
194197,Pad Gra Tiem,1,15,2019-09-01 12:23:00
194198,MyThai Salad,1,12,2019-09-01 12:31:00
194199,Tom Yum Goong,1,15,2019-09-01 12:10:00
194200,Green Curry,1,12,2019-09-01 12:15:00
194201,Thai Fried Rice,1,12,2019-09-01 12:39:00
194202,Won Ton Soup,1,12,2019-09-01 12:49:00
194203,Larb Gai,2,12,2019-09-01 12:28:00
194204,Pumpkin Curry,1,15,2019-09-01 12:25:00
194205,Pad Kee Mao,2,12,2019-09-01 12:36:00
194206,Green Curry,1,12,2019-09-01 12:31:00
194207,Won Ton Soup,3,12,2019-09-01 12:02:00
194208,Pad Gra Tiem,1,15,2019-09-01 12:24:00
194209,Pad Char,2,15,2019-09-01 12:26:00
194210,Thai Beef Noodle Soup,1,12,2019-09-01 12:33:00
194211,Thai Beef Noodle Soup,1,12,2019-09-01 12:04:00
194212,Thai Streetfood Noodle,2,12,2019-09-01 12:40:00
194213,Sticky Rice with Mango,1,6,2019-09-01 12:22:00
194213,Pad Prig Khing,1,12,2019-09-01 12:22:00
194214,Pad Char,1,15,2019-09-01 12:16:00
194215,Yellow Curry,1,12,2019-09-01 12:09:00
194216,Thai Streetfood Noodle,3,12,2019-09-01 12:35:00
194217,Pad Char,1,15,2019-09-01 12:30:00
194218,Grilled Salmon,2,22,2019-09-01 12:22:00
194219,Thai Beef Noodle Soup,2,12,2019-09-01 12:28:00
194220,Waterfall Mushroom and Tofu,2,12,2019-09-01 13:30:00
194221,Thai Streetfood Noodle,3,12,2019-09-01 13:54:00
194222,Won Ton Soup,1,12,2019-09-01 13:00:00
194223,Pad Gra Tiem,1,15,2019-09-01 13:34:00
194224,Nam Kao Tod,2,12,2019-09-01 13:46:00
194225,Chicken Satay,1,10,2019-09-01 13:29:00
194226,Sticky Rice with Mango,1,6,2019-09-01 13:25:00
194226,Basil Fried Rice,1,12,2019-09-01 13:25:00
194227,Pad Char,1,15,2019-09-01 13:43:00
194228,Waterfall Mushroom and Tofu,1,12,2019-09-01 13:45:00
194229,Sticky Rice with Mango,2,6,2019-09-01 13:23:00
194230,Pad Gra Tiem,3,15,2019-09-01 13:09:00
194231,Pad See Ew,1,12,2019-09-01 13:41:00
194232,MyThai Salad,3,12,2019-09-01 13:08:00
194233,Tom Yum Goong,1,15,2019-09-01 13:40:00
194234,Red Curry,1,12,2019-09-01 13:14:00
194235,Thai Fried Rice,1,12,2019-09-01 13:21:00
194236,Chicken Satay,1,10,2019-09-01 13:26:00
194237,Sticky Rice with Mango,1,6,2019-09-01 13:58:00
194238,Pad Gra Prow,2,15,2019-09-01 13:58:00
194239,Green Curry,1,12,2019-09-01 13:08:00
