Order ID,Item,Quantity Ordered,Price Each,Order Date
233049,Chicken Satay,4,10,2019-04-02 11:54:00
233050,Pad Gra Tiem,2,15,2019-04-02 11:44:00
233051,Tom Yum Goong,1,15,2019-04-02 11:25:00
233052,Thai Beef Noodle Soup,2,12,2019-04-02 11:31:00
233053,Won Ton Soup,1,12,2019-04-02 11:52:00
233054,Grilled Salmon,1,22,2019-04-02 11:56:00
233055,Sticky Rice with Mango,1,6,2019-04-02 11:08:00
233055,Pad See Ew,1,12,2019-04-02 11:08:00
233056,Yellow Curry,1,12,2019-04-02 11:42:00
233057,Pad Char,2,15,2019-04-02 11:30:00
233058,Larb Gai,1,12,2019-04-02 11:05:00
233059,Sticky Rice with Mango,1,6,2019-04-02 11:56:00
233060,Som Tum,3,12,2019-04-02 11:23:00
233061,Basil Fried Rice,1,12,2019-04-02 11:18:00
233062,Thai Beef Noodle Soup,1,12,2019-04-02 11:31:00
233063,Pad Thai,2,12,2019-04-02 11:35:00
233064,Yellow Curry,1,12,2019-04-02 11:22:00
233065,Won Ton Soup,1,12,2019-04-02 11:01:00
233066,Basil Fried Rice,3,12,2019-04-02 11:49:00
233067,Red Curry,1,12,2019-04-02 11:33:00
233068,Thai Fried Rice,2,12,2019-04-02 11:14:00
233069,Basil Fried Rice,2,12,2019-04-02 11:35:00
233070,Thai Fried Rice,1,12,2019-04-02 11:23:00
233071,Green Curry,2,12,2019-04-02 11:26:00
233072,Pumpkin Curry,1,15,2019-04-02 11:55:00
233073,Pad Gra Tiem,2,15,2019-04-02 11:49:00
233074,Waterfall Mushroom and Tofu,1,12,2019-04-02 11:17:00
233075,Yellow Curry,1,12,2019-04-02 11:12:00
233076,Sticky Rice with Mango,2,6,2019-04-02 11:59:00
233076,Thai Fried Rice,2,12,2019-04-02 11:59:00
233077,Yellow Curry,1,12,2019-04-02 11:34:00
233078,Pad Thai,4,12,2019-04-02 11:04:00
233079,Pad Thai,3,12,2019-04-02 11:39:00
233080,Sticky Rice with Mango,1,6,2019-04-02 11:37:00
233080,Green Curry,1,12,2019-04-02 11:37:00
233081,Sticky Rice with Mango,2,6,2019-04-02 11:13:00
233082,Yum Woonsen,1,13,2019-04-02 11:01:00
233083,Sticky Rice with Mango,2,6,2019-04-02 11:55:00
233084,Pad Gra Tiem,1,15,2019-04-02 11:32:00
233085,Thai Fried Rice,3,12,2019-04-02 11:43:00
233086,Red Curry,4,12,2019-04-02 11:19:00
233087,Red Curry,1,12,2019-04-02 11:44:00
233088,Sticky Rice with Mango,4,6,2019-04-02 12:47:00
233089,Basil Fried Rice,2,12,2019-04-02 12:51:00
233090,Red Curry,1,12,2019-04-02 12:53:00
233091,Pad Gra Prow,1,15,2019-04-02 12:03:00
233092,Sticky Rice with Mango,1,6,2019-04-02 12:05:00
233092,Thai Streetfood Noodle,1,12,2019-04-02 12:05:00
233093,Pad Ka Nar,1,12,2019-04-02 12:48:00
233094,Basil Fried Rice,2,12,2019-04-02 12:50:00
233095,Pad Gra Prow,3,15,2019-04-02 12:19:00
233096,Pad Ka Nar,3,12,2019-04-02 12:35:00
233097,Red Curry,1,12,2019-04-02 12:49:00
233098,Pad Gra Tiem,3,15,2019-04-02 12:33:00
233099,Larb Gai,4,12,2019-04-02 12:14:00
233100,Pad Prig Khing,1,12,2019-04-02 12:55:00
233101,Waterfall Mushroom and Tofu,2,12,2019-04-02 12:27:00
233102,Tom Kha Gai,1,12,2019-04-02 12:55:00
233103,Red Curry,1,12,2019-04-02 12:10:00
233104,Won Ton Soup,2,12,2019-04-02 12:05:00
233105,Thai Beef Noodle Soup,1,12,2019-04-02 12:57:00
233106,Red Curry,2,12,2019-04-02 12:50:00
233107,Thai Streetfood Noodle,4,12,2019-04-02 12:36:00
233108,Yum Nua,3,12,2019-04-02 12:54:00
233109,Basil Fried Rice,1,12,2019-04-02 12:09:00
233110,Pad Ma Keur,2,12,2019-04-02 12:42:00
233111,Nam Kao Tod,1,12,2019-04-02 12:11:00
233112,Tom Kha Gai,1,12,2019-04-02 12:30:00
233113,Pad Kee Mao,2,12,2019-04-02 12:27:00
233114,Sticky Rice with Mango,3,6,2019-04-02 12:37:00
233115,Thai Fried Rice,2,12,2019-04-02 12:16:00
233116,Pad Thai,1,12,2019-04-02 12:43:00
233117,Grilled Salmon,1,22,2019-04-02 12:27:00
233118,Green Curry,1,12,2019-04-02 12:48:00
233119,Pad Thai,2,12,2019-04-02 12:14:00
233120,Yellow Curry,1,12,2019-04-02 12:59:00
233121,Pumpkin Curry,1,15,2019-04-02 12:18:00
233122,Tom Yum Gai,3,12,2019-04-02 12:47:00
233123,Pad Ma Keur,4,12,2019-04-02 12:38:00
233124,Pad Thai,3,12,2019-04-02 12:32:00
233125,Pad Kee Mao,2,12,2019-04-02 13:28:00
233126,Pad Ka Nar,1,12,2019-04-02 13:58:00
233127,Basil Fried Rice,2,12,2019-04-02 13:16:00
233128,Tom Kha Gai,3,12,2019-04-02 13:49:00
233129,Thai Streetfood Noodle,4,12,2019-04-02 13:59:00
233130,Larb Gai,2,12,2019-04-02 13:46:00
233131,Pad Gra Prow,2,15,2019-04-02 13:21:00
233132,Tom Kha Gai,1,12,2019-04-02 13:45:00
233133,Yum Nua,1,12,2019-04-02 13:36:00
233134,Pad See Ew,1,12,2019-04-02 13:04:00
233135,Pad Pak,1,12,2019-04-02 13:28:00
233136,Pumpkin Curry,1,15,2019-04-02 13:20:00
233137,Yellow Curry,1,12,2019-04-02 13:30:00
233138,MyThai Salad,2,12,2019-04-02 13:11:00
233139,Basil Fried Rice,1,12,2019-04-02 13:59:00
233140,Basil Fried Rice,1,12,2019-04-02 13:56:00
233141,Pad Kee Mao,1,12,2019-04-02 13:55:00
233142,Nam Kao Tod,1,12,2019-04-02 13:03:00
233143,Thai Fried Rice,1,12,2019-04-02 13:03:00
233144,Thai Beef Noodle Soup,3,12,2019-04-02 13:24:00
233145,Sticky Rice with Mango,1,6,2019-04-02 13:50:00
233146,Pad Thai,1,12,2019-04-02 13:32:00
233147,Red Curry,4,12,2019-04-02 13:04:00
233148,Green Curry,1,12,2019-04-02 13:08:00
233149,Green Curry,1,12,2019-04-02 13:08:00
233150,Pad Gra Prow,1,15,2019-04-02 13:19:00
233151,Sticky Rice with Mango,1,6,2019-04-02 13:19:00
233151,Pad See Ew,1,12,2019-04-02 13:19:00
233152,Yellow Curry,1,12,2019-04-02 13:35:00
233153,Grilled Salmon,2,22,2019-04-02 13:31:00
233154,Thai Fried Rice,1,12,2019-04-02 13:15:00
233155,Pad Char,1,15,2019-04-02 13:55:00
233156,Thai Beef Noodle Soup,3,12,2019-04-02 13:20:00
233157,Basil Fried Rice,2,12,2019-04-02 13:34:00
233158,Sticky Rice with Mango,1,6,2019-04-02 13:48:00
233158,Thai Fried Rice,1,12,2019-04-02 13:48:00
233159,Sriracha Wings,3,10,2019-04-02 13:20:00
233160,Thai Streetfood Noodle,2,12,2019-04-02 14:19:00
233161,Won Ton Soup,3,12,2019-04-02 14:39:00
233162,Won Ton Soup,2,12,2019-04-02 14:25:00
233163,Red Curry,2,12,2019-04-02 14:13:00
233164,Sriracha Wings,1,10,2019-04-02 14:08:00
233165,Nam Kao Tod,2,12,2019-04-02 14:25:00
233166,Yellow Curry,3,12,2019-04-02 14:41:00
233167,Green Curry,1,12,2019-04-02 14:10:00
233168,Thai Beef Noodle Soup,2,12,2019-04-02 14:49:00
233169,Sticky Rice with Mango,1,6,2019-04-02 14:12:00
233169,Basil Fried Rice,1,12,2019-04-02 14:12:00
233170,Green Curry,2,12,2019-04-02 14:59:00
233171,Thai Beef Noodle Soup,1,12,2019-04-02 14:36:00
233172,Pad See Ew,2,12,2019-04-02 14:29:00
233173,Pad Prig Khing,3,12,2019-04-02 14:49:00
233174,Pad Thai,1,12,2019-04-02 14:29:00
233175,Pad Char,3,15,2019-04-02 14:27:00
233176,Thai Beef Noodle Soup,2,12,2019-04-02 14:34:00
233177,Green Curry,2,12,2019-04-02 14:35:00
