Order ID,Item,Quantity Ordered,Price Each,Order Date
59860,Pad Gra Tiem,3,15,2017-08-01 11:25:00
59861,Pad Gra Prow,2,15,2017-08-01 11:36:00
59862,Pad Pak,1,12,2017-08-01 11:50:00
59863,Yellow Curry,1,12,2017-08-01 11:59:00
59864,MyThai Salad,1,12,2017-08-01 11:47:00
59865,Thai Beef Noodle Soup,1,12,2017-08-01 11:48:00
59866,Nam Kao Tod,1,12,2017-08-01 11:55:00
59867,MyThai Salad,2,12,2017-08-01 11:31:00
59868,Thai Fried Rice,1,12,2017-08-01 11:55:00
59869,Yum Woonsen,1,13,2017-08-01 11:54:00
59870,Vegan Fresh Rolls,1,10,2017-08-01 11:34:00
59871,MyThai Salad,1,12,2017-08-01 11:49:00
59872,Tom Yum Goong,1,15,2017-08-01 11:44:00
59873,Chicken Satay,1,10,2017-08-01 11:06:00
59874,Yellow Curry,1,12,2017-08-01 11:27:00
59875,Yum Nua,1,12,2017-08-01 11:03:00
59876,Red Curry,1,12,2017-08-01 11:55:00
59877,Thai Beef Noodle Soup,2,12,2017-08-01 11:59:00
59878,Pad Kee Mao,2,12,2017-08-01 11:28:00
59879,Grilled Salmon,2,22,2017-08-01 11:59:00
59880,Pad Kee Mao,1,12,2017-08-01 11:16:00
59881,Som Tum,2,12,2017-08-01 11:08:00
59882,Red Curry,2,12,2017-08-01 11:08:00
59883,Yellow Curry,1,12,2017-08-01 11:04:00
59884,Pumpkin Curry,2,15,2017-08-01 11:08:00
59885,Pumpkin Curry,2,15,2017-08-01 11:40:00
59886,Green Curry,1,12,2017-08-01 11:30:00
59887,Pra Ram,4,12,2017-08-01 11:01:00
59888,Pad Ka Nar,2,12,2017-08-01 11:41:00
59889,Red Curry,1,12,2017-08-01 11:04:00
59890,Thai Beef Noodle Soup,1,12,2017-08-01 11:40:00
59891,Won Ton Soup,1,12,2017-08-01 11:04:00
59892,Basil Fried Rice,2,12,2017-08-01 11:00:00
59893,Basil Fried Rice,1,12,2017-08-01 12:26:00
59894,Pad Gra Prow,1,15,2017-08-01 12:53:00
59895,Vegan Fresh Rolls,1,10,2017-08-01 12:20:00
59896,Thai Streetfood Noodle,1,12,2017-08-01 12:27:00
59897,MyThai Salad,1,12,2017-08-01 12:12:00
59898,Pad Thai,1,12,2017-08-01 12:06:00
59899,Pad Gra Prow,2,15,2017-08-01 12:14:00
59900,Sticky Rice with Mango,3,6,2017-08-01 12:01:00
59900,Thai Streetfood Noodle,3,12,2017-08-01 12:01:00
59901,Waterfall Mushroom and Tofu,1,12,2017-08-01 12:02:00
59902,Pad Thai,1,12,2017-08-01 12:41:00
59903,Basil Fried Rice,2,12,2017-08-01 12:51:00
59904,Pad Gra Prow,3,15,2017-08-01 12:27:00
59905,Pad Thai,1,12,2017-08-01 12:37:00
59906,Sticky Rice with Mango,1,6,2017-08-01 12:25:00
59907,Thai Fried Rice,2,12,2017-08-01 12:44:00
59908,Basil Fried Rice,1,12,2017-08-01 12:57:00
