Order ID,Item,Quantity Ordered,Price Each,Order Date
303517,Thai Beef Noodle Soup,2,12,2019-12-01 12:12:00
303518,Won Ton Soup,2,12,2019-12-01 12:10:00
303519,Pad Gra Tiem,2,15,2019-12-01 12:43:00
303520,Pra Ram,2,12,2019-12-01 12:04:00
303521,Yum Nua,1,12,2019-12-01 12:08:00
303522,Green Curry,1,12,2019-12-01 12:53:00
303523,Yellow Curry,2,12,2019-12-01 12:45:00
303524,Pra Ram,1,12,2019-12-01 12:12:00
303525,Red Curry,1,12,2019-12-01 12:13:00
303526,Yellow Curry,3,12,2019-12-01 12:20:00
303527,Sticky Rice with Mango,1,6,2019-12-01 12:36:00
303527,Pad Thai,1,12,2019-12-01 12:36:00
303528,Vegan Fresh Rolls,1,10,2019-12-01 12:13:00
303529,Pad See Ew,2,12,2019-12-01 12:18:00
303530,Grilled Salmon,1,22,2019-12-01 12:49:00
303531,MyThai Salad,1,12,2019-12-01 12:46:00
303532,Sticky Rice with Mango,1,6,2019-12-01 12:31:00
303533,Thai Fried Rice,1,12,2019-12-01 12:35:00
303534,Sticky Rice with Mango,1,6,2019-12-01 12:47:00
303534,Yellow Curry,1,12,2019-12-01 12:47:00
303535,Chicken Satay,4,10,2019-12-01 12:16:00
303536,Nam Kao Tod,1,12,2019-12-01 12:04:00
303537,Pad Thai,1,12,2019-12-01 12:17:00
303538,Yellow Curry,3,12,2019-12-01 12:47:00
303539,Chicken Satay,2,10,2019-12-01 12:38:00
303539,Som Tum,2,12,2019-12-01 12:38:00
303540,Sticky Rice with Mango,1,6,2019-12-01 12:40:00
303541,Pad Gra Prow,4,15,2019-12-01 12:39:00
303542,Pad Kee Mao,1,12,2019-12-01 12:59:00
303543,Pad Ka Nar,2,12,2019-12-01 12:57:00
303544,Tom Yum Gai,1,12,2019-12-01 12:43:00
303545,Pad Gra Tiem,1,15,2019-12-01 12:03:00
303546,Larb Gai,3,12,2019-12-01 12:01:00
303547,Pad Thai,1,12,2019-12-01 12:22:00
303548,Larb Gai,4,12,2019-12-01 12:01:00
303549,Pad Thai,1,12,2019-12-01 12:19:00
303550,Pad Char,1,15,2019-12-01 12:59:00
303551,Sticky Rice with Mango,1,6,2019-12-01 12:49:00
303552,Pad See Ew,2,12,2019-12-01 12:44:00
303553,Pad Gra Prow,1,15,2019-12-01 12:58:00
303554,Chicken Satay,1,10,2019-12-01 12:29:00
303555,Sticky Rice with Mango,2,6,2019-12-01 12:49:00
303556,Green Curry,1,12,2019-12-01 12:18:00
303557,Sticky Rice with Mango,1,6,2019-12-01 12:57:00
303558,Vegan Fresh Rolls,1,10,2019-12-01 12:55:00
303559,Yellow Curry,4,12,2019-12-01 12:15:00
303560,Pumpkin Curry,1,15,2019-12-01 12:15:00
303561,Pad Gra Tiem,2,15,2019-12-01 12:25:00
303562,Pad See Ew,3,12,2019-12-01 12:33:00
303563,Sticky Rice with Mango,1,6,2019-12-01 12:54:00
303563,Pad Gra Prow,1,15,2019-12-01 12:54:00
303564,Grilled Thai Steak,1,20,2019-12-01 12:03:00
303565,Pad Kee Mao,2,12,2019-12-01 12:58:00
303566,Basil Fried Rice,1,12,2019-12-01 12:44:00
303567,Thai Fried Rice,1,12,2019-12-01 12:12:00
303568,Thai Fried Rice,1,12,2019-12-01 12:17:00
303569,Nam Kao Tod,2,12,2019-12-01 12:54:00
303570,Thai Fried Rice,1,12,2019-12-01 12:34:00
303571,Thai Fried Rice,1,12,2019-12-01 12:13:00
303572,Green Curry,1,12,2019-12-01 12:43:00
303573,Yellow Curry,1,12,2019-12-01 12:36:00
303574,Grilled Salmon,3,22,2019-12-01 12:54:00
303575,Green Curry,1,12,2019-12-01 13:41:00
303576,Sticky Rice with Mango,1,6,2019-12-01 13:41:00
303577,Pad Kee Mao,1,12,2019-12-01 13:04:00
303578,Pad See Ew,1,12,2019-12-01 13:19:00
303579,Thai Fried Rice,3,12,2019-12-01 13:15:00
303580,Red Curry,1,12,2019-12-01 13:56:00
303581,Thai Beef Noodle Soup,2,12,2019-12-01 13:53:00
303582,Pad Thai,1,12,2019-12-01 13:40:00
303583,Green Curry,2,12,2019-12-01 13:10:00
303584,Thai Fried Rice,1,12,2019-12-01 13:07:00
303585,Pad See Ew,1,12,2019-12-01 13:58:00
303586,Pad Char,1,15,2019-12-01 13:44:00
303587,Thai Beef Noodle Soup,2,12,2019-12-01 13:37:00
303588,Sticky Rice with Mango,1,6,2019-12-01 13:14:00
303588,Thai Streetfood Noodle,1,12,2019-12-01 13:14:00
303589,Thai Beef Noodle Soup,3,12,2019-12-01 13:16:00
303590,Yum Nua,1,12,2019-12-01 13:29:00
303591,Thai Streetfood Noodle,1,12,2019-12-01 13:11:00
303592,Yum Nua,2,12,2019-12-01 13:50:00
303593,Yellow Curry,2,12,2019-12-01 13:20:00
303594,Thai Streetfood Noodle,1,12,2019-12-01 13:46:00
303595,Pad Ma Keur,3,12,2019-12-01 13:12:00
303596,MyThai Salad,1,12,2019-12-01 13:40:00
303597,Red Curry,1,12,2019-12-01 13:56:00
303598,Grilled Salmon,2,22,2019-12-01 13:15:00
303599,Pad See Ew,1,12,2019-12-01 13:29:00
303600,Pad Kee Mao,1,12,2019-12-01 13:25:00
303601,Pad Gra Tiem,1,15,2019-12-01 13:24:00
303602,Pad Char,2,15,2019-12-01 13:54:00
303603,Thai Beef Noodle Soup,1,12,2019-12-01 13:42:00
303604,Sticky Rice with Mango,1,6,2019-12-01 13:16:00
303605,Green Curry,2,12,2019-12-01 13:17:00
303606,Won Ton Soup,1,12,2019-12-01 13:06:00
303607,Pumpkin Curry,2,15,2019-12-01 13:37:00
303608,Yum Nua,2,12,2019-12-01 13:19:00
303609,Pad Char,2,15,2019-12-01 13:48:00
303610,Tom Yum Goong,1,15,2019-12-01 13:00:00
303611,Tom Yum Gai,1,12,2019-12-01 13:48:00
303612,Larb Gai,1,12,2019-12-01 13:02:00
303613,Pad Thai,4,12,2019-12-01 13:04:00
303614,Pad Gra Prow,2,15,2019-12-01 13:48:00
303615,Pad See Ew,2,12,2019-12-01 13:47:00
303616,Pad Char,1,15,2019-12-01 13:25:00
303617,Pad Char,2,15,2019-12-01 13:03:00
303618,Sticky Rice with Mango,1,6,2019-12-01 13:34:00
303619,Pad Thai,1,12,2019-12-01 13:50:00
303620,Red Curry,2,12,2019-12-01 13:00:00
303621,Thai Beef Noodle Soup,2,12,2019-12-01 13:48:00
303622,Bar-B-Q Chicken,2,20,2019-12-01 13:57:00
303623,Green Curry,1,12,2019-12-01 13:17:00
303624,Pad Pak,1,12,2019-12-01 13:49:00
303625,Thai Beef Noodle Soup,2,12,2019-12-01 13:21:00
303626,Pad Prig Khing,1,12,2019-12-01 13:47:00
303627,Pad Char,5,15,2019-12-01 13:22:00
303628,Thai Streetfood Noodle,2,12,2019-12-01 13:16:00
303629,Pad Char,4,15,2019-12-01 13:57:00
303630,Basil Fried Rice,1,12,2019-12-01 13:17:00
303631,Pad Prig Khing,1,12,2019-12-01 13:22:00
303632,Som Tum,1,12,2019-12-01 13:37:00
303633,Larb Gai,1,12,2019-12-01 13:55:00
303634,Pumpkin Curry,2,15,2019-12-01 13:16:00
303635,Pad Kee Mao,1,12,2019-12-01 13:30:00
303636,Thai Beef Noodle Soup,1,12,2019-12-01 13:07:00
303637,Basil Fried Rice,1,12,2019-12-01 13:51:00
303638,Sticky Rice with Mango,1,6,2019-12-01 13:17:00
303639,Waterfall Mushroom and Tofu,4,12,2019-12-01 13:04:00
303640,Pad Thai,2,12,2019-12-01 13:54:00
303641,Sticky Rice with Mango,1,6,2019-12-01 13:34:00
303642,Pad Thai,1,12,2019-12-01 13:50:00
303643,Thai Fried Rice,1,12,2019-12-01 13:19:00
303644,Red Curry,3,12,2019-12-01 13:49:00
303645,Pad Gra Tiem,1,15,2019-12-01 13:09:00
303646,Sticky Rice with Mango,1,6,2019-12-01 13:13:00
303646,Sticky Rice with Mango,1,6,2019-12-01 13:13:00
303647,Thai Beef Noodle Soup,2,12,2019-12-01 14:41:00
303648,Pad Thai,1,12,2019-12-01 14:54:00
303649,Thai Fried Rice,2,12,2019-12-01 14:25:00
303650,Larb Gai,1,12,2019-12-01 14:43:00
303651,Pad Gra Tiem,1,15,2019-12-01 14:44:00
303652,Yellow Curry,2,12,2019-12-01 14:58:00
303653,Tom Kha Gai,2,12,2019-12-01 14:15:00
303654,Pad Char,1,15,2019-12-01 14:01:00
303655,Pad Char,1,15,2019-12-01 14:18:00
303656,Sticky Rice with Mango,2,6,2019-12-01 14:31:00
303656,Sticky Rice with Mango,2,6,2019-12-01 14:31:00
303657,Pad See Ew,1,12,2019-12-01 14:22:00
303658,Bar-B-Q Chicken,1,20,2019-12-01 14:49:00
303659,Thai Streetfood Noodle,6,12,2019-12-01 14:48:00
303660,Pad Prig Khing,1,12,2019-12-01 14:01:00
303661,Pad Thai,2,12,2019-12-01 14:09:00
303662,Pad Ka Nar,1,12,2019-12-01 14:48:00
303663,Yellow Curry,4,12,2019-12-01 14:36:00
303664,Yum Woonsen,1,13,2019-12-01 14:18:00
303665,Sriracha Wings,2,10,2019-12-01 14:39:00
303666,Won Ton Soup,3,12,2019-12-01 14:01:00
303667,Tom Yum Gai,1,12,2019-12-01 14:06:00
303668,Chicken Satay,2,10,2019-12-01 14:05:00
303669,Chicken Satay,1,10,2019-12-01 14:18:00
303670,Thai Streetfood Noodle,1,12,2019-12-01 14:16:00
303671,Pad Prig Khing,1,12,2019-12-01 14:22:00
303672,Pad Char,2,15,2019-12-01 14:38:00
303673,Pad Ka Nar,2,12,2019-12-01 14:26:00
303674,Green Curry,3,12,2019-12-01 14:35:00
303675,Green Curry,3,12,2019-12-01 14:59:00
303676,Won Ton Soup,1,12,2019-12-01 14:01:00
303677,Thai Beef Noodle Soup,2,12,2019-12-01 14:45:00
303678,Yellow Curry,2,12,2019-12-01 14:31:00
303679,Waterfall Mushroom and Tofu,3,12,2019-12-01 14:16:00
303680,Pad Kee Mao,1,12,2019-12-01 14:37:00
303681,Tom Yum Gai,1,12,2019-12-01 14:42:00
303682,Thai Streetfood Noodle,1,12,2019-12-01 14:14:00
303683,Yum Nua,5,12,2019-12-01 14:50:00
303684,Sticky Rice with Mango,1,6,2019-12-01 14:00:00
303685,Pad Char,1,15,2019-12-01 14:48:00
303686,Yellow Curry,2,12,2019-12-01 14:09:00
303687,Pumpkin Curry,1,15,2019-12-01 14:15:00
303688,Yellow Curry,2,12,2019-12-01 14:43:00
303689,Thai Streetfood Noodle,2,12,2019-12-01 14:19:00
303690,Pad Gra Tiem,1,15,2019-12-01 14:48:00
303691,Sticky Rice with Mango,1,6,2019-12-01 14:24:00
303692,Sticky Rice with Mango,2,6,2019-12-01 14:02:00
303693,Thai Fried Rice,1,12,2019-12-01 14:01:00
303694,Yellow Curry,1,12,2019-12-01 14:48:00
303695,Thai Streetfood Noodle,1,12,2019-12-01 14:08:00
303696,Pad Thai,3,12,2019-12-01 14:36:00
303697,Pad Ma Keur,2,12,2019-12-01 14:33:00
303698,Yellow Curry,1,12,2019-12-01 14:57:00
303699,Pad Thai,2,12,2019-12-01 14:34:00
303700,Pad Thai,2,12,2019-12-01 14:12:00
303701,Pad Gra Tiem,1,15,2019-12-01 14:31:00
303702,Tom Yum Gai,1,12,2019-12-01 14:11:00
303703,Pumpkin Curry,1,15,2019-12-01 14:15:00
303704,Red Curry,1,12,2019-12-01 14:45:00
303705,Thai Fried Rice,1,12,2019-12-01 14:54:00
303706,Pad See Ew,1,12,2019-12-01 14:09:00
303707,Pad Char,3,15,2019-12-01 14:18:00
303708,Red Curry,1,12,2019-12-01 14:33:00
303709,Thai Beef Noodle Soup,2,12,2019-12-01 14:12:00
303710,Tom Yum Goong,2,15,2019-12-01 14:34:00
303711,Larb Gai,1,12,2019-12-01 14:27:00
303712,Thai Fried Rice,1,12,2019-12-01 14:47:00
303713,Red Curry,1,12,2019-12-01 14:47:00
303714,Pad Thai,1,12,2019-12-01 14:13:00
303715,MyThai Salad,2,12,2019-12-01 14:55:00
303716,Pad See Ew,2,12,2019-12-01 14:15:00
303717,Thai Fried Rice,3,12,2019-12-01 14:18:00
303718,Vegan Fresh Rolls,2,10,2019-12-01 14:05:00
303719,Thai Beef Noodle Soup,3,12,2019-12-01 14:27:00
303720,Thai Fried Rice,4,12,2019-12-01 14:20:00
303721,Sticky Rice with Mango,1,6,2019-12-01 14:58:00
303722,MyThai Salad,1,12,2019-12-01 15:50:00
303723,Pad Thai,3,12,2019-12-01 15:16:00
303724,Thai Fried Rice,1,12,2019-12-01 15:43:00
