Order ID,Item,Quantity Ordered,Price Each,Order Date
217876,Thai Streetfood Noodle,1,12,2019-02-01 11:35:00
217877,Green Curry,5,12,2019-02-01 11:48:00
217878,Pad Thai,1,12,2019-02-01 11:33:00
217879,Red Curry,2,12,2019-02-01 11:21:00
217880,Thai Streetfood Noodle,1,12,2019-02-01 11:15:00
217881,Pad Gra Tiem,1,15,2019-02-01 11:25:00
217882,Yellow Curry,1,12,2019-02-01 11:12:00
217883,Pad Gra Prow,1,15,2019-02-01 11:31:00
217884,Tom Yum Goong,1,15,2019-02-01 11:50:00
217885,Pad Kee Mao,2,12,2019-02-01 11:58:00
217886,Green Curry,1,12,2019-02-01 11:47:00
217887,Sticky Rice with Mango,1,6,2019-02-01 11:45:00
217887,Nam Kao Tod,1,12,2019-02-01 11:45:00
217888,Pad Prig Khing,3,12,2019-02-01 11:17:00
217889,Basil Fried Rice,1,12,2019-02-01 11:15:00
217890,Pad Pak,1,12,2019-02-01 11:53:00
217891,Pad Gra Tiem,1,15,2019-02-01 11:01:00
217892,Pad See Ew,2,12,2019-02-01 11:24:00
217893,Pad See Ew,1,12,2019-02-01 11:00:00
217894,Red Curry,1,12,2019-02-01 11:23:00
217895,Pad Thai,1,12,2019-02-01 11:03:00
217896,Sticky Rice with Mango,1,6,2019-02-01 11:25:00
217896,Pad Char,1,15,2019-02-01 11:25:00
217897,Pad Gra Tiem,1,15,2019-02-01 11:40:00
217898,MyThai Salad,1,12,2019-02-01 11:06:00
217899,Thai Fried Rice,1,12,2019-02-01 11:02:00
217900,Tom Kha Gai,1,12,2019-02-01 11:55:00
217901,Pad Thai,1,12,2019-02-01 12:28:00
217902,MyThai Salad,2,12,2019-02-01 12:55:00
217903,Pad Gra Prow,1,15,2019-02-01 12:04:00
217904,Pumpkin Curry,1,15,2019-02-01 12:19:00
217905,Sticky Rice with Mango,1,6,2019-02-01 12:33:00
217906,Yellow Curry,1,12,2019-02-01 12:21:00
217907,Pad See Ew,1,12,2019-02-01 12:23:00
217908,Thai Streetfood Noodle,1,12,2019-02-01 12:50:00
217909,Chicken Satay,2,10,2019-02-01 12:22:00
217910,Grilled Salmon,1,22,2019-02-01 12:58:00
217911,Thai Streetfood Noodle,2,12,2019-02-01 12:58:00
217912,Pad Thai,2,12,2019-02-01 12:27:00
217913,Won Ton Soup,1,12,2019-02-01 12:12:00
217914,Yellow Curry,1,12,2019-02-01 12:33:00
217915,Thai Streetfood Noodle,2,12,2019-02-01 12:18:00
217916,Tom Yum Gai,3,12,2019-02-01 12:07:00
217917,Thai Beef Noodle Soup,3,12,2019-02-01 12:57:00
217918,Sticky Rice with Mango,1,6,2019-02-01 12:45:00
217918,Pad Prig Khing,1,12,2019-02-01 12:45:00
217919,Sticky Rice with Mango,1,6,2019-02-01 12:56:00
217920,Pad Gra Tiem,2,15,2019-02-01 12:41:00
217921,Green Curry,1,12,2019-02-01 12:00:00
217922,Sticky Rice with Mango,2,6,2019-02-01 12:27:00
217923,Yum Woonsen,3,13,2019-02-01 12:46:00
217924,Thai Fried Rice,1,12,2019-02-01 12:51:00
217925,Pad Pak,1,12,2019-02-01 12:02:00
217926,Yellow Curry,1,12,2019-02-01 12:09:00
217927,Grilled Thai Steak,5,20,2019-02-01 12:01:00
217928,Red Curry,2,12,2019-02-01 12:43:00
217929,Vegan Fresh Rolls,1,10,2019-02-01 12:02:00
217930,Pumpkin Curry,1,15,2019-02-01 12:21:00
217931,Larb Gai,1,12,2019-02-01 13:25:00
217932,Pumpkin Curry,1,15,2019-02-01 13:51:00
217933,MyThai Salad,1,12,2019-02-01 13:12:00
217934,Pad See Ew,3,12,2019-02-01 13:33:00
217935,Sticky Rice with Mango,1,6,2019-02-01 13:42:00
217936,Thai Streetfood Noodle,2,12,2019-02-01 13:51:00
217937,Pad Gra Tiem,1,15,2019-02-01 13:41:00
217938,Yum Woonsen,1,13,2019-02-01 13:34:00
217939,Thai Fried Rice,1,12,2019-02-01 13:20:00
217940,Pad Ma Keur,1,12,2019-02-01 13:04:00
217941,Pad Char,6,15,2019-02-01 13:49:00
217942,Pad Prig Khing,2,12,2019-02-01 13:50:00
217943,Chicken Satay,2,10,2019-02-01 13:39:00
217944,Pad See Ew,1,12,2019-02-01 13:09:00
217945,Thai Fried Rice,1,12,2019-02-01 13:46:00
217946,Pad Gra Prow,1,15,2019-02-01 13:02:00
217947,Waterfall Mushroom and Tofu,2,12,2019-02-01 13:23:00
217948,Sticky Rice with Mango,2,6,2019-02-01 13:24:00
217948,Red Curry,2,12,2019-02-01 13:24:00
217949,Pad Prig Khing,1,12,2019-02-01 13:03:00
217950,Bar-B-Q Chicken,1,20,2019-02-01 13:16:00
217951,Grilled Salmon,2,22,2019-02-01 13:02:00
217952,Thai Beef Noodle Soup,1,12,2019-02-01 13:41:00
217953,Larb Gai,2,12,2019-02-01 13:43:00
217954,Won Ton Soup,1,12,2019-02-01 13:00:00
217955,Thai Beef Noodle Soup,1,12,2019-02-01 13:05:00
217956,Pad Gra Tiem,1,15,2019-02-01 13:37:00
217957,MyThai Salad,1,12,2019-02-01 13:05:00
217958,Chicken Satay,1,10,2019-02-01 13:01:00
217959,Thai Streetfood Noodle,2,12,2019-02-01 13:43:00
217960,Pad Char,2,15,2019-02-01 13:11:00
217961,Sticky Rice with Mango,1,6,2019-02-01 13:24:00
217962,Pad See Ew,2,12,2019-02-01 13:11:00
217963,Tom Yum Gai,1,12,2019-02-01 13:22:00
217964,Thai Beef Noodle Soup,2,12,2019-02-01 13:24:00
217965,Sticky Rice with Mango,1,6,2019-02-01 13:14:00
217965,Bar-B-Q Chicken,1,20,2019-02-01 13:14:00
217966,Thai Streetfood Noodle,3,12,2019-02-01 13:40:00
217967,Sticky Rice with Mango,2,6,2019-02-01 13:05:00
217967,Yum Nua,2,12,2019-02-01 13:05:00
217968,Thai Fried Rice,1,12,2019-02-01 13:13:00
217969,Green Curry,1,12,2019-02-01 13:21:00
217970,Red Curry,1,12,2019-02-01 13:49:00
217971,Pad Kee Mao,2,12,2019-02-01 13:57:00
217972,Pumpkin Curry,1,15,2019-02-01 14:50:00
217973,Yellow Curry,1,12,2019-02-01 14:02:00
217974,Won Ton Soup,2,12,2019-02-01 14:43:00
217975,Yum Nua,1,12,2019-02-01 14:41:00
217976,Pad Kee Mao,2,12,2019-02-01 14:24:00
217977,Pad Thai,2,12,2019-02-01 14:27:00
217978,Won Ton Soup,2,12,2019-02-01 14:49:00
217979,Sticky Rice with Mango,1,6,2019-02-01 14:17:00
217980,Waterfall Mushroom and Tofu,1,12,2019-02-01 14:46:00
217981,Pad Pak,1,12,2019-02-01 14:29:00
217982,Yellow Curry,1,12,2019-02-01 14:07:00
217983,Thai Beef Noodle Soup,1,12,2019-02-01 14:42:00
217984,Won Ton Soup,1,12,2019-02-01 14:45:00
217985,Green Curry,1,12,2019-02-01 14:29:00
217986,Pad Ma Keur,3,12,2019-02-01 14:11:00
217987,Thai Streetfood Noodle,1,12,2019-02-01 14:57:00
217988,Tom Yum Gai,2,12,2019-02-01 14:33:00
217989,Won Ton Soup,2,12,2019-02-01 14:17:00
217990,Chicken Satay,1,10,2019-02-01 14:34:00
217991,Pad Char,1,15,2019-02-01 14:04:00
217992,Yellow Curry,1,12,2019-02-01 14:11:00
217993,Pad See Ew,3,12,2019-02-01 14:41:00
217994,Nam Kao Tod,3,12,2019-02-01 14:40:00
217995,Pad Gra Prow,2,15,2019-02-01 14:05:00
217996,Thai Beef Noodle Soup,1,12,2019-02-01 14:35:00
217997,Pad Kee Mao,4,12,2019-02-01 14:41:00
217998,Pad Gra Tiem,1,15,2019-02-01 14:01:00
217999,Pad Gra Tiem,2,15,2019-02-01 14:01:00
218000,Thai Beef Noodle Soup,1,12,2019-02-01 14:01:00
218001,Pad Prig Khing,1,12,2019-02-01 14:44:00
218002,Pad Ka Nar,1,12,2019-02-01 14:43:00
218003,Pad Thai,2,12,2019-02-01 14:29:00
218004,Won Ton Soup,2,12,2019-02-01 14:33:00
