Order ID,Item,Quantity Ordered,Price Each,Order Date
209032,Pad Char,1,15,2019-01-01 11:02:00
209033,Pad Gra Tiem,1,15,2019-01-01 11:26:00
209034,Pad Char,1,15,2019-01-01 11:38:00
209035,Som Tum,1,12,2019-01-01 11:16:00
209036,Thai Streetfood Noodle,1,12,2019-01-01 11:39:00
209037,Green Curry,2,12,2019-01-01 11:50:00
209038,Thai Fried Rice,1,12,2019-01-01 11:25:00
209039,Chicken Satay,3,10,2019-01-01 11:08:00
209040,MyThai Salad,1,12,2019-01-01 11:37:00
209041,Green Curry,1,12,2019-01-01 11:55:00
209042,Pad Thai,3,12,2019-01-01 11:07:00
209043,Pad Thai,1,12,2019-01-01 11:43:00
209044,Yellow Curry,3,12,2019-01-01 11:33:00
209045,Pad Gra Prow,4,15,2019-01-01 11:03:00
209046,Grilled Salmon,1,22,2019-01-01 11:58:00
209047,Sriracha Wings,2,10,2019-01-01 11:36:00
209048,Sriracha Wings,1,10,2019-01-01 11:44:00
209049,Pad Thai,1,12,2019-01-01 11:11:00
209050,Tom Kha Gai,2,12,2019-01-01 11:06:00
209051,Sticky Rice with Mango,1,6,2019-01-01 11:43:00
209051,Pad See Ew,1,12,2019-01-01 11:43:00
209052,Thai Beef Noodle Soup,1,12,2019-01-01 11:47:00
209053,Yum Woonsen,1,13,2019-01-01 11:25:00
209054,Yellow Curry,1,12,2019-01-01 11:49:00
209055,Thai Beef Noodle Soup,1,12,2019-01-01 11:16:00
209056,Pad Gra Tiem,1,15,2019-01-01 11:03:00
209057,Sriracha Wings,1,10,2019-01-01 11:30:00
209058,Red Curry,1,12,2019-01-01 11:51:00
209059,Sticky Rice with Mango,1,6,2019-01-01 11:13:00
209060,Yellow Curry,1,12,2019-01-01 11:35:00
209061,Pad Char,5,15,2019-01-01 11:41:00
209062,Yellow Curry,1,12,2019-01-01 12:57:00
209063,Thai Streetfood Noodle,1,12,2019-01-01 12:11:00
209064,Pad Gra Prow,2,15,2019-01-01 12:40:00
209065,Thai Beef Noodle Soup,1,12,2019-01-01 12:12:00
209066,Pad Thai,1,12,2019-01-01 12:29:00
209067,Tom Yum Goong,1,15,2019-01-01 12:57:00
209068,Thai Beef Noodle Soup,1,12,2019-01-01 12:49:00
209069,Pad Thai,4,12,2019-01-01 12:49:00
209070,Green Curry,2,12,2019-01-01 12:39:00
209071,Pad Thai,1,12,2019-01-01 12:46:00
209072,Pad Prig Khing,1,12,2019-01-01 12:08:00
209073,Basil Fried Rice,3,12,2019-01-01 12:52:00
209074,Tom Yum Gai,3,12,2019-01-01 12:37:00
209075,Won Ton Soup,1,12,2019-01-01 12:28:00
209076,Sticky Rice with Mango,3,6,2019-01-01 12:55:00
209077,Thai Streetfood Noodle,1,12,2019-01-01 12:04:00
209078,Sticky Rice with Mango,1,6,2019-01-01 12:09:00
209079,Pad Ma Keur,1,12,2019-01-01 12:22:00
209080,Pad See Ew,1,12,2019-01-01 12:24:00
209081,Thai Streetfood Noodle,2,12,2019-01-01 12:56:00
209082,Red Curry,1,12,2019-01-01 12:38:00
209083,Thai Streetfood Noodle,1,12,2019-01-01 12:33:00
209084,Pumpkin Curry,1,15,2019-01-01 12:26:00
209085,Thai Streetfood Noodle,2,12,2019-01-01 12:50:00
209086,Thai Fried Rice,3,12,2019-01-01 12:42:00
209087,Pad Char,4,15,2019-01-01 12:32:00
209088,Green Curry,1,12,2019-01-01 12:24:00
209089,Thai Fried Rice,1,12,2019-01-01 12:43:00
209090,Pad Gra Tiem,1,15,2019-01-01 12:29:00
209091,Thai Streetfood Noodle,1,12,2019-01-01 12:26:00
209092,Pad Thai,3,12,2019-01-01 12:03:00
209093,Tom Yum Gai,1,12,2019-01-01 12:42:00
209094,Won Ton Soup,5,12,2019-01-01 12:04:00
209095,Sticky Rice with Mango,1,6,2019-01-01 12:34:00
209096,Pumpkin Curry,1,15,2019-01-01 12:58:00
209097,Basil Fried Rice,1,12,2019-01-01 13:18:00
209098,Sriracha Wings,2,10,2019-01-01 13:14:00
209099,Pad Gra Prow,3,15,2019-01-01 13:59:00
209100,Pad See Ew,1,12,2019-01-01 13:06:00
209101,Thai Fried Rice,1,12,2019-01-01 13:08:00
209102,Waterfall Mushroom and Tofu,3,12,2019-01-01 13:45:00
209103,Red Curry,1,12,2019-01-01 13:26:00
209104,Thai Streetfood Noodle,1,12,2019-01-01 13:24:00
209105,Pad Gra Prow,2,15,2019-01-01 13:47:00
209106,Tom Yum Goong,2,15,2019-01-01 13:32:00
209107,Vegan Fresh Rolls,4,10,2019-01-01 13:03:00
209108,Basil Fried Rice,3,12,2019-01-01 13:21:00
209109,Pad Prig Khing,1,12,2019-01-01 13:18:00
209110,Pad Gra Tiem,2,15,2019-01-01 13:10:00
209111,Pad See Ew,1,12,2019-01-01 13:19:00
209112,Thai Fried Rice,1,12,2019-01-01 13:50:00
209113,Pad Gra Tiem,1,15,2019-01-01 13:43:00
209114,Pad Ma Keur,1,12,2019-01-01 13:07:00
209115,Pad Gra Prow,1,15,2019-01-01 13:16:00
209116,Yum Woonsen,1,13,2019-01-01 13:12:00
209117,Sticky Rice with Mango,2,6,2019-01-01 13:50:00
209117,Red Curry,2,12,2019-01-01 13:50:00
209118,Pad See Ew,1,12,2019-01-01 13:45:00
209119,Thai Fried Rice,1,12,2019-01-01 13:00:00
209120,Pra Ram,2,12,2019-01-01 13:35:00
209121,Pad Kee Mao,1,12,2019-01-01 13:18:00
209122,Pra Ram,1,12,2019-01-01 13:36:00
209123,Pad Ma Keur,1,12,2019-01-01 13:14:00
