Order ID,Item,Quantity Ordered,Price Each,Order Date
153526,Red Curry,1,12,2018-07-01 12:40:00
153527,Sriracha Wings,1,10,2018-07-01 12:18:00
153528,MyThai Salad,1,12,2018-07-01 12:58:00
153529,Pad Char,2,15,2018-07-01 12:57:00
153530,Nam Kao Tod,1,12,2018-07-01 12:54:00
153531,Pad See Ew,1,12,2018-07-01 12:46:00
153532,Chicken Satay,1,10,2018-07-01 12:35:00
153533,Thai Streetfood Noodle,1,12,2018-07-01 12:17:00
153534,Won Ton Soup,1,12,2018-07-01 12:28:00
153535,Red Curry,2,12,2018-07-01 12:50:00
153536,Sticky Rice with Mango,1,6,2018-07-01 12:00:00
153537,Red Curry,1,12,2018-07-01 12:58:00
153538,Pad Gra Tiem,1,15,2018-07-01 12:58:00
153539,Pad Ka Nar,1,12,2018-07-01 12:03:00
153540,Pad Ka Nar,6,12,2018-07-01 12:10:00
153541,Pra Ram,2,12,2018-07-01 12:58:00
153542,Waterfall Mushroom and Tofu,3,12,2018-07-01 12:03:00
153543,Thai Streetfood Noodle,1,12,2018-07-01 12:15:00
153544,Pad Thai,1,12,2018-07-01 12:46:00
153545,Sticky Rice with Mango,2,6,2018-07-01 12:18:00
153545,Pad Kee Mao,2,12,2018-07-01 12:18:00
153546,MyThai Salad,2,12,2018-07-01 12:28:00
153547,MyThai Salad,2,12,2018-07-01 12:11:00
153548,Basil Fried Rice,1,12,2018-07-01 12:14:00
153549,Vegan Fresh Rolls,5,10,2018-07-01 12:34:00
153549,Sticky Rice with Mango,1,6,2018-07-01 12:34:00
153550,Nam Kao Tod,1,12,2018-07-01 12:51:00
153551,Sticky Rice with Mango,1,6,2018-07-01 12:00:00
153551,Pad See Ew,1,12,2018-07-01 12:00:00
153552,Grilled Salmon,3,22,2018-07-01 12:18:00
153553,Pad Gra Tiem,3,15,2018-07-01 12:03:00
153554,Yellow Curry,3,12,2018-07-01 12:54:00
153555,Pad Char,2,15,2018-07-01 12:37:00
153556,Nam Kao Tod,1,12,2018-07-01 12:03:00
153557,Pad Prig Khing,5,12,2018-07-01 12:16:00
153558,Tom Yum Goong,1,15,2018-07-01 12:05:00
153559,Pad Thai,1,12,2018-07-01 12:24:00
153560,Grilled Salmon,1,22,2018-07-01 12:39:00
153561,Thai Fried Rice,1,12,2018-07-01 12:34:00
153562,Grilled Salmon,1,22,2018-07-01 12:12:00
153563,Grilled Salmon,2,22,2018-07-01 12:45:00
153564,Tom Kha Gai,1,12,2018-07-01 12:35:00
153565,Thai Beef Noodle Soup,2,12,2018-07-01 12:20:00
153566,Sticky Rice with Mango,1,6,2018-07-01 12:28:00
153567,Sticky Rice with Mango,1,6,2018-07-01 12:26:00
153568,Sticky Rice with Mango,1,6,2018-07-01 12:58:00
153568,Won Ton Soup,1,12,2018-07-01 12:58:00
153569,Larb Gai,1,12,2018-07-01 12:03:00
153570,Sticky Rice with Mango,1,6,2018-07-01 12:31:00
153571,Pad Thai,1,12,2018-07-01 12:19:00
153572,Nam Kao Tod,1,12,2018-07-01 12:49:00
153573,Pad Gra Prow,1,15,2018-07-01 12:00:00
153574,Green Curry,1,12,2018-07-01 12:06:00
153575,Thai Streetfood Noodle,1,12,2018-07-01 12:24:00
153576,Yum Nua,1,12,2018-07-01 12:47:00
153577,Pad Prig Khing,1,12,2018-07-01 12:08:00
153578,Green Curry,1,12,2018-07-01 12:37:00
153579,Won Ton Soup,2,12,2018-07-01 12:59:00
153580,Red Curry,2,12,2018-07-01 13:12:00
153581,Sticky Rice with Mango,1,6,2018-07-01 13:38:00
153582,Green Curry,4,12,2018-07-01 13:58:00
153583,Tom Yum Goong,2,15,2018-07-01 13:39:00
153584,Thai Streetfood Noodle,4,12,2018-07-01 13:53:00
153585,Pra Ram,2,12,2018-07-01 13:39:00
153586,Pad Gra Prow,4,15,2018-07-01 13:22:00
153587,Tom Kha Gai,2,12,2018-07-01 13:24:00
153588,Pad Kee Mao,1,12,2018-07-01 13:54:00
153589,Pad Gra Tiem,1,15,2018-07-01 13:50:00
153590,Pad Gra Tiem,1,15,2018-07-01 13:27:00
153591,Green Curry,1,12,2018-07-01 13:34:00
153592,Red Curry,2,12,2018-07-01 13:31:00
153593,Red Curry,1,12,2018-07-01 13:40:00
153594,MyThai Salad,1,12,2018-07-01 13:54:00
153595,Pad Gra Prow,1,15,2018-07-01 13:43:00
153596,Sticky Rice with Mango,2,6,2018-07-01 13:30:00
153596,Pad See Ew,2,12,2018-07-01 13:30:00
153597,Pad Gra Tiem,2,15,2018-07-01 13:57:00
153598,Sticky Rice with Mango,1,6,2018-07-01 13:15:00
