Order ID,Item,Quantity Ordered,Price Each,Order Date
42205,Bar-B-Q Chicken,1,20,2017-06-01 11:56:00
42206,Pad See Ew,2,12,2017-06-01 11:36:00
42207,Pad Ka Nar,1,12,2017-06-01 11:25:00
42208,Pad See Ew,1,12,2017-06-01 11:57:00
42209,Thai Beef Noodle Soup,3,12,2017-06-01 11:15:00
42210,Thai Streetfood Noodle,1,12,2017-06-01 11:05:00
42211,Sticky Rice with Mango,2,6,2017-06-01 11:29:00
42211,Thai Streetfood Noodle,2,12,2017-06-01 11:29:00
42212,Grilled Salmon,1,22,2017-06-01 11:42:00
42213,Chicken Satay,2,10,2017-06-01 11:35:00
42214,Pad Ma Keur,1,12,2017-06-01 11:26:00
42215,Pad Thai,1,12,2017-06-01 11:34:00
42216,Won Ton Soup,2,12,2017-06-01 11:36:00
42217,Tom Yum Gai,1,12,2017-06-01 11:27:00
42218,Yum Nua,5,12,2017-06-01 11:41:00
42219,Vegan Fresh Rolls,1,10,2017-06-01 11:16:00
42220,Red Curry,3,12,2017-06-01 11:02:00
42221,Pad Gra Prow,2,15,2017-06-01 11:40:00
42222,Pra Ram,1,12,2017-06-01 11:40:00
42223,Bar-B-Q Chicken,4,20,2017-06-01 11:54:00
42224,Tom Yum Gai,1,12,2017-06-01 11:14:00
42225,Sticky Rice with Mango,1,6,2017-06-01 11:58:00
42226,Pad Gra Tiem,1,15,2017-06-01 11:58:00
42227,Green Curry,1,12,2017-06-01 11:42:00
42228,Green Curry,2,12,2017-06-01 11:39:00
42229,Chicken Satay,3,10,2017-06-01 11:28:00
42229,Tom Yum Gai,3,12,2017-06-01 11:28:00
42230,Thai Streetfood Noodle,1,12,2017-06-01 11:20:00
42231,Grilled Thai Steak,2,20,2017-06-01 11:34:00
42232,Tom Kha Gai,1,12,2017-06-01 11:20:00
42233,Thai Streetfood Noodle,1,12,2017-06-01 11:17:00
42234,Tom Yum Goong,1,15,2017-06-01 11:53:00
42235,Thai Fried Rice,4,12,2017-06-01 11:29:00
42236,Sticky Rice with Mango,2,6,2017-06-01 11:45:00
42237,Pumpkin Curry,1,15,2017-06-01 11:55:00
42238,Thai Fried Rice,1,12,2017-06-01 12:05:00
42239,Thai Beef Noodle Soup,1,12,2017-06-01 12:05:00
42240,Basil Fried Rice,2,12,2017-06-01 12:04:00
42241,Sticky Rice with Mango,2,6,2017-06-01 12:10:00
42242,Green Curry,1,12,2017-06-01 12:33:00
42243,Grilled Thai Steak,2,20,2017-06-01 12:55:00
42244,Pad Thai,1,12,2017-06-01 12:20:00
42245,Pad Thai,2,12,2017-06-01 12:18:00
42246,Pad See Ew,1,12,2017-06-01 12:10:00
42247,Tom Kha Gai,1,12,2017-06-01 12:59:00
42247,Thai Streetfood Noodle,1,12,2017-06-01 12:59:00
42248,Red Curry,1,12,2017-06-01 12:32:00
42249,Grilled Thai Steak,1,20,2017-06-01 12:54:00
42250,Green Curry,1,12,2017-06-01 12:10:00
