Order ID,Item,Quantity Ordered,Price Each,Order Date
18841,Pad Thai,2,12,2017-03-01 11:41:00
18842,Pad Ka Nar,1,12,2017-03-01 11:36:00
18843,Red Curry,2,12,2017-03-01 11:06:00
18844,Green Curry,1,12,2017-03-01 11:14:00
18845,Won Ton Soup,1,12,2017-03-01 11:21:00
18846,Thai Beef Noodle Soup,3,12,2017-03-01 11:14:00
18847,Yellow Curry,1,12,2017-03-01 11:36:00
18848,Thai Beef Noodle Soup,2,12,2017-03-01 11:34:00
18849,Thai Streetfood Noodle,2,12,2017-03-01 11:15:00
18850,Sticky Rice with Mango,1,6,2017-03-01 11:53:00
18850,Red Curry,1,12,2017-03-01 11:53:00
18851,Pad Gra Prow,2,15,2017-03-01 11:38:00
18852,Green Curry,4,12,2017-03-01 11:05:00
18853,Yellow Curry,2,12,2017-03-01 11:12:00
18854,Pad See Ew,1,12,2017-03-01 11:20:00
18855,Red Curry,2,12,2017-03-01 11:07:00
18856,Pad Gra Tiem,1,15,2017-03-01 11:51:00
18857,Green Curry,1,12,2017-03-01 11:54:00
18858,Waterfall Mushroom and Tofu,1,12,2017-03-01 11:58:00
18859,Red Curry,5,12,2017-03-01 11:21:00
18860,Tom Kha Gai,2,12,2017-03-01 11:30:00
18861,Won Ton Soup,1,12,2017-03-01 11:20:00
18862,Pad Ka Nar,1,12,2017-03-01 11:32:00
18863,Green Curry,2,12,2017-03-01 11:52:00
18864,Pad Thai,1,12,2017-03-01 11:01:00
18865,Pad Ka Nar,1,12,2017-03-01 11:32:00
18866,Tom Yum Goong,1,15,2017-03-01 11:52:00
18867,Vegan Fresh Rolls,1,10,2017-03-01 11:09:00
18868,Pad See Ew,2,12,2017-03-01 12:45:00
18869,Vegan Fresh Rolls,1,10,2017-03-01 12:02:00
18870,Basil Fried Rice,1,12,2017-03-01 12:47:00
18871,Pad Prig Khing,1,12,2017-03-01 12:45:00
18872,Som Tum,1,12,2017-03-01 12:28:00
18873,Pad Ka Nar,1,12,2017-03-01 12:20:00
18874,Sticky Rice with Mango,2,6,2017-03-01 12:09:00
18875,Red Curry,3,12,2017-03-01 12:58:00
18876,Pra Ram,1,12,2017-03-01 12:31:00
18877,Won Ton Soup,2,12,2017-03-01 12:59:00
18878,Sriracha Wings,1,10,2017-03-01 12:56:00
18879,Thai Streetfood Noodle,2,12,2017-03-01 12:43:00
18880,Chicken Satay,1,10,2017-03-01 12:10:00
18881,Thai Fried Rice,1,12,2017-03-01 12:28:00
18882,Basil Fried Rice,4,12,2017-03-01 12:27:00
18883,Sticky Rice with Mango,2,6,2017-03-01 12:10:00
