Order ID,Item,Quantity Ordered,Price Each,Order Date
240737,Chicken Satay,1,10,2019-05-01 11:22:00
240738,Basil Fried Rice,4,12,2019-05-01 11:49:00
240739,Red Curry,1,12,2019-05-01 11:43:00
240740,Red Curry,1,12,2019-05-01 11:12:00
240741,Pad Thai,1,12,2019-05-01 11:32:00
240742,Tom Yum Goong,2,15,2019-05-01 11:07:00
240743,Chicken Satay,1,10,2019-05-01 11:52:00
240744,Som Tum,2,12,2019-05-01 11:32:00
240745,Red Curry,1,12,2019-05-01 11:06:00
240746,Thai Beef Noodle Soup,1,12,2019-05-01 11:00:00
240747,Basil Fried Rice,2,12,2019-05-01 11:43:00
240748,Thai Beef Noodle Soup,2,12,2019-05-01 11:22:00
240749,Som Tum,2,12,2019-05-01 11:16:00
240750,Grilled Salmon,1,22,2019-05-01 11:38:00
240751,Sticky Rice with Mango,1,6,2019-05-01 11:14:00
240752,Sticky Rice with Mango,1,6,2019-05-01 11:49:00
240752,Grilled Salmon,1,22,2019-05-01 11:49:00
240753,Basil Fried Rice,1,12,2019-05-01 11:10:00
240754,Grilled Salmon,3,22,2019-05-01 12:24:00
240755,Thai Streetfood Noodle,1,12,2019-05-01 12:22:00
240756,Chicken Satay,5,10,2019-05-01 12:46:00
240757,Won Ton Soup,1,12,2019-05-01 12:56:00
240758,Sticky Rice with Mango,2,6,2019-05-01 12:18:00
240758,Yellow Curry,2,12,2019-05-01 12:18:00
240759,Pad Gra Tiem,1,15,2019-05-01 12:50:00
240760,Won Ton Soup,1,12,2019-05-01 12:12:00
240761,Red Curry,1,12,2019-05-01 12:10:00
240762,Thai Fried Rice,2,12,2019-05-01 12:36:00
240763,Pad Prig Khing,1,12,2019-05-01 12:34:00
240764,Pad Thai,3,12,2019-05-01 12:47:00
240765,Som Tum,3,12,2019-05-01 12:14:00
240766,Sticky Rice with Mango,1,6,2019-05-01 12:41:00
240766,Yellow Curry,1,12,2019-05-01 12:41:00
240767,Yellow Curry,1,12,2019-05-01 12:24:00
240768,Pad Char,1,15,2019-05-01 12:17:00
240769,Red Curry,2,12,2019-05-01 12:26:00
240770,Chicken Satay,1,10,2019-05-01 12:26:00
240771,Pad Ma Keur,1,12,2019-05-01 12:28:00
240772,Sticky Rice with Mango,2,6,2019-05-01 12:40:00
240773,Pad Ka Nar,1,12,2019-05-01 12:43:00
240774,Grilled Salmon,1,22,2019-05-01 12:08:00
240775,Red Curry,1,12,2019-05-01 12:26:00
240776,Som Tum,1,12,2019-05-01 12:21:00
240777,Pad Kee Mao,3,12,2019-05-01 12:37:00
240778,Thai Fried Rice,1,12,2019-05-01 12:02:00
240779,Thai Fried Rice,1,12,2019-05-01 12:13:00
240780,Pad Char,2,15,2019-05-01 12:01:00
240781,Thai Streetfood Noodle,2,12,2019-05-01 12:38:00
240782,Won Ton Soup,1,12,2019-05-01 12:04:00
240783,Pad Gra Tiem,3,15,2019-05-01 12:26:00
240784,Tom Yum Goong,1,15,2019-05-01 12:04:00
240785,Nam Kao Tod,1,12,2019-05-01 12:52:00
240786,Thai Streetfood Noodle,1,12,2019-05-01 12:07:00
240787,Sticky Rice with Mango,1,6,2019-05-01 12:22:00
240788,Green Curry,1,12,2019-05-01 12:16:00
240789,Red Curry,3,12,2019-05-01 13:03:00
240790,Basil Fried Rice,1,12,2019-05-01 13:01:00
240791,Pad Prig Khing,3,12,2019-05-01 13:45:00
240792,Pad Prig Khing,1,12,2019-05-01 13:05:00
240793,Vegan Fresh Rolls,1,10,2019-05-01 13:09:00
240794,Pad Ka Nar,1,12,2019-05-01 13:22:00
240795,Yum Nua,2,12,2019-05-01 13:39:00
240796,Tom Kha Gai,1,12,2019-05-01 13:19:00
240797,Pad Kee Mao,1,12,2019-05-01 13:43:00
240798,Chicken Satay,1,10,2019-05-01 13:32:00
240799,Yum Nua,3,12,2019-05-01 13:29:00
240800,Green Curry,1,12,2019-05-01 13:41:00
240801,Pra Ram,1,12,2019-05-01 13:39:00
240802,Thai Beef Noodle Soup,2,12,2019-05-01 13:19:00
240803,Pra Ram,2,12,2019-05-01 13:26:00
240804,Pad See Ew,1,12,2019-05-01 13:02:00
240805,Basil Fried Rice,2,12,2019-05-01 13:58:00
240806,Thai Streetfood Noodle,1,12,2019-05-01 13:02:00
240807,Pad See Ew,2,12,2019-05-01 13:47:00
240808,Tom Kha Gai,2,12,2019-05-01 13:30:00
240809,Pad Kee Mao,1,12,2019-05-01 13:28:00
240810,Pad Thai,2,12,2019-05-01 13:28:00
240811,Som Tum,1,12,2019-05-01 13:18:00
240812,Waterfall Mushroom and Tofu,1,12,2019-05-01 13:34:00
240813,Pumpkin Curry,1,15,2019-05-01 13:25:00
240814,Pad Gra Prow,1,15,2019-05-01 13:41:00
240815,Sticky Rice with Mango,1,6,2019-05-01 13:18:00
240815,Tom Yum Gai,1,12,2019-05-01 13:18:00
240816,Grilled Salmon,1,22,2019-05-01 13:12:00
240817,Won Ton Soup,4,12,2019-05-01 13:14:00
240818,Pad Thai,1,12,2019-05-01 13:28:00
240819,Thai Streetfood Noodle,2,12,2019-05-01 13:02:00
240820,Thai Streetfood Noodle,1,12,2019-05-01 13:52:00
240821,Pad Ma Keur,1,12,2019-05-01 13:20:00
240822,Yellow Curry,1,12,2019-05-01 13:23:00
240823,Pad Thai,3,12,2019-05-01 13:15:00
240824,Thai Beef Noodle Soup,1,12,2019-05-01 13:59:00
240825,Som Tum,1,12,2019-05-01 13:37:00
240826,Pad Ka Nar,1,12,2019-05-01 13:55:00
240827,Pad See Ew,2,12,2019-05-01 14:02:00
240828,Sticky Rice with Mango,2,6,2019-05-01 14:04:00
240829,Thai Beef Noodle Soup,1,12,2019-05-01 14:25:00
240830,Pad Kee Mao,1,12,2019-05-01 14:50:00
240831,Sticky Rice with Mango,2,6,2019-05-01 14:22:00
240831,Basil Fried Rice,2,12,2019-05-01 14:22:00
240832,Sticky Rice with Mango,1,6,2019-05-01 14:47:00
240832,Yellow Curry,1,12,2019-05-01 14:47:00
240833,Sticky Rice with Mango,1,6,2019-05-01 14:23:00
240833,Pad See Ew,1,12,2019-05-01 14:23:00
240834,Larb Gai,3,12,2019-05-01 14:22:00
240835,Tom Yum Goong,2,15,2019-05-01 14:18:00
240836,Pad See Ew,2,12,2019-05-01 14:30:00
240837,Sticky Rice with Mango,3,6,2019-05-01 14:03:00
240837,Won Ton Soup,3,12,2019-05-01 14:03:00
240838,Pad See Ew,3,12,2019-05-01 14:52:00
240839,Thai Streetfood Noodle,3,12,2019-05-01 14:48:00
240840,Thai Fried Rice,2,12,2019-05-01 14:56:00
240841,Pad Kee Mao,1,12,2019-05-01 14:04:00
240842,Waterfall Mushroom and Tofu,2,12,2019-05-01 14:31:00
240843,Sticky Rice with Mango,2,6,2019-05-01 14:58:00
240844,Sticky Rice with Mango,2,6,2019-05-01 14:41:00
240845,Thai Beef Noodle Soup,2,12,2019-05-01 14:56:00
240846,Red Curry,2,12,2019-05-01 14:53:00
240847,Yellow Curry,1,12,2019-05-01 14:39:00
240848,Yellow Curry,2,12,2019-05-01 17:07:00
240849,Grilled Salmon,1,22,2019-05-01 17:51:00
240850,Pad Kee Mao,2,12,2019-05-01 17:12:00
240851,Red Curry,1,12,2019-05-01 17:54:00
240852,Thai Beef Noodle Soup,1,12,2019-05-01 17:45:00
240853,Thai Beef Noodle Soup,1,12,2019-05-01 17:31:00
240854,Yellow Curry,2,12,2019-05-01 17:19:00
240855,Green Curry,1,12,2019-05-01 17:34:00
240856,Green Curry,2,12,2019-05-01 17:34:00
240857,Larb Gai,2,12,2019-05-01 17:14:00
240858,Thai Beef Noodle Soup,2,12,2019-05-01 17:19:00
240859,MyThai Salad,3,12,2019-05-01 17:17:00
240860,Sticky Rice with Mango,2,6,2019-05-01 17:56:00
240860,Won Ton Soup,2,12,2019-05-01 17:56:00
240861,MyThai Salad,1,12,2019-05-01 17:09:00
240862,Green Curry,1,12,2019-05-01 17:55:00
240863,Pad Gra Prow,2,15,2019-05-01 17:55:00
240864,Pad Kee Mao,1,12,2019-05-01 17:11:00
240865,Som Tum,2,12,2019-05-01 17:32:00
240866,Pad Gra Tiem,2,15,2019-05-01 17:38:00
240867,Pad Gra Tiem,1,15,2019-05-01 17:58:00
240868,Green Curry,1,12,2019-05-01 17:35:00
240869,Waterfall Mushroom and Tofu,1,12,2019-05-01 17:22:00
240870,Pad Char,1,15,2019-05-01 17:47:00
240871,Pad Gra Prow,1,15,2019-05-01 17:12:00
240872,Green Curry,1,12,2019-05-01 17:59:00
240873,Pad Thai,2,12,2019-05-01 17:47:00
240874,Pad Thai,1,12,2019-05-01 17:20:00
240875,Som Tum,1,12,2019-05-01 17:05:00
240876,Sticky Rice with Mango,1,6,2019-05-01 17:19:00
240876,Grilled Salmon,1,22,2019-05-01 17:19:00
240877,Thai Streetfood Noodle,1,12,2019-05-01 17:23:00
240878,Pumpkin Curry,1,15,2019-05-01 17:17:00
240879,Red Curry,2,12,2019-05-01 17:31:00
240880,Sticky Rice with Mango,2,6,2019-05-01 17:40:00
240880,Yellow Curry,2,12,2019-05-01 17:40:00
240881,Thai Beef Noodle Soup,3,12,2019-05-01 17:29:00
240882,Som Tum,1,12,2019-05-01 17:07:00
