Order ID,Item,Quantity Ordered,Price Each,Order Date
187153,Pad Thai,1,12,2018-11-01 11:20:00
187154,Pad Thai,3,12,2018-11-01 11:47:00
187155,Som Tum,2,12,2018-11-01 11:47:00
187156,Thai Beef Noodle Soup,2,12,2018-11-01 11:06:00
187157,Sticky Rice with Mango,1,6,2018-11-01 11:07:00
187158,Tom Yum Goong,2,15,2018-11-01 11:30:00
187159,Thai Beef Noodle Soup,1,12,2018-11-01 11:09:00
187160,Pumpkin Curry,1,15,2018-11-01 11:41:00
187161,Pad Char,2,15,2018-11-01 11:43:00
187162,Yellow Curry,4,12,2018-11-01 11:47:00
187163,Pad Char,2,15,2018-11-01 11:48:00
187164,Pad Thai,1,12,2018-11-01 11:06:00
187165,Pumpkin Curry,1,15,2018-11-01 11:21:00
187166,Pad Kee Mao,3,12,2018-11-01 11:29:00
187167,Pumpkin Curry,1,15,2018-11-01 11:33:00
187168,Pad Prig Khing,1,12,2018-11-01 11:51:00
187169,Yellow Curry,1,12,2018-11-01 11:14:00
187170,Yellow Curry,1,12,2018-11-01 11:41:00
187171,Sticky Rice with Mango,2,6,2018-11-01 11:36:00
187171,Pad Kee Mao,2,12,2018-11-01 11:36:00
187172,Won Ton Soup,1,12,2018-11-01 11:39:00
187173,Sriracha Wings,1,10,2018-11-01 11:40:00
187174,Pad Kee Mao,1,12,2018-11-01 11:34:00
187175,Pad Ma Keur,1,12,2018-11-01 11:38:00
187176,Grilled Salmon,2,22,2018-11-01 11:27:00
187177,Pad Kee Mao,2,12,2018-11-01 11:09:00
187178,Green Curry,2,12,2018-11-01 11:45:00
187179,Sticky Rice with Mango,1,6,2018-11-01 11:05:00
187179,Yellow Curry,1,12,2018-11-01 11:05:00
187180,Pra Ram,2,12,2018-11-01 11:25:00
187181,Pad Prig Khing,1,12,2018-11-01 11:01:00
187182,Tom Yum Goong,1,15,2018-11-01 11:30:00
187183,Pra Ram,4,12,2018-11-01 11:48:00
187184,Pad Kee Mao,4,12,2018-11-01 11:44:00
187185,Nam Kao Tod,1,12,2018-11-01 11:02:00
187186,Thai Fried Rice,3,12,2018-11-01 11:35:00
187187,Green Curry,3,12,2018-11-01 11:44:00
187188,Chicken Satay,1,10,2018-11-01 11:37:00
187189,Pumpkin Curry,2,15,2018-11-01 12:26:00
187190,Won Ton Soup,1,12,2018-11-01 12:56:00
187191,Yellow Curry,1,12,2018-11-01 12:47:00
187192,Chicken Satay,2,10,2018-11-01 12:57:00
187193,Pad Pak,4,12,2018-11-01 12:37:00
187194,Won Ton Soup,1,12,2018-11-01 12:11:00
187195,Thai Fried Rice,1,12,2018-11-01 12:11:00
187196,Sticky Rice with Mango,1,6,2018-11-01 12:51:00
187197,Grilled Salmon,2,22,2018-11-01 12:57:00
187198,Basil Fried Rice,4,12,2018-11-01 12:13:00
187199,Green Curry,1,12,2018-11-01 12:36:00
187200,Thai Streetfood Noodle,1,12,2018-11-01 12:58:00
187201,Tom Kha Gai,4,12,2018-11-01 12:31:00
187202,MyThai Salad,1,12,2018-11-01 12:06:00
187203,Red Curry,1,12,2018-11-01 12:08:00
187204,Chicken Satay,3,10,2018-11-01 12:36:00
187204,Sticky Rice with Mango,3,6,2018-11-01 12:36:00
187205,Pad Ka Nar,3,12,2018-11-01 12:39:00
187206,Pad Kee Mao,2,12,2018-11-01 12:56:00
187207,Thai Fried Rice,1,12,2018-11-01 12:54:00
187208,Basil Fried Rice,4,12,2018-11-01 12:48:00
187209,Pad Thai,1,12,2018-11-01 12:01:00
187210,Green Curry,2,12,2018-11-01 12:30:00
187211,Thai Streetfood Noodle,1,12,2018-11-01 12:50:00
187212,Pad See Ew,2,12,2018-11-01 12:37:00
187213,Green Curry,1,12,2018-11-01 12:01:00
187214,Pad Ka Nar,1,12,2018-11-01 12:15:00
187215,Waterfall Mushroom and Tofu,1,12,2018-11-01 12:12:00
187216,Won Ton Soup,2,12,2018-11-01 12:51:00
187217,Larb Gai,1,12,2018-11-01 12:13:00
187218,Won Ton Soup,1,12,2018-11-01 12:27:00
187219,Thai Streetfood Noodle,2,12,2018-11-01 12:00:00
187220,Vegan Fresh Rolls,2,10,2018-11-01 12:53:00
187221,Sticky Rice with Mango,2,6,2018-11-01 12:49:00
187222,Thai Streetfood Noodle,2,12,2018-11-01 12:51:00
187223,Red Curry,1,12,2018-11-01 12:08:00
187224,Thai Streetfood Noodle,1,12,2018-11-01 12:11:00
187225,Pad Gra Tiem,1,15,2018-11-01 12:39:00
187226,Yellow Curry,1,12,2018-11-01 12:51:00
187227,Thai Streetfood Noodle,3,12,2018-11-01 12:00:00
187228,Pad Ka Nar,2,12,2018-11-01 12:01:00
187229,Thai Fried Rice,2,12,2018-11-01 12:28:00
187230,Grilled Salmon,2,22,2018-11-01 12:40:00
187231,Pad Thai,2,12,2018-11-01 12:45:00
187232,Thai Beef Noodle Soup,1,12,2018-11-01 12:23:00
187233,Pad Kee Mao,1,12,2018-11-01 12:46:00
187234,Sticky Rice with Mango,1,6,2018-11-01 12:10:00
