Order ID,Item,Quantity Ordered,Price Each,Order Date
179442,Pra Ram,1,12,2018-10-02 11:42:00
179443,Thai Beef Noodle Soup,3,12,2018-10-02 11:39:00
179444,Green Curry,1,12,2018-10-02 11:33:00
179445,Grilled Salmon,1,22,2018-10-02 11:23:00
179446,Thai Fried Rice,1,12,2018-10-02 11:12:00
179447,Pad Thai,1,12,2018-10-02 11:02:00
179448,Red Curry,2,12,2018-10-02 11:13:00
179449,MyThai Salad,1,12,2018-10-02 11:05:00
179450,Sticky Rice with Mango,1,6,2018-10-02 11:27:00
179451,Red Curry,1,12,2018-10-02 11:25:00
179452,Red Curry,2,12,2018-10-02 11:19:00
179453,Red Curry,2,12,2018-10-02 11:17:00
179454,Pad Ka Nar,2,12,2018-10-02 11:45:00
179455,Grilled Salmon,6,22,2018-10-02 11:08:00
179456,Green Curry,1,12,2018-10-02 11:26:00
179457,Pad Char,2,15,2018-10-02 11:02:00
179458,Yum Nua,2,12,2018-10-02 11:04:00
179459,Grilled Salmon,1,22,2018-10-02 11:29:00
179460,Pad Gra Tiem,1,15,2018-10-02 11:10:00
179461,Pad Thai,1,12,2018-10-02 11:33:00
179462,Tom Yum Gai,2,12,2018-10-02 11:41:00
179463,Yellow Curry,1,12,2018-10-02 11:20:00
179464,Tom Yum Goong,1,15,2018-10-02 11:46:00
179465,Pad See Ew,1,12,2018-10-02 11:41:00
179466,Yum Woonsen,4,13,2018-10-02 11:38:00
179467,Som Tum,1,12,2018-10-02 11:47:00
179468,Basil Fried Rice,1,12,2018-10-02 11:16:00
179469,Pad Thai,1,12,2018-10-02 11:16:00
179470,Basil Fried Rice,1,12,2018-10-02 11:34:00
179471,Green Curry,2,12,2018-10-02 11:25:00
179472,Sticky Rice with Mango,1,6,2018-10-02 11:35:00
179472,Tom Kha Gai,1,12,2018-10-02 11:35:00
179473,Pad Kee Mao,1,12,2018-10-02 11:38:00
179474,Thai Fried Rice,1,12,2018-10-02 12:25:00
179475,Pad Thai,2,12,2018-10-02 12:47:00
179476,Yum Woonsen,2,13,2018-10-02 12:24:00
179477,Won Ton Soup,1,12,2018-10-02 12:25:00
179478,Thai Beef Noodle Soup,1,12,2018-10-02 12:33:00
179479,Thai Fried Rice,1,12,2018-10-02 12:40:00
179480,Pad Thai,1,12,2018-10-02 12:35:00
179481,Som Tum,1,12,2018-10-02 12:38:00
179482,Green Curry,2,12,2018-10-02 12:53:00
179483,Red Curry,5,12,2018-10-02 12:03:00
179484,Basil Fried Rice,3,12,2018-10-02 12:32:00
179485,Pad Gra Tiem,1,15,2018-10-02 12:27:00
179486,Pad Pak,1,12,2018-10-02 12:12:00
179487,Pumpkin Curry,1,15,2018-10-02 12:37:00
179488,Yellow Curry,1,12,2018-10-02 12:14:00
179489,Green Curry,2,12,2018-10-02 12:11:00
179490,Thai Beef Noodle Soup,3,12,2018-10-02 12:31:00
179491,Green Curry,1,12,2018-10-02 12:48:00
179492,Pad Ka Nar,1,12,2018-10-02 12:53:00
179493,Pad Char,2,15,2018-10-02 12:36:00
179494,Pad Thai,1,12,2018-10-02 12:11:00
179495,Pad Gra Prow,1,15,2018-10-02 12:09:00
179496,Waterfall Mushroom and Tofu,1,12,2018-10-02 12:38:00
179497,Pad See Ew,1,12,2018-10-02 12:18:00
179498,Red Curry,2,12,2018-10-02 12:01:00
179499,Pad Char,1,15,2018-10-02 12:50:00
179500,Grilled Salmon,1,22,2018-10-02 12:54:00
179501,Larb Gai,1,12,2018-10-02 12:38:00
179502,Thai Beef Noodle Soup,3,12,2018-10-02 12:24:00
179503,Sticky Rice with Mango,1,6,2018-10-02 12:07:00
179504,Thai Beef Noodle Soup,1,12,2018-10-02 12:58:00
179505,Pad Gra Tiem,2,15,2018-10-02 12:33:00
179506,Larb Gai,1,12,2018-10-02 12:10:00
179507,MyThai Salad,1,12,2018-10-02 12:41:00
179508,Pad Char,1,15,2018-10-02 12:48:00
179509,Tom Kha Gai,1,12,2018-10-02 12:40:00
179510,Thai Beef Noodle Soup,1,12,2018-10-02 12:55:00
179511,Thai Fried Rice,1,12,2018-10-02 12:20:00
179512,Pad Pak,1,12,2018-10-02 12:39:00
179513,Won Ton Soup,1,12,2018-10-02 12:55:00
179514,Grilled Salmon,1,22,2018-10-02 13:43:00
179515,Basil Fried Rice,1,12,2018-10-02 13:59:00
179516,Red Curry,1,12,2018-10-02 13:31:00
179517,Green Curry,1,12,2018-10-02 13:18:00
179518,Larb Gai,1,12,2018-10-02 13:03:00
179519,Vegan Fresh Rolls,2,10,2018-10-02 13:04:00
179520,Thai Streetfood Noodle,3,12,2018-10-02 13:00:00
179521,Red Curry,2,12,2018-10-02 13:17:00
179522,Grilled Salmon,1,22,2018-10-02 13:19:00
179523,Grilled Salmon,2,22,2018-10-02 13:29:00
179524,Sticky Rice with Mango,1,6,2018-10-02 13:52:00
179525,Vegan Fresh Rolls,1,10,2018-10-02 13:41:00
179526,Thai Fried Rice,1,12,2018-10-02 13:56:00
179527,Basil Fried Rice,3,12,2018-10-02 13:23:00
179528,Pad Gra Tiem,1,15,2018-10-02 13:24:00
179529,Thai Beef Noodle Soup,1,12,2018-10-02 13:24:00
179530,Sticky Rice with Mango,1,6,2018-10-02 13:02:00
179530,Thai Beef Noodle Soup,1,12,2018-10-02 13:02:00
