Order ID,Item,Quantity Ordered,Price Each,Order Date
68773,Pad Gra Prow,1,15,2017-09-01 11:27:00
68774,Basil Fried Rice,3,12,2017-09-01 11:58:00
68775,Pad Prig Khing,1,12,2017-09-01 11:26:00
68776,Tom Yum Gai,1,12,2017-09-01 11:51:00
68777,Yellow Curry,1,12,2017-09-01 11:14:00
68778,Pad Thai,1,12,2017-09-01 11:55:00
68779,Tom Yum Gai,2,12,2017-09-01 11:45:00
68780,Waterfall Mushroom and Tofu,1,12,2017-09-01 11:18:00
68781,Sticky Rice with Mango,1,6,2017-09-01 11:10:00
68782,Yum Woonsen,4,13,2017-09-01 11:47:00
68783,Sticky Rice with Mango,1,6,2017-09-01 11:40:00
68783,Red Curry,1,12,2017-09-01 11:40:00
68784,Som Tum,1,12,2017-09-01 11:42:00
68785,Pad Thai,1,12,2017-09-01 11:52:00
68786,Nam Kao Tod,4,12,2017-09-01 11:17:00
68787,Tom Yum Gai,7,12,2017-09-01 11:26:00
68788,Pumpkin Curry,2,15,2017-09-01 11:37:00
68789,Larb Gai,1,12,2017-09-01 11:07:00
68790,Pad Ma Keur,1,12,2017-09-01 11:03:00
68791,Yellow Curry,1,12,2017-09-01 11:16:00
68792,Pumpkin Curry,1,15,2017-09-01 11:38:00
68793,Nam Kao Tod,1,12,2017-09-01 11:44:00
68794,Sticky Rice with Mango,1,6,2017-09-01 11:57:00
68795,Pad Kee Mao,1,12,2017-09-01 11:05:00
68796,Larb Gai,1,12,2017-09-01 11:53:00
68797,Pad Thai,1,12,2017-09-01 11:05:00
68798,Thai Beef Noodle Soup,1,12,2017-09-01 11:07:00
68799,Som Tum,1,12,2017-09-01 12:49:00
68800,Tom Yum Goong,2,15,2017-09-01 12:34:00
68801,Won Ton Soup,3,12,2017-09-01 12:33:00
68802,Sticky Rice with Mango,1,6,2017-09-01 12:20:00
68802,Thai Streetfood Noodle,1,12,2017-09-01 12:20:00
68803,Won Ton Soup,1,12,2017-09-01 12:35:00
68804,Won Ton Soup,2,12,2017-09-01 12:01:00
68805,Pad Thai,1,12,2017-09-01 12:33:00
68806,Pad Thai,3,12,2017-09-01 12:11:00
68807,Pad Gra Prow,2,15,2017-09-01 12:09:00
68808,Tom Yum Goong,2,15,2017-09-01 12:45:00
68809,Red Curry,1,12,2017-09-01 12:59:00
68810,Red Curry,1,12,2017-09-01 12:20:00
68811,Thai Streetfood Noodle,1,12,2017-09-01 12:40:00
68812,Yum Nua,1,12,2017-09-01 12:09:00
68813,Red Curry,1,12,2017-09-01 12:21:00
68814,Pad Thai,2,12,2017-09-01 12:21:00
68815,Pad See Ew,1,12,2017-09-01 12:38:00
68816,Red Curry,1,12,2017-09-01 12:28:00
68817,Thai Streetfood Noodle,1,12,2017-09-01 12:24:00
68818,Yellow Curry,1,12,2017-09-01 12:13:00
68819,Thai Beef Noodle Soup,4,12,2017-09-01 12:05:00
68820,Pad Gra Tiem,1,15,2017-09-01 12:27:00
68821,Pad Thai,1,12,2017-09-01 12:21:00
68822,Waterfall Mushroom and Tofu,2,12,2017-09-01 12:01:00
68823,Pad Gra Tiem,1,15,2017-09-01 12:15:00
68824,Tom Yum Gai,1,12,2017-09-01 12:02:00
68825,MyThai Salad,1,12,2017-09-01 12:38:00
68826,Bar-B-Q Chicken,1,20,2017-09-01 12:19:00
68827,Pad Thai,2,12,2017-09-01 12:28:00
68828,Sticky Rice with Mango,2,6,2017-09-01 12:01:00
68828,Waterfall Mushroom and Tofu,2,12,2017-09-01 12:01:00
68829,Basil Fried Rice,1,12,2017-09-01 12:47:00
68830,Pad Thai,1,12,2017-09-01 13:54:00
68831,Pad Thai,3,12,2017-09-01 13:07:00
68832,Red Curry,1,12,2017-09-01 13:02:00
68833,Pad Ma Keur,3,12,2017-09-01 13:23:00
68834,Pad Gra Tiem,2,15,2017-09-01 13:16:00
68835,Yellow Curry,1,12,2017-09-01 13:02:00
68836,Pad Gra Tiem,1,15,2017-09-01 13:43:00
68837,Yellow Curry,2,12,2017-09-01 13:13:00
68838,Sticky Rice with Mango,1,6,2017-09-01 13:47:00
68838,Sticky Rice with Mango,1,6,2017-09-01 13:47:00
68839,Waterfall Mushroom and Tofu,1,12,2017-09-01 13:54:00
68840,Bar-B-Q Chicken,3,20,2017-09-01 13:26:00
68841,Pad See Ew,1,12,2017-09-01 13:18:00
68842,Pad Thai,1,12,2017-09-01 13:34:00
68843,Won Ton Soup,5,12,2017-09-01 13:10:00
68844,Thai Streetfood Noodle,2,12,2017-09-01 13:17:00
68845,Thai Streetfood Noodle,4,12,2017-09-01 13:42:00
68846,Yellow Curry,3,12,2017-09-01 13:33:00
68847,Sticky Rice with Mango,1,6,2017-09-01 13:22:00
68847,Green Curry,1,12,2017-09-01 13:22:00
68848,Pad Thai,2,12,2017-09-01 13:52:00
68849,Green Curry,5,12,2017-09-01 13:46:00
68850,Thai Streetfood Noodle,1,12,2017-09-01 13:11:00
