Order ID,Item,Quantity Ordered,Price Each,Order Date
220838,Nam Kao Tod,1,12,2020-01-02 11:39:00
220839,Red Curry,1,12,2020-01-02 11:19:00
220840,Pad Char,1,15,2020-01-02 11:41:00
220841,Tom Yum Gai,2,12,2020-01-02 11:27:00
220842,Tom Yum Goong,2,15,2020-01-02 11:45:00
220843,Pad Char,1,15,2020-01-02 11:45:00
220844,Grilled Salmon,1,22,2020-01-02 11:38:00
220845,Nam Kao Tod,2,12,2020-01-02 11:57:00
220846,Yum Woonsen,5,13,2020-01-02 11:29:00
220847,Green Curry,3,12,2020-01-02 11:16:00
220848,Thai Beef Noodle Soup,1,12,2020-01-02 11:13:00
220849,Red Curry,3,12,2020-01-02 11:11:00
220850,Green Curry,1,12,2020-01-02 11:48:00
220851,Thai Streetfood Noodle,1,12,2020-01-02 11:36:00
220852,Thai Streetfood Noodle,3,12,2020-01-02 11:52:00
220853,Pad Gra Tiem,2,15,2020-01-02 11:12:00
220854,Pad Kee Mao,2,12,2020-01-02 11:32:00
220855,Sticky Rice with Mango,1,6,2020-01-02 11:50:00
220855,Pad Gra Prow,1,15,2020-01-02 11:50:00
220856,Pad See Ew,2,12,2020-01-02 12:22:00
220857,Sticky Rice with Mango,1,6,2020-01-02 12:50:00
220858,Sticky Rice with Mango,1,6,2020-01-02 12:23:00
220858,Sticky Rice with Mango,1,6,2020-01-02 12:23:00
220859,Won Ton Soup,2,12,2020-01-02 12:40:00
220860,Pad Ka Nar,1,12,2020-01-02 12:16:00
220861,Won Ton Soup,2,12,2020-01-02 12:43:00
220862,Thai Streetfood Noodle,1,12,2020-01-02 12:09:00
220863,Red Curry,1,12,2020-01-02 12:17:00
220864,Pad See Ew,2,12,2020-01-02 12:21:00
220865,Pad Kee Mao,5,12,2020-01-02 12:59:00
220866,Pad Gra Tiem,1,15,2020-01-02 12:37:00
220867,Grilled Salmon,1,22,2020-01-02 12:09:00
220868,Tom Kha Gai,1,12,2020-01-02 12:25:00
220869,Basil Fried Rice,1,12,2020-01-02 12:12:00
220870,Sticky Rice with Mango,1,6,2020-01-02 12:48:00
220870,Thai Beef Noodle Soup,1,12,2020-01-02 12:48:00
220871,Grilled Thai Steak,1,20,2020-01-02 12:42:00
220872,Sticky Rice with Mango,6,6,2020-01-02 12:41:00
220873,Pad Char,1,15,2020-01-02 12:31:00
220874,Pumpkin Curry,3,15,2020-01-02 13:10:00
220875,Red Curry,1,12,2020-01-02 13:19:00
220876,Pad See Ew,3,12,2020-01-02 13:18:00
220877,Pad Char,3,15,2020-01-02 13:54:00
220878,Pad Thai,1,12,2020-01-02 13:46:00
220879,Sticky Rice with Mango,1,6,2020-01-02 13:48:00
220879,Yum Woonsen,1,13,2020-01-02 13:48:00
220880,Red Curry,1,12,2020-01-02 13:29:00
220881,Pad Thai,1,12,2020-01-02 13:11:00
220882,Sticky Rice with Mango,1,6,2020-01-02 13:54:00
220883,Thai Fried Rice,1,12,2020-01-02 13:40:00
220884,Sticky Rice with Mango,1,6,2020-01-02 13:00:00
220885,Pad Thai,3,12,2020-01-02 13:08:00
220886,Pad Thai,2,12,2020-01-02 13:28:00
220887,Pad Prig Khing,1,12,2020-01-02 13:01:00
220888,Thai Fried Rice,1,12,2020-01-02 13:53:00
220889,Pumpkin Curry,1,15,2020-01-02 13:18:00
220890,Thai Fried Rice,1,12,2020-01-02 13:20:00
220891,Pad Ma Keur,3,12,2020-01-02 13:52:00
220892,Pra Ram,2,12,2020-01-02 13:53:00
220893,Pra Ram,1,12,2020-01-02 14:24:00
220894,Chicken Satay,2,10,2020-01-02 14:26:00
220895,Pad Gra Prow,1,15,2020-01-02 14:43:00
220896,Pad Gra Tiem,1,15,2020-01-02 14:24:00
220897,Tom Kha Gai,1,12,2020-01-02 14:49:00
