Order ID,Item,Quantity Ordered,Price Each,Order Date,Test Type
3910,Thai Beef Noodle Soup,3,13,2020-01-01 11:13:00,A
3911,Thai Beef Noodle Soup,8,13,2020-01-01 11:02:00,A
3912,Pumpkin Curry,1,16,2020-01-01 11:10:00,B
3913,Green Curry,1,14,2020-01-01 11:54:00,B
3914,Pad Ka Nar,2,15,2020-01-01 11:35:00,B
3915,Tom Yum Goong,1,16,2020-01-01 11:24:00,A
3916,Bar-B-Q Chicken,2,20,2020-01-01 11:01:00,A
3917,Green Curry,1,14,2020-01-01 11:31:00,B
3918,Tom Kha Gai,1,13,2020-01-01 11:12:00,B
3919,Green Curry,1,14,2020-01-01 11:19:00,B
3920,Pad Ka Nar,3,15,2020-01-01 11:25:00,A
3921,Bar-B-Q Chicken,1,20,2020-01-01 11:59:00,A
3922,Grilled Thai Steak,1,20,2020-01-01 11:11:00,A
3923,Thai Streetfood Noodle,2,13,2020-01-01 11:36:00,A
3924,Yum Woonsen,2,13,2020-01-01 11:39:00,B
3925,Tom Kha Gai,1,13,2020-01-01 11:05:00,B
3926,Pad See Ew,1,13,2020-01-01 11:37:00,B
3927,Basil Fried Rice,1,13,2020-01-01 12:54:00,B
3928,Pad Thai,2,13,2020-01-01 12:40:00,A
3929,Basil Fried Rice,1,13,2020-01-01 12:28:00,B
3930,Sticky Rice with Mango,2,6.5,2020-01-01 12:52:00,B
3931,Green Curry,3,14,2020-01-01 12:44:00,A
3932,Pumpkin Curry,3,16,2020-01-01 12:23:00,A
3933,Green Curry,1,14,2020-01-01 12:52:00,B
3934,Shrimp Rolls,1,12,2020-01-01 12:03:00,B
3934,Sticky Rice with Mango,1,6.5,2020-01-01 12:03:00,B
3935,Som Tum,1,11,2020-01-01 12:18:00,A
3936,Egg Rolls,1,10,2020-01-01 12:51:00,A
3937,Pad Thai,1,13,2020-01-01 12:14:00,A
3938,Red Curry,1,14,2020-01-01 12:24:00,B
3939,Green Mango Salad,2,15,2020-01-01 12:59:00,B
3940,Tom Kha Gai,2,13,2020-01-01 12:33:00,B
3941,Yellow Curry,1,14,2020-01-01 12:00:00,A
3942,Pra Ram,2,15,2020-01-01 12:32:00,B
3943,Pad Thai,2,13,2020-01-01 12:26:00,A
3944,Sticky Rice with Mango,1,6.5,2020-01-01 12:00:00,B
3945,Red Curry,2,14,2020-01-01 12:13:00,A
3946,Yum Nua,2,12,2020-01-01 12:03:00,B
3947,Thai Fried Rice,1,13,2020-01-01 12:35:00,B
3948,Green Mango Salad,1,15,2020-01-01 12:54:00,B
3949,Thai Beef Noodle Soup,3,13,2020-01-01 12:12:00,B
3950,Basil Fried Rice,1,13,2020-01-01 12:50:00,B
3951,MyThai Salad,2,13,2020-01-01 12:24:00,B
3952,Pad Khing,1,15,2020-01-01 12:08:00,A
3953,Thai Streetfood Noodle,1,13,2020-01-01 13:10:00,A
3954,Som Tum,1,11,2020-01-01 13:02:00,B
3955,Tom Yum Gai,1,12,2020-01-01 13:51:00,A
3956,Yellow Curry,1,14,2020-01-01 13:47:00,A
3957,Pad Hi Ma Parn,1,15,2020-01-01 13:43:00,B
3958,Tom Yum Goong,1,16,2020-01-01 13:20:00,A
3959,Tom Yum Gai,1,12,2020-01-01 13:52:00,B
3960,Basil Fried Rice,1,13,2020-01-01 13:21:00,A
3961,Yellow Curry,1,14,2020-01-01 13:13:00,B
3962,Chicken Satay,1,11,2020-01-01 13:47:00,A
3962,Pra Ram,1,15,2020-01-01 13:47:00,A
3963,Basil Fried Rice,1,13,2020-01-01 13:55:00,A
3964,Vegan Fresh Rolls,1,10,2020-01-01 13:36:00,A
3965,Pad Khing,2,15,2020-01-01 13:10:00,A
